study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,2,B,13,1,test item,1-1,resized_A_A100.png,Ruderer,162,resized_A_B109.png,Boot,1,resized_B_C01.png,Kaninchen,12,resized_A_B55.png,Schlange,16,resized_A_A100.png,Ruderer,3,resized_B_A176.png,Trophäe,11,resized_A_A151.png,Fuchs,13,8.33,31.76,5.68,3.72,3.18,2.93,3.14,2.52,3.22,0.16,0.699,LF,None,None,None,None,3,7,nn,0.768457426,0.907433769,0,0,0,0,36.199717200011946,,0.0010534999892115593,10.071551300003193,10.071560800017323,33.991763499972876,37.97837620001519,1,3,[0.04833333 0.2125    ],1.8696346000069752,40.43165869999211,,,,,,,,,,,115,B,2,2024-11-04_10h35.46.600,task,2023.2.2,59.89440615974884,2024-11-04 10h35.56.770378 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,2,B,13,2,test item,2-1,resized_A_B55.png,Schlange,143,resized_A_B109.png,Boot,1,resized_B_C01.png,Kaninchen,12,resized_A_B55.png,Schlange,16,resized_A_A100.png,Ruderer,3,resized_B_A176.png,Trophäe,11,resized_A_A151.png,Fuchs,13,15.29,15.29,4.53,3.17,2.96,1.93,2.62,1.83,2.46,29.84,2.88,HF,None,None,None,None,2,8,nn,8.829085316,13.96303493,0,1,1,1,40.56793139997171,,,,,,42.432211600011215,1,16,[ 0.20833333 -0.23916667],2.6353955999948084,45.619207600015216,,,,,,,,,,,115,B,2,2024-11-04_10h35.46.600,task,2023.2.2,59.89440615974884,2024-11-04 10h35.56.770378 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,2,B,3,3,test item,1-1,resized_B_A43.png,Blatt,159,resized_B_A147.png,Hund,3,resized_A_A02.png,Mühle,6,resized_B_A129.png,Huhn,13,resized_B_A43.png,Blatt,10,resized_A_A74.png,Rubin,11,resized_A_B32.png,Kamin,16,6.1,8.33,5.82,2.81,2.25,2.46,2.58,2.96,2.21,12.17,2.49,LF,None,None,None,None,1,5,nn,33.92657783,93.25312611,0,2,2,2,45.75668049999513,,,,,,47.61991890001809,0,11,[ 0.07916667 -0.06083333],2.2856708000181243,58.163206099998206,1,10,[-0.06666667 -0.10083333],8.374079300032463,,,,,,,115,B,2,2024-11-04_10h35.46.600,task,2023.2.2,59.89440615974884,2024-11-04 10h35.56.770378 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,2,B,3,4,test item,2-1,resized_B_A129.png,Huhn,146,resized_B_A147.png,Hund,3,resized_A_A02.png,Mühle,6,resized_B_A129.png,Huhn,13,resized_B_A43.png,Blatt,10,resized_A_A74.png,Rubin,11,resized_A_B32.png,Kamin,16,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,3,3,3,58.31027570000151,,,,,,60.18048219999764,1,13,[-0.21666667 -0.25666667],2.185811900009867,62.81656559999101,,,,,,,,,,,115,B,2,2024-11-04_10h35.46.600,task,2023.2.2,59.89440615974884,2024-11-04 10h35.56.770378 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,2,B,14,5,test item,2-1,resized_A_A122.png,Sturz,176,resized_B_A156.png,Bär,5,resized_B_A150.png,Känguru,6,resized_B_A185.png,Gesicht,1,resized_B_A23.png,Flasche,14,resized_A_B43.png,Parfüm,8,resized_A_A122.png,Sturz,4,3.53,4.71,6.19,2.48,2.25,3.89,3.21,2.62,1.79,6.26,2.2,LF,-1.6,3.76,5.56,3.8,1,5,nn,13.16187718,16.13760594,0,4,4,4,62.956320800003596,,,,,,64.81763970002066,1,4,[0.26333333 0.2825    ],2.469394299958367,67.82130040001357,,,,,,,,,,,115,B,2,2024-11-04_10h35.46.600,task,2023.2.2,59.89440615974884,2024-11-04 10h35.56.770378 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,2,B,14,6,test item,1-1,resized_A_B43.png,Parfüm,157,resized_B_A156.png,Bär,5,resized_B_A150.png,Känguru,6,resized_B_A185.png,Gesicht,1,resized_B_A23.png,Flasche,14,resized_A_B43.png,Parfüm,8,resized_A_A122.png,Sturz,4,14.29,18.82,5.36,2.62,2.54,2.96,3.38,2.59,2.71,5.59,2.16,LF,1.77,3,4.41,6.56,2,6,nn,2.354422751,3.057479545,0,5,5,5,67.95956440002192,,,,,,69.82197809999343,1,8,[0.23416667 0.0625    ],2.085128500009887,72.50855899997987,,,,,,,,,,,115,B,2,2024-11-04_10h35.46.600,task,2023.2.2,59.89440615974884,2024-11-04 10h35.56.770378 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,2,B,1,7,test item,1-1,resized_B_B180.png,Geist,129,resized_A_A93.png,Haus,1,resized_B_B70.png,Quadrat,4,resized_B_B180.png,Geist,13,resized_B_A181.png,Wolf,3,resized_B_A11.png,Medaille,10,resized_A_B39.png,Sessel,5,26.19,38.1,4.73,3.43,2.89,2.68,3,2.57,2.59,77.01,3.29,HF,1.1,2.83,4,6.22,1,5,nn,99.6787382,173.1808735,0,6,6,6,72.65721330000088,,,,,,74.50925730000017,1,13,[-0.21583333 -0.255     ],3.152998299978208,78.21325730002718,,,,,,,,,,,115,B,2,2024-11-04_10h35.46.600,task,2023.2.2,59.89440615974884,2024-11-04 10h35.56.770378 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,2,B,1,8,test item,2-1,resized_A_B39.png,Sessel,172,resized_A_A93.png,Haus,1,resized_B_B70.png,Quadrat,4,resized_B_B180.png,Geist,13,resized_B_A181.png,Wolf,3,resized_B_A11.png,Medaille,10,resized_A_B39.png,Sessel,5,11.9,12.94,5.47,3.1,2.79,2.89,3.17,2.17,2.75,4.61,2.07,LF,1.4,1.78,5.82,3.23,2,6,nn,15.00126996,17.24941668,0,7,7,7,78.35402829997474,,,,,,80.21405720000621,1,5,[-0.23916667  0.09916667],4.320750000013504,85.21913019998465,,,,,,,,,,,115,B,2,2024-11-04_10h35.46.600,task,2023.2.2,59.89440615974884,2024-11-04 10h35.56.770378 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,2,B,10,9,test item,1-1,resized_A_B22.png,Kreisel,158,resized_B_B155.png,Messer,8,resized_B_A135.png,Kamel,12,resized_B_A36.png,Stern,9,resized_A_B196.png,Fenster,6,resized_A_B22.png,Kreisel,2,resized_A_A73.png,Klinge,3,17.65,17.65,5.31,2.62,2.54,2.82,3,2.17,2.59,0.55,1.18,LF,0.68,2.86,5.09,4.35,2,7,nn,1.348888034,1.585965325,0,8,8,8,85.35395139997127,,,,,,87.21999030001462,0,9,[-0.25166667 -0.06916667],4.453604099981021,102.21704850002425,0,6,[-0.0825      0.07416667],7.239891300036106,1,2,[-0.0625  0.185 ],12.944952699996065,,,115,B,2,2024-11-04_10h35.46.600,task,2023.2.2,59.89440615974884,2024-11-04 10h35.56.770378 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,2,B,10,10,test item,2-1,resized_A_A73.png,Klinge,177,resized_B_B155.png,Messer,8,resized_B_A135.png,Kamel,12,resized_B_A36.png,Stern,9,resized_A_B196.png,Fenster,6,resized_A_B22.png,Kreisel,2,resized_A_A73.png,Klinge,3,7.23,12.94,5.75,2.83,3.25,1.96,2.9,2.41,2.82,10.79,2.44,LF,-1.3,3.68,5.14,6.37,2,6,nn,2.346247672,4.308266631,0,9,9,9,102.35810459998902,,,,,,104.21756540000206,1,3,[0.0925     0.20333333],2.3528071000473574,107.17102800001157,,,,,,,,,,,115,B,2,2024-11-04_10h35.46.600,task,2023.2.2,59.89440615974884,2024-11-04 10h35.56.770378 +0100,
