study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,trial.stopped,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,3,11,test item,2-2,resized_A_A179.png,Drachen,150,resized_B_A03.png,Kleid,12,resized_B_A142.png,Reiter,16,resized_B_A06.png,Hut,15,resized_B_B24.png,Baby,4,resized_A_A179.png,Drachen,10,resized_A_A122.png,Sturz,14,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,10,10,10,202.46750260000408,,,,,,204.31860910000978,0,4,[0.25833333 0.2375    ],4.487341400003061,1,10,[-0.0625     -0.09083333],12.461106999995536,218.18110180000076,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,3,12,test item,1-2,resized_B_B24.png,Baby,142,resized_B_A03.png,Kleid,12,resized_B_A142.png,Reiter,16,resized_B_A06.png,Hut,15,resized_B_B24.png,Baby,4,resized_A_A179.png,Drachen,10,resized_A_A122.png,Sturz,14,8.33,9.52,5.33,3.11,3.39,2.57,3.25,2.68,3.07,324.66,3.92,HF,1.9,2.83,6.78,3.38,2,4,nn,7.995227258,9.834620032,0,11,11,11,218.32723570000962,,,,,,220.19858550000936,1,4,[0.26       0.24333333],4.070575099991402,,,,,225.57071490000817,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,5,13,test item,1-2,resized_B_B73.png,Treppe,137,resized_A_B54.png,Telefon,16,resized_B_A150.png,Känguru,2,resized_B_B177.png,Schloss,14,resized_B_B73.png,Treppe,4,resized_A_A52.png,Stein,6,resized_B_B164.png,kimono,13,21.43,30.95,4.8,3.21,3.36,1.79,2.68,2.29,2.75,25,2.8,HF,0.05,2.36,5.95,3.25,2,6,nn,30.73829702,39.50198171,0,12,12,12,225.71939640000346,,,,,,227.58805360000406,1,4,[0.22333333 0.245     ],3.370209100001375,,,,,231.7928421999968,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,5,14,test item,2-2,resized_B_B164.png,kimono,182,resized_A_B54.png,Telefon,16,resized_B_A150.png,Känguru,2,resized_B_B177.png,Schloss,14,resized_B_B73.png,Treppe,4,resized_A_A52.png,Stein,6,resized_B_B164.png,kimono,13,9.52,19.05,5.98,2.86,2.89,2.89,2.61,3.43,2.86,2.09,1.73,LF,None,None,None,None,3,6,nn,0.008175079,0.465979503,0,13,13,13,231.94165560000692,,,,,,233.8102285000059,1,13,[-0.2125 -0.265 ],4.50418720000016,,,,,243.48551630000293,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,11,15,test item,2-2,resized_B_A33.png,Roboter,156,resized_B_A147.png,Hund,15,resized_A_B78.png,Pfeil,6,resized_A_B150.png,Rakete,2,resized_A_B199.png,Fisch,8,resized_B_A33.png,Roboter,1,resized_B_A11.png,Medaille,7,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,14,14,14,243.629136500007,,,,,,245.48658120000619,1,1,[-0.2625      0.26583333],4.15388470000471,,,,,250.55850520000968,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,11,16,test item,1-2,resized_B_A11.png,Medaille,167,resized_B_A147.png,Hund,15,resized_A_B78.png,Pfeil,6,resized_A_B150.png,Rakete,2,resized_A_B199.png,Fisch,8,resized_B_A33.png,Roboter,1,resized_B_A11.png,Medaille,7,15.48,15.48,4.86,2.82,3.07,2.36,2.79,2.54,2.68,3.98,2.01,LF,1.6,2.89,6.22,5.57,3,8,nn,3.760536338,6.008683062,0,15,15,15,250.70974250001018,,,,,,252.57571269999607,0,8,[0.2425     0.06416667],4.25380020000739,1,7,[0.10083333 0.07833333],6.890229800002999,261.13407880000887,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,13,17,test item,2-2,resized_B_B167.png,Fliege,151,resized_A_A134.png,Vogel,11,resized_A_A139.png,Gans,3,resized_B_A185.png,Gesicht,14,resized_B_A129.png,Huhn,10,resized_B_B167.png,Fliege,12,resized_B_A77.png,Hang,15,11.9,15.48,5.7,2.61,2.39,3.25,3.61,2.57,2.29,23.19,2.77,HF,-0.95,2.16,6.14,None,2,6,nn,4.332791868,12.70407276,0,16,16,16,261.28593929999624,,,,,,263.151678299997,0,11,[ 0.1025 -0.0925],3.5029654999962077,1,12,[ 0.2525     -0.09833333],6.856166500001564,271.8430645000044,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,13,18,test item,1-2,resized_B_A185.png,Gesicht,138,resized_A_A134.png,Vogel,11,resized_A_A139.png,Gans,3,resized_B_A185.png,Gesicht,14,resized_B_A129.png,Huhn,10,resized_B_B167.png,Fliege,12,resized_B_A77.png,Hang,15,14.46,34.52,5.44,3.5,2.39,3.57,3.32,2.39,2.89,195.05,3.695,HF,1,2.67,6,3.79,2,7,nn,196.2591215,239.1537609,0,17,17,17,271.99458030000096,,,,,,273.86049629999616,1,14,[-0.05083333 -0.24916667],3.0865431999991415,,,,,277.8982343000098,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,1,19,test item,1-2,resized_A_B168.png,Frau,136,resized_A_B192.png,Katze,7,resized_B_B19.png,Krawatte,16,resized_A_B168.png,Frau,9,resized_A_B196.png,Fenster,10,resized_A_B43.png,Parfüm,5,resized_A_A73.png,Klinge,14,9.41,28.24,5.66,3.45,2.64,3.07,3.69,1.93,2.71,857.36,4.34,HF,1.4,2.5,6.56,3.68,1,4,nn,472.6503672,625.2055164,0,18,18,18,278.03901880000194,,,,,,279.8989026000054,1,9,[-0.26666667 -0.07666667],2.369308599998476,,,,,282.9022632999986,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,1,20,test item,2-2,resized_A_B196.png,Fenster,152,resized_A_B192.png,Katze,7,resized_B_B19.png,Krawatte,16,resized_A_B168.png,Frau,9,resized_A_B196.png,Fenster,10,resized_A_B43.png,Parfüm,5,resized_A_A73.png,Klinge,14,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,19,19,19,283.0468955999968,,,,,,284.9197553999984,1,10,[-0.11083333 -0.0775    ],4.554373599996325,,,,,290.4415810000064,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,10,21,test item,2-2,resized_B_A54.png,Flamme,178,resized_A_A93.png,Haus,15,resized_B_C01.png,Kaninchen,13,resized_B_B180.png,Geist,8,resized_A_B55.png,Schlange,4,resized_B_A176.png,Trophäe,1,resized_B_A54.png,Flamme,14,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,20,20,20,290.5891174999997,,,,,,292.44280030000664,0,1,[-0.2375      0.25083333],4.554389700002503,0,13,[-0.2375     -0.25833333],11.259713599996758,310.976066800009,1,14,[-0.0625 -0.2425],14.245708799993736,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,10,22,test item,1-2,resized_B_A176.png,Trophäe,164,resized_A_A93.png,Haus,15,resized_B_C01.png,Kaninchen,13,resized_B_B180.png,Geist,8,resized_A_B55.png,Schlange,4,resized_B_A176.png,Trophäe,1,resized_B_A54.png,Flamme,14,13.1,13.1,5.4,2.82,2.18,3.54,3.04,2.82,1.89,2.56,1.82,LF,None,None,None,None,2,7,nn,0.580430609,1.087285506,0,21,21,21,311.1184123999992,,,,,,312.97678460000316,1,1,[-0.24083333  0.26      ],5.655088600004092,,,,,320.6009122000105,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,4,23,test item,1-2,resized_B_A36.png,Stern,140,resized_B_A187.png,Brücke,6,resized_A_A148.png,Giraffe,11,resized_A_A04.png,Baum,9,resized_B_A36.png,Stern,8,resized_B_A23.png,Flasche,13,resized_A_B194.png,Raute,2,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,22,22,22,320.74624259999837,,,,,,322.6181026999984,1,8,[0.31666667 0.11416667],2.7028753999911714,,,,,325.888529200005,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,4,24,test item,2-2,resized_B_A23.png,Flasche,153,resized_B_A187.png,Brücke,6,resized_A_A148.png,Giraffe,11,resized_A_A04.png,Baum,9,resized_B_A36.png,Stern,8,resized_B_A23.png,Flasche,13,resized_A_B194.png,Raute,2,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,23,23,23,326.03442840000207,,,,,,327.9059833000065,1,13,[-0.23333333 -0.25666667],4.337397199997213,,,,,332.8279548999999,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,2,25,test item,2-2,resized_A_B08.png,Person,154,resized_A_B157.png,Hammer,3,resized_B_A140.png,Flamingo,5,resized_B_A153.png,Schwein,13,resized_A_A76.png,Mauer,6,resized_A_B08.png,Person,7,resized_A_A74.png,Rubin,16,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,24,24,24,332.9693127000064,,,,,,334.828454100003,1,7,[0.095      0.08083333],3.286507699987851,,,,,338.7327828999987,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,2,26,test item,1-2,resized_A_A74.png,Rubin,165,resized_A_B157.png,Hammer,3,resized_B_A140.png,Flamingo,5,resized_B_A153.png,Schwein,13,resized_A_A76.png,Mauer,6,resized_A_B08.png,Person,7,resized_A_A74.png,Rubin,16,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,25,25,25,338.87520989999757,,,,,,340.73355340000126,0,6,[-0.05    0.0725],2.2354939000069862,1,16,[ 0.24166667 -0.24916667],4.937844800006133,346.67278220001026,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,8,27,test item,2-2,resized_B_A70.png,Brunnen,183,resized_A_A90.png,Fabrik,10,resized_B_B70.png,Quadrat,16,resized_B_A43.png,Blatt,6,resized_A_B20.png,Kerze,8,resized_B_B143.png,Tanne,1,resized_B_A70.png,Brunnen,7,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,26,26,26,346.8232233000017,,,,,,348.6901641000004,1,7,[0.07       0.06833333],4.804471700001159,,,,,354.89635070000077,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,8,28,test item,1-2,resized_A_B20.png,Kerze,168,resized_A_A90.png,Fabrik,10,resized_B_B70.png,Quadrat,16,resized_B_A43.png,Blatt,6,resized_A_B20.png,Kerze,8,resized_B_B143.png,Tanne,1,resized_B_A70.png,Brunnen,7,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,27,27,27,355.03735040000174,,,,,,356.89707279999857,0,1,[-0.255       0.24666667],2.8361967999953777,1,8,[0.24583333 0.07666667],4.704334800000652,363.18673970000236,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.20921640000597,373.193308300004,,,,,,,,,
