study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,150.0,3,A_B,3.0,1.0,training,3,B,12,1,test item,2-1,resized_A_A52.png,Stein,149,resized_B_A03.png,Kleid,4,resized_A_A02.png,Mühle,12,resized_A_A52.png,Stein,11,resized_B_A20.png,Grill,10,resized_A_B139.png,Trichter,7,resized_B_A70.png,Brunnen,9,4.71,5.88,5.95,2.55,2.21,3.04,2.28,2.41,1.89,43.86,3.05,HF,0.23,2,5.5,2.58,1,5,nn,37.40098641,66.14456416,0,0,0,0,36.48501059995033,,0.0012823999859392643,10.067339099943638,10.067349500022829,34.275171900051646,38.261888599954545,1,11,[ 0.09416667 -0.13333333],3.0202821999555454,42.44962680002209,,,150,B,3,2025-04-28_16h43.45.048,task,2023.2.2,59.919025426301914,2025-04-28 16h43.55.800098 +0200,
LEALCO-EEG,150.0,3,A_B,3.0,1.0,training,3,B,12,2,test item,1-1,resized_B_A20.png,Grill,160,resized_B_A03.png,Kleid,4,resized_A_A02.png,Mühle,12,resized_A_A52.png,Stein,11,resized_B_A20.png,Grill,10,resized_A_B139.png,Trichter,7,resized_B_A70.png,Brunnen,9,16.05,16.67,5.17,2.46,2.43,3.18,3.18,2.64,2.69,3.7,1.98,LF,None,None,None,6.13,1,5,nn,0.833858058,0.842033137,0,1,1,1,42.59119009994902,,,,,,44.45050120004453,1,10,[-0.08083333 -0.055     ],3.436235100030899,49.02153340005316,,,150,B,3,2025-04-28_16h43.45.048,task,2023.2.2,59.919025426301914,2025-04-28 16h43.55.800098 +0200,
LEALCO-EEG,150.0,3,A_B,3.0,1.0,training,3,B,5,3,test item,2-1,resized_A_A76.png,Mauer,147,resized_A_B109.png,Boot,7,resized_B_C01.png,Kaninchen,12,resized_B_B73.png,Treppe,6,resized_A_A76.png,Mauer,4,resized_B_A23.png,Flasche,10,resized_B_B49.png,Magnet,9,9.41,14.12,5.6,2.72,2.61,2.36,2.69,2.59,2.44,16.89,2.63,HF,-0.5,2.78,5.64,3.53,2,5,nn,27.26388845,44.11272626,0,2,2,2,49.17134740005713,,,,,,51.0392999999458,1,4,[0.24916667 0.27333333],3.686541900038719,55.693903999985196,,,150,B,3,2025-04-28_16h43.45.048,task,2023.2.2,59.919025426301914,2025-04-28 16h43.55.800098 +0200,
LEALCO-EEG,150.0,3,A_B,3.0,1.0,training,3,B,5,4,test item,1-1,resized_B_B49.png,Magnet,163,resized_A_B109.png,Boot,7,resized_B_C01.png,Kaninchen,12,resized_B_B73.png,Treppe,6,resized_A_A76.png,Mauer,4,resized_B_A23.png,Flasche,10,resized_B_B49.png,Magnet,9,15.48,15.48,4.88,2.93,3.11,1.89,2.93,2.79,3.11,1.5,1.591,LF,0.6,2.21,6.22,6.74,2,6,nn,1.119985822,3.000253992,0,3,3,3,55.83360809995793,,,,,,57.69498140003998,1,9,[-0.30333333 -0.08166667],5.354165200027637,64.13453699997626,,,150,B,3,2025-04-28_16h43.45.048,task,2023.2.2,59.919025426301914,2025-04-28 16h43.55.800098 +0200,
LEALCO-EEG,150.0,3,A_B,3.0,1.0,training,3,B,2,5,test item,1-1,resized_B_B180.png,Geist,129,resized_A_B192.png,Katze,13,resized_A_B78.png,Pfeil,14,resized_B_B180.png,Geist,7,resized_B_A129.png,Huhn,8,resized_A_B08.png,Person,15,resized_A_A74.png,Rubin,12,26.19,38.1,4.73,3.43,2.89,2.68,3,2.57,2.59,77.01,3.29,HF,1.1,2.83,4,6.22,1,5,nn,99.6787382,173.1808735,0,4,4,4,64.28840920003131,,,,,,66.15208619995974,1,7,[0.10416667 0.05666667],5.938003599992953,73.74254929996096,,,150,B,3,2025-04-28_16h43.45.048,task,2023.2.2,59.919025426301914,2025-04-28 16h43.55.800098 +0200,
LEALCO-EEG,150.0,3,A_B,3.0,1.0,training,3,B,2,6,test item,2-1,resized_B_A129.png,Huhn,146,resized_A_B192.png,Katze,13,resized_A_B78.png,Pfeil,14,resized_B_B180.png,Geist,7,resized_B_A129.png,Huhn,8,resized_A_B08.png,Person,15,resized_A_A74.png,Rubin,12,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,5,5,5,73.88484329998028,,,,,,75.74345019995235,1,8,[0.29583333 0.0525    ],2.636056900024414,79.09694459999446,,,150,B,3,2025-04-28_16h43.45.048,task,2023.2.2,59.919025426301914,2025-04-28 16h43.55.800098 +0200,
LEALCO-EEG,150.0,3,A_B,3.0,1.0,training,3,B,7,7,test item,1-1,resized_B_A153.png,Schwein,131,resized_A_B157.png,Hammer,15,resized_A_A148.png,Giraffe,2,resized_B_A153.png,Schwein,11,resized_B_B24.png,Baby,13,resized_B_B152.png,Säge,1,resized_A_A151.png,Fuchs,7,28.57,45.24,3.8,3.18,2.86,2.54,2.75,1.89,3.29,62.09,3.2,HF,0.59,2.77,5.95,2.81,1,7,nn,7.995227258,18.36122743,0,6,6,6,79.24190699995961,,,,,,81.09804730000906,1,11,[ 0.03583333 -0.02083333],3.352891999995336,86.05303920002189,,,150,B,3,2025-04-28_16h43.45.048,task,2023.2.2,59.919025426301914,2025-04-28 16h43.55.800098 +0200,
LEALCO-EEG,150.0,3,A_B,3.0,1.0,training,3,B,7,8,test item,2-1,resized_B_B152.png,Säge,171,resized_A_B157.png,Hammer,15,resized_A_A148.png,Giraffe,2,resized_B_A153.png,Schwein,11,resized_B_B24.png,Baby,13,resized_B_B152.png,Säge,1,resized_A_A151.png,Fuchs,7,15.48,20.24,4.54,3.57,3.21,2.32,2.46,2.68,3,3.11,1.9,LF,-1.09,2.95,5.68,None,2,4,nn,1.978369117,2.812227175,0,7,7,7,86.19169330003206,,,,,,88.05390940001234,1,1,[-0.26166667  0.20666667],2.8858049999689683,92.27476109995041,,,150,B,3,2025-04-28_16h43.45.048,task,2023.2.2,59.919025426301914,2025-04-28 16h43.55.800098 +0200,
LEALCO-EEG,150.0,3,A_B,3.0,1.0,training,3,B,14,9,test item,1-1,resized_A_B56.png,Stuhl,133,resized_A_B54.png,Telefon,6,resized_B_A135.png,Kamel,12,resized_A_B56.png,Stuhl,3,resized_A_B199.png,Fisch,8,resized_B_A176.png,Trophäe,9,resized_A_B33.png,Zünder,16,35.29,36.47,4.11,3.41,3.43,1.75,3.31,1.79,2.86,30.67,2.892,HF,0.5,1.82,6.23,2.86,1,5,nn,33.05184438,50.36666169,0,8,8,8,92.41522229998372,,,,,,94.27574309997726,1,3,[0.10666667 0.245     ],3.152923099929467,98.41318679996766,,,150,B,3,2025-04-28_16h43.45.048,task,2023.2.2,59.919025426301914,2025-04-28 16h43.55.800098 +0200,
LEALCO-EEG,150.0,3,A_B,3.0,1.0,training,3,B,14,10,test item,2-1,resized_A_B199.png,Fisch,148,resized_A_B54.png,Telefon,6,resized_B_A135.png,Kamel,12,resized_A_B56.png,Stuhl,3,resized_A_B199.png,Fisch,8,resized_B_A176.png,Trophäe,9,resized_A_B33.png,Zünder,16,20.48,24.71,5.03,2.48,2.46,2.71,3.03,2.38,2.68,42.72,3.04,HF,0.36,2.36,5.86,2.76,1,5,nn,16.26023212,42.6575622,0,9,9,9,98.55810509994626,,,,,,100.41417420003563,1,8,[0.27916667 0.07583333],4.254013800062239,105.78606860002037,,,150,B,3,2025-04-28_16h43.45.048,task,2023.2.2,59.919025426301914,2025-04-28 16h43.55.800098 +0200,
LEALCO-EEG,150.0,3,A_B,3.0,1.0,training,3,B,9,11,test item,2-1,resized_A_A122.png,Sturz,176,resized_A_A93.png,Haus,4,resized_B_A140.png,Flamingo,10,resized_B_A06.png,Hut,12,resized_B_B167.png,Fliege,1,resized_A_B15.png,Schwangere,7,resized_A_A122.png,Sturz,16,3.53,4.71,6.19,2.48,2.25,3.89,3.21,2.62,1.79,6.26,2.2,LF,-1.6,3.76,5.56,3.8,1,5,nn,13.16187718,16.13760594,0,10,10,10,105.93053839995991,,,,,,107.8040363000473,1,16,[ 0.23916667 -0.20083333],4.3531273999251425,113.4759853000287,,,150,B,3,2025-04-28_16h43.45.048,task,2023.2.2,59.919025426301914,2025-04-28 16h43.55.800098 +0200,
LEALCO-EEG,150.0,3,A_B,3.0,1.0,training,3,B,9,12,test item,1-1,resized_B_A06.png,Hut,135,resized_A_A93.png,Haus,4,resized_B_A140.png,Flamingo,10,resized_B_A06.png,Hut,12,resized_B_B167.png,Fliege,1,resized_A_B15.png,Schwangere,7,resized_A_A122.png,Sturz,16,25,30.95,4.37,3.43,3.07,2.11,3.25,2.14,3.15,45.91,3.067,HF,None,None,None,4,1,3,nn,33.34614722,41.24327353,0,11,11,11,113.61897249997128,,,,,,115.47698100004345,1,12,[ 0.24 -0.07],4.920847300090827,121.73298420000356,,,150,B,3,2025-04-28_16h43.45.048,task,2023.2.2,59.919025426301914,2025-04-28 16h43.55.800098 +0200,
LEALCO-EEG,150.0,3,A_B,3.0,1.0,training,3,B,11,13,test item,2-1,resized_B_A123.png,Tänzer,174,resized_A_A134.png,Vogel,1,resized_A_A139.png,Gans,9,resized_B_A185.png,Gesicht,12,resized_A_B43.png,Parfüm,6,resized_B_A123.png,Tänzer,10,resized_B_B164.png,kimono,7,8.33,23.81,5.5,3.68,2.71,3.36,3.86,2,3.29,6.06,2.19,LF,None,None,None,None,2,6,nn,3.973088392,4.700670423,0,12,12,12,121.87711849994957,,,,,,123.73395020002499,1,10,[-0.07083333 -0.02583333],5.471726599964313,130.55689689994324,,,150,B,3,2025-04-28_16h43.45.048,task,2023.2.2,59.919025426301914,2025-04-28 16h43.55.800098 +0200,
