study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,130.0,2,B-A,2.0,2.0,training,4,B,4,1,test item,2-2,resized_A_A151.png,Fuchs,181,resized_A_A134.png,Vogel,12,resized_B_A132.png,Ente,11,resized_B_A36.png,Stern,6,resized_A_A76.png,Mauer,4,resized_B_A43.png,Blatt,5,resized_A_A151.png,Fuchs,8,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,0,0,0,60.06988329999149,,0.0010462000500410795,10.065392500022426,10.065402900101617,57.86078409990296,61.84747699997388,1,8,[0.23 0.07],3.020568000152707,65.4517306999769,,,,,,,130,B,4,2024-12-02_12h08.26.785,task,2023.2.2,59.582753904558345,2024-12-02 12h08.38.996487 +0100,
LEALCO-EEG,130.0,2,B-A,2.0,2.0,training,4,B,4,2,test item,1-2,resized_B_A36.png,Stern,140,resized_A_A134.png,Vogel,12,resized_B_A132.png,Ente,11,resized_B_A36.png,Stern,6,resized_A_A76.png,Mauer,4,resized_B_A43.png,Blatt,5,resized_A_A151.png,Fuchs,8,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,1,1,1,65.58650170010515,,,,,,67.45203849999234,1,6,[-0.08083333  0.07      ],1.2517725999932736,69.25442230002955,,,,,,,130,B,4,2024-12-02_12h08.26.785,task,2023.2.2,59.582753904558345,2024-12-02 12h08.38.996487 +0100,
LEALCO-EEG,130.0,2,B-A,2.0,2.0,training,4,B,5,3,test item,2-2,resized_B_A23.png,Flasche,153,resized_A_A93.png,Haus,15,resized_B_B70.png,Quadrat,2,resized_B_A153.png,Schwein,9,resized_B_A188.png,Tür,3,resized_A_B55.png,Schlange,7,resized_B_A23.png,Flasche,8,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,2,2,2,69.40025689988397,,,,,,71.25536100007594,1,8,[0.27333333 0.05666667],1.7354353999253362,73.29125240002759,,,,,,,130,B,4,2024-12-02_12h08.26.785,task,2023.2.2,59.582753904558345,2024-12-02 12h08.38.996487 +0100,
LEALCO-EEG,130.0,2,B-A,2.0,2.0,training,4,B,5,4,test item,1-2,resized_B_A188.png,Tür,141,resized_A_A93.png,Haus,15,resized_B_B70.png,Quadrat,2,resized_B_A153.png,Schwein,9,resized_B_A188.png,Tür,3,resized_A_B55.png,Schlange,7,resized_B_A23.png,Flasche,8,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,3,3,3,73.43332790001296,,,,,,75.29208660009317,1,3,[0.04666667 0.2175    ],1.1847293002065271,76.96106190001592,,,,,,,130,B,4,2024-12-02_12h08.26.785,task,2023.2.2,59.582753904558345,2024-12-02 12h08.38.996487 +0100,
LEALCO-EEG,130.0,2,B-A,2.0,2.0,training,4,B,9,5,test item,1-2,resized_B_A11.png,Medaille,167,resized_A_B192.png,Katze,5,resized_B_A197.png,Hirsch,8,resized_A_A04.png,Baum,2,resized_A_B196.png,Fenster,11,resized_B_A11.png,Medaille,6,resized_B_B152.png,Säge,16,15.48,15.48,4.86,2.82,3.07,2.36,2.79,2.54,2.68,3.98,2.01,LF,1.6,2.89,6.22,5.57,3,8,nn,3.760536338,6.008683062,0,4,4,4,77.09992379997857,,,,,,78.9618991999887,1,6,[-0.0475      0.07083333],1.8851588999386877,81.33138510002755,,,,,,,130,B,4,2024-12-02_12h08.26.785,task,2023.2.2,59.582753904558345,2024-12-02 12h08.38.996487 +0100,
LEALCO-EEG,130.0,2,B-A,2.0,2.0,training,4,B,9,6,test item,2-2,resized_A_B196.png,Fenster,152,resized_A_B192.png,Katze,5,resized_B_A197.png,Hirsch,8,resized_A_A04.png,Baum,2,resized_A_B196.png,Fenster,11,resized_B_A11.png,Medaille,6,resized_B_B152.png,Säge,16,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,5,5,5,81.46428709989414,,,,,,83.33221219992265,1,11,[ 0.08583333 -0.0675    ],2.1188044999726117,86.06879869988188,,,,,,,130,B,4,2024-12-02_12h08.26.785,task,2023.2.2,59.582753904558345,2024-12-02 12h08.38.996487 +0100,
LEALCO-EEG,130.0,2,B-A,2.0,2.0,training,4,B,6,7,test item,2-2,resized_B_A33.png,Roboter,156,resized_B_A68.png,Lampe,15,resized_B_B175.png,Propeller,6,resized_B_B193.png,Auge,12,resized_B_A33.png,Roboter,4,resized_A_B22.png,Kreisel,14,resized_A_B15.png,Schwangere,3,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,6,6,6,86.22480079997331,,,,,,88.06950589991175,1,4,[0.24333333 0.22416667],2.435740200104192,91.54012009990402,,,,,,,130,B,4,2024-12-02_12h08.26.785,task,2023.2.2,59.582753904558345,2024-12-02 12h08.38.996487 +0100,
LEALCO-EEG,130.0,2,B-A,2.0,2.0,training,4,B,6,8,test item,1-2,resized_A_B15.png,Schwangere,170,resized_B_A68.png,Lampe,15,resized_B_B175.png,Propeller,6,resized_B_B193.png,Auge,12,resized_B_A33.png,Roboter,4,resized_A_B22.png,Kreisel,14,resized_A_B15.png,Schwangere,3,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,7,7,7,91.69817489990965,,,,,,93.54082260001451,1,3,[0.03416667 0.21666667],2.0854090000502765,96.96124450000934,,,,,,,130,B,4,2024-12-02_12h08.26.785,task,2023.2.2,59.582753904558345,2024-12-02 12h08.38.996487 +0100,
LEALCO-EEG,130.0,2,B-A,2.0,2.0,training,4,B,8,9,test item,1-2,resized_B_B24.png,Baby,142,resized_B_B155.png,Messer,11,resized_A_A148.png,Giraffe,15,resized_B_B24.png,Baby,10,resized_B_A77.png,Hang,14,resized_A_B194.png,Raute,2,resized_B_A54.png,Flamme,6,8.33,9.52,5.33,3.11,3.39,2.57,3.25,2.68,3.07,324.66,3.92,HF,1.9,2.83,6.78,3.38,2,4,nn,7.995227258,9.834620032,0,8,8,8,97.09810790000483,,,,,,98.96201350004412,1,10,[-0.0925     -0.11833333],1.9354243001434952,101.73181889997795,,,,,,,130,B,4,2024-12-02_12h08.26.785,task,2023.2.2,59.582753904558345,2024-12-02 12h08.38.996487 +0100,
LEALCO-EEG,130.0,2,B-A,2.0,2.0,training,4,B,8,10,test item,2-2,resized_B_A54.png,Flamme,178,resized_B_B155.png,Messer,11,resized_A_A148.png,Giraffe,15,resized_B_B24.png,Baby,10,resized_B_A77.png,Hang,14,resized_A_B194.png,Raute,2,resized_B_A54.png,Flamme,6,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,9,9,9,101.87967790011317,,,,,,103.74939629994333,1,6,[-0.04333333  0.045     ],1.9188947000075132,106.7026790000964,,,,,,,130,B,4,2024-12-02_12h08.26.785,task,2023.2.2,59.582753904558345,2024-12-02 12h08.38.996487 +0100,
LEALCO-EEG,130.0,2,B-A,2.0,2.0,training,4,B,12,11,test item,2-2,resized_A_A179.png,Drachen,150,resized_B_A147.png,Hund,14,resized_B_C01.png,Kaninchen,16,resized_B_B177.png,Schloss,11,resized_A_A113.png,Engel,7,resized_A_A179.png,Drachen,10,resized_A_A73.png,Klinge,1,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,10,10,10,106.8510650000535,,,,,,108.70365469995886,1,10,[-0.05833333 -0.09583333],2.3688817000947893,112.2573802000843,,,,,,,130,B,4,2024-12-02_12h08.26.785,task,2023.2.2,59.582753904558345,2024-12-02 12h08.38.996487 +0100,
