study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,3,A,12,1,test item,1-2,resized_A_B15.png,Schwangere,170,resized_B_A68.png,Lampe,8,resized_A_A148.png,Giraffe,12,resized_B_A33.png,Roboter,5,resized_A_A100.png,Ruderer,15,resized_A_B15.png,Schwangere,14,resized_A_A73.png,Klinge,13,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,0,0,0,44.40405429999919,,0.0010894000006373972,10.069322499999544,10.06933190000018,42.19538210000064,46.19871950000015,1,14,[-0.09083333 -0.22833333],2.069966300001397,48.734980400000495,,,120,A,3,2024-11-07_13h32.18.487,task,2023.2.2,59.863606758401126,2024-11-07 13h32.33.542892 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,3,A,12,2,test item,2-2,resized_B_A33.png,Roboter,156,resized_B_A68.png,Lampe,8,resized_A_A148.png,Giraffe,12,resized_B_A33.png,Roboter,5,resized_A_A100.png,Ruderer,15,resized_A_B15.png,Schwangere,14,resized_A_A73.png,Klinge,13,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,1,1,1,48.86793829999988,,,,,,50.73585689999891,1,5,[-0.23583333  0.08333333],2.9529495000006136,54.22299000000021,,,120,A,3,2024-11-07_13h32.18.487,task,2023.2.2,59.863606758401126,2024-11-07 13h32.33.542892 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,3,A,6,3,test item,2-2,resized_B_B206.png,Axt,179,resized_A_B109.png,Boot,16,resized_B_A140.png,Flamingo,4,resized_A_A76.png,Mauer,12,resized_A_B22.png,Kreisel,3,resized_A_B139.png,Trichter,11,resized_B_B206.png,Axt,10,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,2,2,2,54.363454599999386,,,,,,56.22382649999963,1,10,[-0.095      -0.11666667],2.5857541000004858,59.34391440000036,,,120,A,3,2024-11-07_13h32.18.487,task,2023.2.2,59.863606758401126,2024-11-07 13h32.33.542892 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,3,A,6,4,test item,1-2,resized_A_B139.png,Trichter,169,resized_A_B109.png,Boot,16,resized_B_A140.png,Flamingo,4,resized_A_A76.png,Mauer,12,resized_A_B22.png,Kreisel,3,resized_A_B139.png,Trichter,11,resized_B_B206.png,Axt,10,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,3,3,3,59.496581600000354,,,,,,61.36140969999906,1,11,[ 0.10916667 -0.05416667],3.803943700000673,65.71609759999956,,,120,A,3,2024-11-07_13h32.18.487,task,2023.2.2,59.863606758401126,2024-11-07 13h32.33.542892 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,3,A,11,5,test item,1-2,resized_A_A74.png,Rubin,165,resized_A_B54.png,Telefon,3,resized_B_A142.png,Reiter,9,resized_A_A04.png,Baum,14,resized_B_A129.png,Huhn,16,resized_A_A74.png,Rubin,10,resized_A_A151.png,Fuchs,1,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,4,4,4,65.85212060000049,,,,,,67.71681979999994,1,10,[-0.07416667 -0.05416667],1.9353879999998753,70.35310240000035,,,120,A,3,2024-11-07_13h32.18.487,task,2023.2.2,59.863606758401126,2024-11-07 13h32.33.542892 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,3,A,11,6,test item,2-2,resized_A_A151.png,Fuchs,181,resized_A_B54.png,Telefon,3,resized_B_A142.png,Reiter,9,resized_A_A04.png,Baum,14,resized_B_A129.png,Huhn,16,resized_A_A74.png,Rubin,10,resized_A_A151.png,Fuchs,1,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,5,5,5,70.49802309999905,,,,,,72.35400320000008,1,1,[-0.24833333  0.24916667],1.7686182999987068,74.60660610000014,,,120,A,3,2024-11-07_13h32.18.487,task,2023.2.2,59.863606758401126,2024-11-07 13h32.33.542892 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,3,A,9,7,test item,1-2,resized_A_A166.png,Pyramide,166,resized_A_A93.png,Haus,8,resized_A_B78.png,Pfeil,13,resized_B_A06.png,Hut,6,resized_A_A166.png,Pyramide,15,resized_A_B39.png,Sessel,4,resized_A_B32.png,Kamin,9,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,6,6,6,74.75332899999921,,,,,,76.62428999999975,1,15,[ 0.15       -0.28666667],3.0194317999994382,80.32828229999905,,,120,A,3,2024-11-07_13h32.18.487,task,2023.2.2,59.863606758401126,2024-11-07 13h32.33.542892 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,3,A,9,8,test item,2-2,resized_A_B32.png,Kamin,184,resized_A_A93.png,Haus,8,resized_A_B78.png,Pfeil,13,resized_B_A06.png,Hut,6,resized_A_A166.png,Pyramide,15,resized_A_B39.png,Sessel,4,resized_A_B32.png,Kamin,9,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,7,7,7,80.47762659999898,,,,,,82.34573439999986,1,9,[-0.22416667 -0.09416667],4.404168199998821,87.45083179999892,,,120,A,3,2024-11-07_13h32.18.487,task,2023.2.2,59.863606758401126,2024-11-07 13h32.33.542892 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,3,A,3,9,test item,2-2,resized_B_A70.png,Brunnen,183,resized_B_B155.png,Messer,4,resized_A_A02.png,Mühle,15,resized_A_B150.png,Rakete,12,resized_B_A188.png,Tür,9,resized_A_B194.png,Raute,6,resized_B_A70.png,Brunnen,8,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,8,8,8,87.59376729999894,,,,,,89.45173040000009,1,8,[0.2525     0.07666667],2.602889800000412,92.7386207999989,,,120,A,3,2024-11-07_13h32.18.487,task,2023.2.2,59.863606758401126,2024-11-07 13h32.33.542892 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,3,A,3,10,test item,1-2,resized_B_A188.png,Tür,141,resized_B_B155.png,Messer,4,resized_A_A02.png,Mühle,15,resized_A_B150.png,Rakete,12,resized_B_A188.png,Tür,9,resized_A_B194.png,Raute,6,resized_B_A70.png,Brunnen,8,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,9,9,9,92.8904251999993,,,,,,94.75619229999938,1,9,[-0.23333333 -0.08833333],2.085379300000568,97.342496199999,,,120,A,3,2024-11-07_13h32.18.487,task,2023.2.2,59.863606758401126,2024-11-07 13h32.33.542892 +0100,
