study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,7,11,test item,2-2,resized_A_B196.png,Fenster,152,resized_A_B192.png,Katze,11,resized_B_A142.png,Reiter,14,resized_B_A185.png,Gesicht,2,resized_A_A52.png,Stein,6,resized_A_B196.png,Fenster,15,resized_A_B43.png,Parfüm,4,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,10,10,10,218.42814809999982,,,,,,220.28183589999935,1,15,[ 0.07333333 -0.2525    ],3.1030034999994314,224.11916930000007,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,7,12,test item,1-2,resized_B_A185.png,Gesicht,138,resized_A_B192.png,Katze,11,resized_B_A142.png,Reiter,14,resized_B_A185.png,Gesicht,2,resized_A_A52.png,Stein,6,resized_A_B196.png,Fenster,15,resized_A_B43.png,Parfüm,4,14.46,34.52,5.44,3.5,2.39,3.57,3.32,2.39,2.89,195.05,3.695,HF,1,2.67,6,3.79,2,7,nn,196.2591215,239.1537609,0,11,11,11,224.25761330000023,,,,,,226.12010779999946,1,2,[-0.09416667  0.23083333],5.655037600000469,232.62638919999972,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,8,13,test item,2-2,resized_A_A151.png,Fuchs,181,resized_A_A93.png,Haus,12,resized_B_C01.png,Kaninchen,6,resized_A_A113.png,Engel,8,resized_A_A76.png,Mauer,11,resized_B_A77.png,Hang,15,resized_A_A151.png,Fuchs,1,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,12,12,12,232.7685182999994,,,,,,234.6272401999995,1,1,[-0.235       0.25083333],3.653437199999644,238.9817352,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,8,14,test item,1-2,resized_A_A113.png,Engel,139,resized_A_A93.png,Haus,12,resized_B_C01.png,Kaninchen,6,resized_A_A113.png,Engel,8,resized_A_A76.png,Mauer,11,resized_B_A77.png,Hang,15,resized_A_A151.png,Fuchs,1,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,13,13,13,239.1248083999999,,,,,,240.98270599999978,1,8,[0.26833333 0.11333333],4.1871713000000454,246.2211860999996,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,5,15,test item,1-2,resized_A_B20.png,Kerze,168,resized_A_A141.png,Pferd,4,resized_B_A140.png,Flamingo,16,resized_B_B180.png,Geist,3,resized_A_B20.png,Kerze,1,resized_A_B39.png,Sessel,11,resized_A_B33.png,Zünder,9,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,14,14,14,246.37356509999972,,,,,,248.2220615999995,1,1,[-0.27416667  0.26666667],2.702775300000212,251.90929880000022,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,5,16,test item,2-2,resized_A_B33.png,Zünder,180,resized_A_A141.png,Pferd,4,resized_B_A140.png,Flamingo,16,resized_B_B180.png,Geist,3,resized_A_B20.png,Kerze,1,resized_A_B39.png,Sessel,11,resized_A_B33.png,Zünder,9,10.59,11.76,5.31,3.07,2.71,2.32,2.93,3,2.54,4.8,2.09,LF,None,None,None,None,2,6,nn,0.711231873,0.825682979,0,15,15,15,252.05149699999947,,,,,,253.9101768999999,1,9,[-0.25       -0.10166667],2.886227200000576,257.4972567999994,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,1,17,test item,1-2,resized_A_A166.png,Pyramide,166,resized_B_A187.png,Brücke,8,resized_A_B78.png,Pfeil,6,resized_B_A37.png,Tasse,5,resized_B_A23.png,Flasche,2,resized_A_A100.png,Ruderer,15,resized_A_A166.png,Pyramide,7,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,16,16,16,257.6323261999996,,,,,,259.4981842999996,1,7,[0.07  0.075],2.952917699999489,262.9853174,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,1,18,test item,2-2,resized_B_A23.png,Flasche,153,resized_B_A187.png,Brücke,8,resized_A_B78.png,Pfeil,6,resized_B_A37.png,Tasse,5,resized_B_A23.png,Flasche,2,resized_A_A100.png,Ruderer,15,resized_A_A166.png,Pyramide,7,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,17,17,17,263.1282519999995,,,,,,264.98624070000005,1,2,[-0.09166667  0.25916667],3.1864935999992667,268.8401920999995,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,12,19,test item,2-2,resized_B_A33.png,Roboter,156,resized_B_A03.png,Kleid,2,resized_A_A148.png,Giraffe,14,resized_B_A06.png,Hut,1,resized_B_A33.png,Roboter,9,resized_B_A176.png,Trophäe,8,resized_B_A123.png,Tänzer,5,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,18,18,18,268.98456499999975,,,,,,270.84115179999935,1,9,[-0.23416667 -0.04416667],3.520082099999854,275.212313,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,12,20,test item,1-2,resized_B_A176.png,Trophäe,164,resized_B_A03.png,Kleid,2,resized_A_A148.png,Giraffe,14,resized_B_A06.png,Hut,1,resized_B_A33.png,Roboter,9,resized_B_A176.png,Trophäe,8,resized_B_A123.png,Tänzer,5,13.1,13.1,5.4,2.82,2.18,3.54,3.04,2.82,1.89,2.56,1.82,LF,None,None,None,None,2,7,nn,0.580430609,1.087285506,0,19,19,19,275.3594312999994,,,,,,277.2298111,0,1,[-0.27916667  0.24166667],12.727838199999496,297.1641301999998,1,8,[0.26416667 0.09      ],19.066445999999814,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,6,21,test item,2-2,resized_A_B08.png,Person,154,resized_B_A68.png,Lampe,12,resized_B_B70.png,Quadrat,9,resized_B_B24.png,Baby,13,resized_A_B199.png,Fisch,1,resized_A_B08.png,Person,16,resized_B_A43.png,Blatt,2,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,20,20,20,297.3126006000002,,,,,,299.1816837999995,1,16,[ 0.245      -0.23083333],4.3206639999998515,304.52035909999995,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,6,22,test item,1-2,resized_B_B24.png,Baby,142,resized_B_A68.png,Lampe,12,resized_B_B70.png,Quadrat,9,resized_B_B24.png,Baby,13,resized_A_B199.png,Fisch,1,resized_A_B08.png,Person,16,resized_B_A43.png,Blatt,2,8.33,9.52,5.33,3.11,3.39,2.57,3.25,2.68,3.07,324.66,3.92,HF,1.9,2.83,6.78,3.38,2,4,nn,7.995227258,9.834620032,0,21,21,21,304.65808749999997,,,,,,306.5211070999994,1,13,[-0.245 -0.23 ],3.420029899999463,310.5583308999994,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,10,23,test item,1-2,resized_A_B15.png,Schwangere,170,resized_A_B54.png,Telefon,6,resized_B_A132.png,Ente,9,resized_A_B55.png,Schlange,13,resized_A_B22.png,Kreisel,14,resized_A_B15.png,Schwangere,16,resized_A_B32.png,Kamin,3,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,22,22,22,310.70196810000016,,,,,,312.55966759999956,1,16,[ 0.25333333 -0.24083333],2.7360963000000993,315.89660559999993,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,10,24,test item,2-2,resized_A_B32.png,Kamin,184,resized_A_B54.png,Telefon,6,resized_B_A132.png,Ente,9,resized_A_B55.png,Schlange,13,resized_A_B22.png,Kreisel,14,resized_A_B15.png,Schwangere,16,resized_A_B32.png,Kamin,3,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,23,23,23,316.03887609999947,,,,,,317.8975209,1,3,[0.07083333 0.25416667],4.337594300000092,323.0025948000002,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,9,25,test item,1-2,resized_B_A188.png,Tür,141,resized_A_A90.png,Fabrik,12,resized_A_A02.png,Mühle,6,resized_A_A04.png,Baum,8,resized_B_A188.png,Tür,3,resized_B_B193.png,Auge,2,resized_B_A54.png,Flamme,16,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,24,24,24,323.1539942999998,,,,,,325.0034631999997,0,6,[-0.08083333  0.07666667],6.639226299999791,337.96531289999984,1,3,[0.09333333 0.2475    ],12.09402129999944,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,9,26,test item,2-2,resized_B_A54.png,Flamme,178,resized_A_A90.png,Fabrik,12,resized_A_A02.png,Mühle,6,resized_A_A04.png,Baum,8,resized_B_A188.png,Tür,3,resized_B_B193.png,Auge,2,resized_B_A54.png,Flamme,16,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,25,25,25,338.13074309999956,,,,,,339.98279490000004,0,12,[ 0.24333333 -0.1       ],4.871051799999805,359.90056430000004,0,2,[-0.08166667  0.24583333],16.297551900000144,1,16,[ 0.25833333 -0.24166667],19.049746900000173,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,13,27,test item,1-2,resized_A_B139.png,Trichter,169,resized_A_B157.png,Hammer,12,resized_B_A150.png,Känguru,11,resized_A_B56.png,Stuhl,4,resized_A_A179.png,Drachen,1,resized_A_B139.png,Trichter,7,resized_B_B152.png,Säge,3,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,26,26,26,360.04467059999934,,,,,,361.9012517000001,1,7,[0.09083333 0.08583333],4.904537100000198,367.69027899999946,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,13,28,test item,2-2,resized_A_A179.png,Drachen,150,resized_A_B157.png,Hammer,12,resized_B_A150.png,Känguru,11,resized_A_B56.png,Stuhl,4,resized_A_A179.png,Drachen,1,resized_A_B139.png,Trichter,7,resized_B_B152.png,Säge,3,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,27,27,27,367.84141009999985,,,,,,369.7077825999995,0,11,[ 0.06833333 -0.05833333],2.9529385000005277,376.2975360999999,1,1,[-0.22916667  0.2525    ],5.772039899999982,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.31120439999995,386.3043289999996,,,,,,,,,
