study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,trial.stopped,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,A,3,1,test item,1-1,resized_B_A06.png,Hut,135,resized_B_A03.png,Kleid,15,resized_B_A142.png,Reiter,5,resized_B_A06.png,Hut,14,resized_B_B24.png,Baby,3,resized_A_A179.png,Drachen,6,resized_A_A122.png,Sturz,11,25,30.95,4.37,3.43,3.07,2.11,3.25,2.14,3.15,45.91,3.067,HF,None,None,None,4,1,3,nn,33.34614722,41.24327353,0,0,0,0,46.798503199999686,,0.0011653999972622842,10.068096800008789,10.068107800005237,44.601236600006814,48.60447570000542,0,6,[-0.08583333  0.05833333],1.869845900000655,1,14,[-0.09083333 -0.255     ],4.887962199994945,54.06007240001054,,,,,,,122,A,1,2024-11-13_13h32.04.442,task,2023.2.2,59.94977408067924,2024-11-13 13h32.10.502535 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,A,3,2,test item,2-1,resized_A_A122.png,Sturz,176,resized_B_A03.png,Kleid,15,resized_B_A142.png,Reiter,5,resized_B_A06.png,Hut,14,resized_B_B24.png,Baby,3,resized_A_A179.png,Drachen,6,resized_A_A122.png,Sturz,11,3.53,4.71,6.19,2.48,2.25,3.89,3.21,2.62,1.79,6.26,2.2,LF,-1.6,3.76,5.56,3.8,1,5,nn,13.16187718,16.13760594,0,1,1,1,54.204284699997515,,,,,,56.06082470000547,1,11,[ 0.08   -0.0825],2.786361399994348,,,,,59.464607600006275,,,,,,,122,A,1,2024-11-13_13h32.04.442,task,2023.2.2,59.94977408067924,2024-11-13 13h32.10.502535 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,A,2,3,test item,2-1,resized_A_A76.png,Mauer,147,resized_A_B157.png,Hammer,15,resized_B_A140.png,Flamingo,4,resized_B_A153.png,Schwein,6,resized_A_A76.png,Mauer,12,resized_A_B08.png,Person,2,resized_A_A74.png,Rubin,10,9.41,14.12,5.6,2.72,2.61,2.36,2.69,2.59,2.44,16.89,2.63,HF,-0.5,2.78,5.64,3.53,2,5,nn,27.26388845,44.11272626,0,2,2,2,59.612567000003764,,,,,,61.48210750000726,0,6,[-0.0625      0.08833333],5.955381799998577,0,15,[ 0.1025 -0.2325],8.140646400002879,72.42550670000492,1,12,[ 0.25416667 -0.11      ],10.208932099994854,,,122,A,1,2024-11-13_13h32.04.442,task,2023.2.2,59.94977408067924,2024-11-13 13h32.10.502535 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,A,2,4,test item,1-1,resized_B_A153.png,Schwein,131,resized_A_B157.png,Hammer,15,resized_B_A140.png,Flamingo,4,resized_B_A153.png,Schwein,6,resized_A_A76.png,Mauer,12,resized_A_B08.png,Person,2,resized_A_A74.png,Rubin,10,28.57,45.24,3.8,3.18,2.86,2.54,2.75,1.89,3.29,62.09,3.2,HF,0.59,2.77,5.95,2.81,1,7,nn,7.995227258,18.36122743,0,3,3,3,72.57013290000032,,,,,,74.42630500000087,1,6,[-0.05583333  0.08666667],1.902149499990628,,,,,76.84597110000323,,,,,,,122,A,1,2024-11-13_13h32.04.442,task,2023.2.2,59.94977408067924,2024-11-13 13h32.10.502535 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,A,14,5,test item,2-1,resized_B_B193.png,Auge,145,resized_B_B155.png,Messer,10,resized_B_A132.png,Ente,12,resized_A_B56.png,Stuhl,8,resized_B_B193.png,Auge,3,resized_A_A166.png,Pyramide,6,resized_A_B32.png,Kamin,9,3.61,10.71,5.94,2.68,2.29,2.68,3.39,2.89,2.07,92.05,3.37,HF,1.12,2.06,6.65,2.69,2,4,nn,77.94937823,392.1258391,0,4,4,4,77.03310200000124,,,,,,78.86340780000319,1,3,[0.07416667 0.26583333],3.4862618000042858,,,,,83.00127220001013,,,,,,,122,A,1,2024-11-13_13h32.04.442,task,2023.2.2,59.94977408067924,2024-11-13 13h32.10.502535 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,A,14,6,test item,1-1,resized_A_B56.png,Stuhl,133,resized_B_B155.png,Messer,10,resized_B_A132.png,Ente,12,resized_A_B56.png,Stuhl,8,resized_B_B193.png,Auge,3,resized_A_A166.png,Pyramide,6,resized_A_B32.png,Kamin,9,35.29,36.47,4.11,3.41,3.43,1.75,3.31,1.79,2.86,30.67,2.892,HF,0.5,1.82,6.23,2.86,1,5,nn,33.05184438,50.36666169,0,5,5,5,83.1596789000032,,,,,,85.001912000007,1,8,[0.235      0.08666667],2.152198399999179,,,,,87.68835009999748,,,,,,,122,A,1,2024-11-13_13h32.04.442,task,2023.2.2,59.94977408067924,2024-11-13 13h32.10.502535 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,A,13,7,test item,2-1,resized_B_A129.png,Huhn,146,resized_A_A134.png,Vogel,3,resized_A_A139.png,Gans,11,resized_B_A185.png,Gesicht,12,resized_B_A129.png,Huhn,8,resized_B_B167.png,Fliege,5,resized_B_A77.png,Hang,7,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,6,6,6,87.83413600000495,,,,,,89.6892019000079,1,8,[0.2825 0.085 ],2.235580000007758,,,,,92.62597330000426,,,,,,,122,A,1,2024-11-13_13h32.04.442,task,2023.2.2,59.94977408067924,2024-11-13 13h32.10.502535 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,A,13,8,test item,1-1,resized_B_A77.png,Hang,161,resized_A_A134.png,Vogel,3,resized_A_A139.png,Gans,11,resized_B_A185.png,Gesicht,12,resized_B_A129.png,Huhn,8,resized_B_B167.png,Fliege,5,resized_B_A77.png,Hang,7,19.28,21.43,5.19,3.26,3,2.14,2.93,2.89,2.61,2.8,1.86,LF,None,None,None,None,1,4,nn,7.365746175,11.15898283,0,7,7,7,92.7601999000035,,,,,,94.62670459999936,1,7,[0.07333333 0.065     ],2.6527134999923874,,,,,98.04743590000726,,,,,,,122,A,1,2024-11-13_13h32.04.442,task,2023.2.2,59.94977408067924,2024-11-13 13h32.10.502535 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,A,11,9,test item,2-1,resized_A_B199.png,Fisch,148,resized_B_A147.png,Hund,9,resized_A_B78.png,Pfeil,16,resized_A_B150.png,Rakete,6,resized_A_B199.png,Fisch,5,resized_B_A33.png,Roboter,14,resized_B_A11.png,Medaille,11,20.48,24.71,5.03,2.48,2.46,2.71,3.03,2.38,2.68,42.72,3.04,HF,0.36,2.36,5.86,2.76,1,5,nn,16.26023212,42.6575622,0,8,8,8,98.19974009999714,,,,,,100.06457220000448,1,5,[-0.24833333  0.08166667],4.037152899996727,,,,,104.80288100001053,,,,,,,122,A,1,2024-11-13_13h32.04.442,task,2023.2.2,59.94977408067924,2024-11-13 13h32.10.502535 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,A,11,10,test item,1-1,resized_A_B150.png,Rakete,134,resized_B_A147.png,Hund,9,resized_A_B78.png,Pfeil,16,resized_A_B150.png,Rakete,6,resized_A_B199.png,Fisch,5,resized_B_A33.png,Roboter,14,resized_B_A11.png,Medaille,11,28.92,30.59,4.48,2.93,2.61,3.14,3.14,2.41,2.59,16.02,2.61,HF,-0.6,3.47,6.67,4.87,3,6,nn,3.507108889,12.47517055,0,9,9,9,104.94993780000368,,,,,,106.8036190999992,1,6,[-0.07333333  0.10416667],3.119215799990343,,,,,110.42437410001003,,,,,,,122,A,1,2024-11-13_13h32.04.442,task,2023.2.2,59.94977408067924,2024-11-13 13h32.10.502535 +0100,
