study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,trial.stopped,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,10,11,test item,1-1,resized_A_A100.png,Ruderer,162,resized_B_A187.png,Brücke,11,resized_B_B70.png,Quadrat,16,resized_B_A185.png,Gesicht,15,resized_A_B199.png,Fisch,4,resized_B_A33.png,Roboter,9,resized_A_A100.png,Ruderer,7,8.33,31.76,5.68,3.72,3.18,2.93,3.14,2.52,3.22,0.16,0.699,LF,None,None,None,None,3,7,nn,0.768457426,0.907433769,0,10,10,10,105.3304569000029,,,,,,107.19970609998563,110.47000839997781,1,7,[0.03833333 0.05916667],2.0023309999960475,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,10,12,test item,2-1,resized_A_B199.png,Fisch,148,resized_B_A187.png,Brücke,11,resized_B_B70.png,Quadrat,16,resized_B_A185.png,Gesicht,15,resized_A_B199.png,Fisch,4,resized_B_A33.png,Roboter,9,resized_A_A100.png,Ruderer,7,20.48,24.71,5.03,2.48,2.46,2.71,3.03,2.38,2.68,42.72,3.04,HF,0.36,2.36,5.86,2.76,1,5,nn,16.26023212,42.6575622,0,11,11,11,110.61311580002075,,,,,,112.48748529999284,116.34156849997817,1,4,[0.24583333 0.3175    ],2.602544500026852,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,6,13,test item,1-1,resized_B_A43.png,Blatt,159,resized_A_B109.png,Boot,5,resized_B_A150.png,Känguru,2,resized_B_B24.png,Baby,12,resized_B_A129.png,Huhn,4,resized_B_A23.png,Flasche,6,resized_B_A43.png,Blatt,8,6.1,8.33,5.82,2.81,2.25,2.46,2.58,2.96,2.21,12.17,2.49,LF,None,None,None,None,1,5,nn,33.92657783,93.25312611,0,12,12,12,116.48888089996763,,,,,,118.35909639997408,123.23069519997807,1,8,[0.23166667 0.09333333],2.65259320003679,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,6,14,test item,2-1,resized_B_A129.png,Huhn,146,resized_A_B109.png,Boot,5,resized_B_A150.png,Känguru,2,resized_B_B24.png,Baby,12,resized_B_A129.png,Huhn,4,resized_B_A23.png,Flasche,6,resized_B_A43.png,Blatt,8,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,13,13,13,123.38225089997286,,,,,,125.23153380001895,128.73561019997578,1,4,[0.21083333 0.235     ],2.4859568000538275,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,11,15,test item,1-1,resized_A_B150.png,Rakete,134,resized_A_B157.png,Hammer,6,resized_A_A139.png,Gans,4,resized_A_B150.png,Rakete,7,resized_B_A36.png,Stern,3,resized_B_A123.png,Tänzer,14,resized_B_B206.png,Axt,9,28.92,30.59,4.48,2.93,2.61,3.14,3.14,2.41,2.59,16.02,2.61,HF,-0.6,3.47,6.67,4.87,3,6,nn,3.507108889,12.47517055,0,14,14,14,128.87988969997969,,,,,,130.73609389999183,134.80747689999407,1,7,[0.05       0.05333333],2.5860792999737896,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,11,16,test item,2-1,resized_B_A123.png,Tänzer,174,resized_A_B157.png,Hammer,6,resized_A_A139.png,Gans,4,resized_A_B150.png,Rakete,7,resized_B_A36.png,Stern,3,resized_B_A123.png,Tänzer,14,resized_B_B206.png,Axt,9,8.33,23.81,5.5,3.68,2.71,3.36,3.86,2,3.29,6.06,2.19,LF,None,None,None,None,2,6,nn,3.973088392,4.700670423,0,15,15,15,134.9604908999754,,,,,,136.82461840001633,141.44628410000587,1,14,[-0.11666667 -0.27833333],3.386102500022389,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,3,17,test item,2-1,resized_B_B152.png,Säge,171,resized_B_A156.png,Bär,3,resized_B_A197.png,Hirsch,11,resized_B_A153.png,Schwein,16,resized_A_B20.png,Kerze,4,resized_B_B152.png,Säge,8,resized_B_B164.png,kimono,12,15.48,20.24,4.54,3.57,3.21,2.32,2.46,2.68,3,3.11,1.9,LF,-1.09,2.95,5.68,None,2,4,nn,1.978369117,2.812227175,0,16,16,16,141.59919989999617,,,,,,143.4469082999858,146.4169262999785,1,8,[0.21416667 0.09583333],1.8519460000097752,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,3,18,test item,1-1,resized_B_A153.png,Schwein,131,resized_B_A156.png,Bär,3,resized_B_A197.png,Hirsch,11,resized_B_A153.png,Schwein,16,resized_A_B20.png,Kerze,4,resized_B_B152.png,Säge,8,resized_B_B164.png,kimono,12,28.57,45.24,3.8,3.18,2.86,2.54,2.75,1.89,3.29,62.09,3.2,HF,0.59,2.77,5.95,2.81,1,7,nn,7.995227258,18.36122743,0,17,17,17,146.5556478999788,,,,,,148.4177020000061,151.9549732999876,1,16,[ 0.25916667 -0.20583333],2.735952700022608,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,2,19,test item,1-1,resized_B_B49.png,Magnet,163,resized_B_A147.png,Hund,6,resized_A_A148.png,Giraffe,2,resized_B_A181.png,Wolf,1,resized_B_B49.png,Magnet,7,resized_A_B15.png,Schwangere,14,resized_A_A73.png,Klinge,15,15.48,15.48,4.88,2.93,3.11,1.89,2.93,2.79,3.11,1.5,1.591,LF,0.6,2.21,6.22,6.74,2,6,nn,1.119985822,3.000253992,0,18,18,18,152.09788269997807,,,,,,153.95577709999634,156.74246029998176,1,7,[0.06833333 0.04666667],1.785260999982711,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,2,20,test item,2-1,resized_A_A73.png,Klinge,177,resized_B_A147.png,Hund,6,resized_A_A148.png,Giraffe,2,resized_B_A181.png,Wolf,1,resized_B_B49.png,Magnet,7,resized_A_B15.png,Schwangere,14,resized_A_A73.png,Klinge,15,7.23,12.94,5.75,2.83,3.25,1.96,2.9,2.41,2.82,10.79,2.44,LF,-1.3,3.68,5.14,6.37,2,6,nn,2.346247672,4.308266631,0,19,19,19,156.88723870000103,,,,,,158.74327239999548,162.26357790001202,1,15,[ 0.13416667 -0.22833333],2.5858246000134386,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,14,21,test item,2-1,resized_B_B193.png,Auge,145,resized_A_B54.png,Telefon,5,resized_B_A132.png,Ente,3,resized_B_A06.png,Hut,2,resized_B_B193.png,Auge,15,resized_A_A166.png,Pyramide,11,resized_A_B32.png,Kamin,4,3.61,10.71,5.94,2.68,2.29,2.68,3.39,2.89,2.07,92.05,3.37,HF,1.12,2.06,6.65,2.69,2,4,nn,77.94937823,392.1258391,0,20,20,20,162.44660239998484,,,,,,164.28109279996715,168.118507999985,1,15,[ 0.04916667 -0.26166667],3.2197278000530787,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,14,22,test item,1-1,resized_B_A06.png,Hut,135,resized_A_B54.png,Telefon,5,resized_B_A132.png,Ente,3,resized_B_A06.png,Hut,2,resized_B_B193.png,Auge,15,resized_A_A166.png,Pyramide,11,resized_A_B32.png,Kamin,4,25,30.95,4.37,3.43,3.07,2.11,3.25,2.14,3.15,45.91,3.067,HF,None,None,None,4,1,3,nn,33.34614722,41.24327353,0,21,21,21,168.27642780001042,,,,,,170.11930459999712,173.78944949997822,1,2,[-0.12416667  0.30083333],2.6023470999789424,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,12,23,test item,1-1,resized_B_A20.png,Grill,160,resized_B_B155.png,Messer,4,resized_B_A140.png,Flamingo,12,resized_A_B196.png,Fenster,8,resized_B_A20.png,Grill,13,resized_B_A11.png,Medaille,15,resized_A_B194.png,Raute,1,16.05,16.67,5.17,2.46,2.43,3.18,3.18,2.64,2.69,3.7,1.98,LF,None,None,None,6.13,1,5,nn,0.833858058,0.842033137,0,22,22,22,173.9259880000027,,,,,,175.7907441999996,180.07856599998195,1,13,[-0.325      -0.30416667],3.519472300016787,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,12,24,test item,2-1,resized_A_B194.png,Raute,173,resized_B_B155.png,Messer,4,resized_B_A140.png,Flamingo,12,resized_A_B196.png,Fenster,8,resized_B_A20.png,Grill,13,resized_B_A11.png,Medaille,15,resized_A_B194.png,Raute,1,4.76,8.24,5.91,2.72,2.11,3.11,2.69,2.76,1.93,0.28,0.9,LF,None,None,None,None,2,5,nn,0.302477923,0.539555214,0,23,23,23,180.21891499997582,,,,,,182.07960270001786,187.0178080999758,1,1,[-0.28916667  0.265     ],3.8035952000063844,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,13,25,test item,2-1,resized_A_A122.png,Sturz,176,resized_A_A93.png,Haus,7,resized_B_B175.png,Propeller,1,resized_A_B08.png,Person,6,resized_A_B22.png,Kreisel,10,resized_B_A176.png,Trophäe,4,resized_A_A122.png,Sturz,9,3.53,4.71,6.19,2.48,2.25,3.89,3.21,2.62,1.79,6.26,2.2,LF,-1.6,3.76,5.56,3.8,1,5,nn,13.16187718,16.13760594,0,24,24,24,187.16574510000646,,,,,,189.03522550000343,192.43892779998714,1,9,[-0.19833333 -0.05833333],2.369178499968257,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,13,26,test item,1-1,resized_A_B22.png,Kreisel,158,resized_A_A93.png,Haus,7,resized_B_B175.png,Propeller,1,resized_A_B08.png,Person,6,resized_A_B22.png,Kreisel,10,resized_B_A176.png,Trophäe,4,resized_A_A122.png,Sturz,9,17.65,17.65,5.31,2.62,2.54,2.82,3,2.17,2.59,0.55,1.18,LF,0.68,2.86,5.09,4.35,2,7,nn,1.348888034,1.585965325,0,25,25,25,192.57452809996903,,,,,,194.43971880001482,198.37717729998985,1,10,[-0.0675 -0.09  ],3.1033219999517314,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,8,27,test item,2-1,resized_A_A52.png,Stein,149,resized_A_B192.png,Katze,4,resized_B_B19.png,Krawatte,9,resized_B_B180.png,Geist,3,resized_B_A188.png,Tür,2,resized_A_A52.png,Stein,1,resized_B_A70.png,Brunnen,16,4.71,5.88,5.95,2.55,2.21,3.04,2.28,2.41,1.89,43.86,3.05,HF,0.23,2,5.5,2.58,1,5,nn,37.40098641,66.14456416,0,26,26,26,198.51111399999354,,,,,,200.37809519999428,204.46570539998356,1,1,[-0.25083333  0.25583333],3.1698255999945104,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,8,28,test item,1-1,resized_B_B180.png,Geist,129,resized_A_B192.png,Katze,4,resized_B_B19.png,Krawatte,9,resized_B_B180.png,Geist,3,resized_B_A188.png,Tür,2,resized_A_A52.png,Stein,1,resized_B_A70.png,Brunnen,16,26.19,38.1,4.73,3.43,2.89,2.68,3,2.57,2.59,77.01,3.29,HF,1.1,2.83,4,6.22,1,5,nn,99.6787382,173.1808735,0,27,27,27,204.60905849997653,,,,,,206.4665182000026,210.20394209999358,1,3,[0.08333333 0.2275    ],2.6187646000180393,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.21872339997208,220.2106860000058,,,,,,,,,
