study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,105.0,1,B-A,1.0,1.0,training,3,A,8,1,test item,2-1,resized_B_B152.png,Säge,171,resized_A_B109.png,Boot,8,resized_B_A142.png,Reiter,13,resized_B_A06.png,Hut,3,resized_A_B168.png,Frau,9,resized_B_B152.png,Säge,15,resized_B_A54.png,Flamme,6,15.48,20.24,4.54,3.57,3.21,2.32,2.46,2.68,3,3.11,1.9,LF,-1.09,2.95,5.68,None,2,4,nn,1.978369117,2.812227175,0,0,0,0,31.875401900000725,,0.0011290000002190936,10.063321999999971,10.063331800000014,29.668011700001443,33.65466180000112,1,15,[ 0.06416667 -0.28416667],1.9200507999994443,36.09091290000106,,105,A,3,2024-10-18_14h18.37.767,task,2023.2.2,59.92965457128346,2024-10-18 14h18.52.601053 +0200,
LEALCO-EEG,105.0,1,B-A,1.0,1.0,training,3,A,8,2,test item,1-1,resized_B_A06.png,Hut,135,resized_A_B109.png,Boot,8,resized_B_A142.png,Reiter,13,resized_B_A06.png,Hut,3,resized_A_B168.png,Frau,9,resized_B_B152.png,Säge,15,resized_B_A54.png,Flamme,6,25,30.95,4.37,3.43,3.07,2.11,3.25,2.14,3.15,45.91,3.067,HF,None,None,None,4,1,3,nn,33.34614722,41.24327353,0,1,1,1,36.22169650000069,,,,,,38.0917771000004,1,3,[0.08166667 0.2075    ],1.351517999999487,39.977060500001244,,105,A,3,2024-10-18_14h18.37.767,task,2023.2.2,59.92965457128346,2024-10-18 14h18.52.601053 +0200,
LEALCO-EEG,105.0,1,B-A,1.0,1.0,training,3,A,3,3,test item,1-1,resized_B_A20.png,Grill,160,resized_A_A141.png,Pferd,14,resized_A_A148.png,Giraffe,4,resized_B_B24.png,Baby,16,resized_B_A129.png,Huhn,3,resized_B_A20.png,Grill,15,resized_A_A151.png,Fuchs,1,16.05,16.67,5.17,2.46,2.43,3.18,3.18,2.64,2.69,3.7,1.98,LF,None,None,None,6.13,1,5,nn,0.833858058,0.842033137,0,2,2,2,40.12034959999983,,,,,,41.97830460000114,1,15,[ 0.1375     -0.22583333],1.8025474999994913,44.28137590000006,,105,A,3,2024-10-18_14h18.37.767,task,2023.2.2,59.92965457128346,2024-10-18 14h18.52.601053 +0200,
LEALCO-EEG,105.0,1,B-A,1.0,1.0,training,3,A,3,4,test item,2-1,resized_B_A129.png,Huhn,146,resized_A_A141.png,Pferd,14,resized_A_A148.png,Giraffe,4,resized_B_B24.png,Baby,16,resized_B_A129.png,Huhn,3,resized_B_A20.png,Grill,15,resized_A_A151.png,Fuchs,1,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,3,3,3,44.43555600000036,,,,,,46.28221450000092,1,3,[0.135      0.25166667],1.5683126999992965,48.33434800000032,,105,A,3,2024-10-18_14h18.37.767,task,2023.2.2,59.92965457128346,2024-10-18 14h18.52.601053 +0200,
LEALCO-EEG,105.0,1,B-A,1.0,1.0,training,3,A,1,5,test item,1-1,resized_A_B22.png,Kreisel,158,resized_B_A03.png,Kleid,8,resized_A_A02.png,Mühle,7,resized_B_A36.png,Stern,14,resized_A_B22.png,Kreisel,4,resized_A_A73.png,Klinge,13,resized_B_B164.png,kimono,1,17.65,17.65,5.31,2.62,2.54,2.82,3,2.17,2.59,0.55,1.18,LF,0.68,2.86,5.09,4.35,2,7,nn,1.348888034,1.585965325,0,4,4,4,48.483106900001076,,,,,,50.35210410000036,1,4,[0.21416667 0.1925    ],1.752373199999056,52.6050948000011,,105,A,3,2024-10-18_14h18.37.767,task,2023.2.2,59.92965457128346,2024-10-18 14h18.52.601053 +0200,
LEALCO-EEG,105.0,1,B-A,1.0,1.0,training,3,A,1,6,test item,2-1,resized_A_A73.png,Klinge,177,resized_B_A03.png,Kleid,8,resized_A_A02.png,Mühle,7,resized_B_A36.png,Stern,14,resized_A_B22.png,Kreisel,4,resized_A_A73.png,Klinge,13,resized_B_B164.png,kimono,1,7.23,12.94,5.75,2.83,3.25,1.96,2.9,2.41,2.82,10.79,2.44,LF,-1.3,3.68,5.14,6.37,2,6,nn,2.346247672,4.308266631,0,5,5,5,52.75244500000008,,,,,,54.60589710000022,1,13,[-0.28166667 -0.2175    ],1.8015054000006785,56.84153510000033,,105,A,3,2024-10-18_14h18.37.767,task,2023.2.2,59.92965457128346,2024-10-18 14h18.52.601053 +0200,
LEALCO-EEG,105.0,1,B-A,1.0,1.0,training,3,A,14,7,test item,2-1,resized_B_B193.png,Auge,145,resized_A_A90.png,Fabrik,11,resized_A_A139.png,Gans,15,resized_B_B193.png,Auge,6,resized_B_A23.png,Flasche,12,resized_B_A77.png,Hang,16,resized_A_B20.png,Kerze,14,3.61,10.71,5.94,2.68,2.29,2.68,3.39,2.89,2.07,92.05,3.37,HF,1.12,2.06,6.65,2.69,2,4,nn,77.94937823,392.1258391,0,6,6,6,57.02525640000022,,,,,,58.84281800000099,1,6,[-0.075       0.06083333],1.4177158999991661,60.67860670000118,,105,A,3,2024-10-18_14h18.37.767,task,2023.2.2,59.92965457128346,2024-10-18 14h18.52.601053 +0200,
LEALCO-EEG,105.0,1,B-A,1.0,1.0,training,3,A,14,8,test item,1-1,resized_B_A77.png,Hang,161,resized_A_A90.png,Fabrik,11,resized_A_A139.png,Gans,15,resized_B_B193.png,Auge,6,resized_B_A23.png,Flasche,12,resized_B_A77.png,Hang,16,resized_A_B20.png,Kerze,14,19.28,21.43,5.19,3.26,3,2.14,2.93,2.89,2.61,2.8,1.86,LF,None,None,None,None,1,4,nn,7.365746175,11.15898283,0,7,7,7,60.83889890000137,,,,,,62.67921910000041,1,16,[ 0.19416667 -0.23333333],2.135650700000042,65.34910950000085,,105,A,3,2024-10-18_14h18.37.767,task,2023.2.2,59.92965457128346,2024-10-18 14h18.52.601053 +0200,
LEALCO-EEG,105.0,1,B-A,1.0,1.0,training,3,A,12,9,test item,2-1,resized_B_B143.png,Tanne,175,resized_B_A156.png,Bär,15,resized_B_B70.png,Quadrat,6,resized_B_B180.png,Geist,11,resized_A_B08.png,Person,14,resized_A_A166.png,Pyramide,13,resized_B_B143.png,Tanne,4,22.62,26.19,4.2,3.75,3.07,2.54,3.21,2.25,2.96,0.43,1.08,LF,1.25,1.6,5.73,4.3,2,5,nn,1.177211375,3.507108889,0,8,8,8,65.50456310000118,,,,,,67.36649200000102,1,4,[0.20583333 0.2       ],1.718546599999172,69.55245690000083,,105,A,3,2024-10-18_14h18.37.767,task,2023.2.2,59.92965457128346,2024-10-18 14h18.52.601053 +0200,
LEALCO-EEG,105.0,1,B-A,1.0,1.0,training,3,A,12,10,test item,1-1,resized_B_B180.png,Geist,129,resized_B_A156.png,Bär,15,resized_B_B70.png,Quadrat,6,resized_B_B180.png,Geist,11,resized_A_B08.png,Person,14,resized_A_A166.png,Pyramide,13,resized_B_B143.png,Tanne,4,26.19,38.1,4.73,3.43,2.89,2.68,3,2.57,2.59,77.01,3.29,HF,1.1,2.83,4,6.22,1,5,nn,99.6787382,173.1808735,0,9,9,9,69.69065200000114,,,,,,71.55336700000043,1,11,[ 0.08  -0.095],1.9186251999999513,73.92288139999982,,105,A,3,2024-10-18_14h18.37.767,task,2023.2.2,59.92965457128346,2024-10-18 14h18.52.601053 +0200,
