study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,trial.stopped,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,4,11,test item,2-2,resized_A_B196.png,Fenster,152,resized_A_B109.png,Boot,13,resized_B_A132.png,Ente,11,resized_B_A185.png,Gesicht,5,resized_A_B196.png,Fenster,4,resized_A_A100.png,Ruderer,16,resized_A_B39.png,Sessel,6,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,10,10,10,98.18995670002187,,,,,,100.06013160001021,1,4,[0.24833333 0.26416667],3.753624700009823,,,,,104.29805199999828,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,4,12,test item,1-2,resized_B_A185.png,Gesicht,138,resized_A_B109.png,Boot,13,resized_B_A132.png,Ente,11,resized_B_A185.png,Gesicht,5,resized_A_B196.png,Fenster,4,resized_A_A100.png,Ruderer,16,resized_A_B39.png,Sessel,6,14.46,34.52,5.44,3.5,2.39,3.57,3.32,2.39,2.89,195.05,3.695,HF,1,2.67,6,3.79,2,7,nn,196.2591215,239.1537609,0,11,11,11,104.44265219999943,,,,,,106.29881750000641,0,6,[-0.085       0.06833333],5.721821599989198,1,5,[-0.24166667  0.09333333],7.7562593999900855,114.92366250004852,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,3,13,test item,2-2,resized_B_A33.png,Roboter,156,resized_A_A93.png,Haus,5,resized_B_A150.png,Känguru,9,resized_A_B199.png,Fisch,10,resized_B_A33.png,Roboter,6,resized_A_B43.png,Parfüm,13,resized_A_A74.png,Rubin,3,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,12,12,12,115.06535590003477,,,,,,116.92458940000506,1,6,[-0.06333333  0.055     ],3.352909400011413,,,,,120.77846470003715,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,3,14,test item,1-2,resized_A_A74.png,Rubin,165,resized_A_A93.png,Haus,5,resized_B_A150.png,Känguru,9,resized_A_B199.png,Fisch,10,resized_B_A33.png,Roboter,6,resized_A_B43.png,Parfüm,13,resized_A_A74.png,Rubin,3,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,13,13,13,120.91707070003031,,,,,,122.77933740004664,0,10,[-0.07583333 -0.06166667],2.9190085000009276,1,3,[0.05083333 0.27333333],7.840573400026187,131.65447430004133,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,8,15,test item,1-2,resized_B_B24.png,Baby,142,resized_A_B192.png,Katze,16,resized_B_A140.png,Flamingo,4,resized_A_A04.png,Baum,5,resized_B_B24.png,Baby,10,resized_B_A37.png,Tasse,6,resized_B_B167.png,Fliege,12,8.33,9.52,5.33,3.11,3.39,2.57,3.25,2.68,3.07,324.66,3.92,HF,1.9,2.83,6.78,3.38,2,4,nn,7.995227258,9.834620032,0,14,14,14,131.8002268000273,,,,,,133.65511120000156,1,10,[-0.05833333 -0.0675    ],3.6701517999754287,,,,,137.94293210003525,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,8,16,test item,2-2,resized_B_B167.png,Fliege,151,resized_A_B192.png,Katze,16,resized_B_A140.png,Flamingo,4,resized_A_A04.png,Baum,5,resized_B_B24.png,Baby,10,resized_B_A37.png,Tasse,6,resized_B_B167.png,Fliege,12,11.9,15.48,5.7,2.61,2.39,3.25,3.61,2.57,2.29,23.19,2.77,HF,-0.95,2.16,6.14,None,2,6,nn,4.332791868,12.70407276,0,15,15,15,138.08400460000848,,,,,,139.94379270001082,0,5,[-0.24833333  0.07333333],8.991220799973235,0,10,[-0.08083333 -0.08166667],11.159733999986202,155.25743019999936,1,12,[ 0.24083333 -0.0775    ],14.279024699993897,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,1,17,test item,1-2,resized_A_A166.png,Pyramide,166,resized_B_A187.png,Brücke,14,resized_B_B175.png,Propeller,8,resized_B_A06.png,Hut,2,resized_A_A52.png,Stein,5,resized_A_A166.png,Pyramide,13,resized_B_A54.png,Flamme,1,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,16,16,16,155.40805300005013,,,,,,157.2750652000541,1,13,[-0.235      -0.24916667],3.903674599947408,,,,,161.8298629000201,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,1,18,test item,2-2,resized_B_A54.png,Flamme,178,resized_B_A187.png,Brücke,14,resized_B_B175.png,Propeller,8,resized_B_A06.png,Hut,2,resized_A_A52.png,Stein,5,resized_A_A166.png,Pyramide,13,resized_B_A54.png,Flamme,1,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,17,17,17,161.96336970000993,,,,,,163.83060210000258,0,5,[-0.235   0.0775],4.971203900000546,1,1,[-0.24416667  0.25166667],7.423440200043842,171.98840480000945,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,12,19,test item,2-2,resized_A_B08.png,Person,154,resized_A_A134.png,Vogel,8,resized_B_B70.png,Quadrat,7,resized_A_B08.png,Person,10,resized_B_A77.png,Hang,15,resized_A_B139.png,Trichter,16,resized_A_A122.png,Sturz,3,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,18,18,18,172.12706090003485,,,,,,173.98919470002875,1,10,[-0.10083333 -0.07666667],3.5200093999737874,,,,,178.19357500004116,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,12,20,test item,1-2,resized_A_B139.png,Trichter,169,resized_A_A134.png,Vogel,8,resized_B_B70.png,Quadrat,7,resized_A_B08.png,Person,10,resized_B_A77.png,Hang,15,resized_A_B139.png,Trichter,16,resized_A_A122.png,Sturz,3,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,19,19,19,178.33386550005525,,,,,,180.19443190004677,1,16,[ 0.24  -0.235],4.3373578999890015,,,,,185.06603350001387,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,10,21,test item,1-2,resized_B_A176.png,Trophäe,164,resized_A_A141.png,Pferd,14,resized_A_A139.png,Gans,16,resized_A_A179.png,Drachen,15,resized_B_A43.png,Blatt,7,resized_B_A176.png,Trophäe,13,resized_B_B152.png,Säge,6,13.1,13.1,5.4,2.82,2.18,3.54,3.04,2.82,1.89,2.56,1.82,LF,None,None,None,None,2,7,nn,0.580430609,1.087285506,0,20,20,20,185.21847870002966,,,,,,187.08356400002958,1,13,[-0.21666667 -0.24083333],6.088812900008634,,,,,193.84026580001228,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,10,22,test item,2-2,resized_A_A179.png,Drachen,150,resized_A_A141.png,Pferd,14,resized_A_A139.png,Gans,16,resized_A_A179.png,Drachen,15,resized_B_A43.png,Blatt,7,resized_B_A176.png,Trophäe,13,resized_B_B152.png,Säge,6,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,21,21,21,193.98381350003183,,,,,,195.84095640003216,0,16,[ 0.27083333 -0.265     ],3.2362891000229865,1,15,[ 0.07416667 -0.2325    ],6.956099600007292,203.3815134000033,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,5,23,test item,1-2,resized_A_A113.png,Engel,139,resized_B_A03.png,Kleid,14,resized_A_B78.png,Pfeil,16,resized_B_A153.png,Schwein,5,resized_A_A113.png,Engel,2,resized_A_A76.png,Mauer,6,resized_B_B164.png,kimono,15,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,22,22,22,203.52586040005554,,,,,,205.39905620005447,0,14,[-0.06       -0.23583333],4.169875300023705,1,2,[-0.10833333  0.23166667],7.906893000006676,214.0571462000371,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,5,24,test item,2-2,resized_B_B164.png,kimono,182,resized_B_A03.png,Kleid,14,resized_A_B78.png,Pfeil,16,resized_B_A153.png,Schwein,5,resized_A_A113.png,Engel,2,resized_A_A76.png,Mauer,6,resized_B_B164.png,kimono,15,9.52,19.05,5.98,2.86,2.89,2.89,2.61,3.43,2.86,2.09,1.73,LF,None,None,None,None,3,6,nn,0.008175079,0.465979503,0,23,23,23,214.20012080000015,,,,,,216.05820550001226,1,15,[ 0.1175     -0.24166667],2.4690360000240617,,,,,219.0783009000006,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,13,25,test item,2-2,resized_A_A151.png,Fuchs,181,resized_B_A68.png,Lampe,10,resized_B_A135.png,Kamel,3,resized_A_B22.png,Kreisel,8,resized_A_B20.png,Kerze,11,resized_B_A123.png,Tänzer,7,resized_A_A151.png,Fuchs,1,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,24,24,24,219.21703770000022,,,,,,221.07893570000306,1,1,[-0.24583333  0.2475    ],2.2016671000164934,,,,,223.83219750004355,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,13,26,test item,1-2,resized_A_B20.png,Kerze,168,resized_B_A68.png,Lampe,10,resized_B_A135.png,Kamel,3,resized_A_B22.png,Kreisel,8,resized_A_B20.png,Kerze,11,resized_B_A123.png,Tänzer,7,resized_A_A151.png,Fuchs,1,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,25,25,25,223.97767300001578,,,,,,225.8496249000309,1,11,[ 0.07666667 -0.0725    ],2.1868495999951847,,,,,228.6360996000003,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,11,27,test item,2-2,resized_A_B33.png,Zünder,180,resized_A_A90.png,Fabrik,6,resized_B_A142.png,Reiter,13,resized_B_B193.png,Auge,3,resized_B_B49.png,Magnet,4,resized_A_B15.png,Schwangere,2,resized_A_B33.png,Zünder,7,10.59,11.76,5.31,3.07,2.71,2.32,2.93,3,2.54,4.8,2.09,LF,None,None,None,None,2,6,nn,0.711231873,0.825682979,0,26,26,26,228.80363280000165,,,,,,230.63691710005514,0,4,[0.23333333 0.26416667],8.557833399972878,0,6,[-0.07916667  0.08166667],11.259721599984914,246.93526530003874,1,7,[0.08416667 0.08833333],15.530212000012398,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,11,28,test item,1-2,resized_A_B15.png,Schwangere,170,resized_A_A90.png,Fabrik,6,resized_B_A142.png,Reiter,13,resized_B_B193.png,Auge,3,resized_B_B49.png,Magnet,4,resized_A_B15.png,Schwangere,2,resized_A_B33.png,Zünder,7,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,27,27,27,247.10352110001259,,,,,,248.952390200051,1,2,[-0.10416667  0.24583333],2.1688779999967664,,,,,251.60559180000564,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.6280059000128,261.61229100002674,,,,,,,,,
