study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,4,A,4,1,test item,1-2,resized_A_B139.png,Trichter,169,resized_B_A03.png,Kleid,12,resized_B_B175.png,Propeller,2,resized_A_A52.png,Stein,8,resized_B_A23.png,Flasche,11,resized_A_A100.png,Ruderer,1,resized_A_B139.png,Trichter,5,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,0,0,0,32.57757850000053,,0.0010075999998662155,10.066780799999833,10.066790699998819,30.36998179999864,34.35667560000002,1,5,[-0.24583333  0.09083333],2.5036427000013646,37.410103099999105,,123,A,4,2024-11-14_13h40.22.639,task,2023.2.2,60.3131943567134,2024-11-14 13h40.31.020565 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,4,A,4,2,test item,2-2,resized_B_A23.png,Flasche,153,resized_B_A03.png,Kleid,12,resized_B_B175.png,Propeller,2,resized_A_A52.png,Stein,8,resized_B_A23.png,Flasche,11,resized_A_A100.png,Ruderer,1,resized_A_B139.png,Trichter,5,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,1,1,1,37.54715899999792,,,,,,39.41094309999971,1,11,[ 0.085      -0.05166667],1.5511898999975529,41.4130382000003,,123,A,4,2024-11-14_13h40.22.639,task,2023.2.2,60.3131943567134,2024-11-14 13h40.31.020565 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,4,A,8,3,test item,2-2,resized_B_B206.png,Axt,179,resized_A_B192.png,Katze,10,resized_B_B19.png,Krawatte,16,resized_B_B177.png,Schloss,5,resized_B_A188.png,Tür,8,resized_A_A122.png,Sturz,14,resized_B_B206.png,Axt,3,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,2,2,2,41.55495650000012,,,,,,43.41431779999766,1,3,[0.0775     0.23666667],1.9021118999989994,45.66706219999833,,123,A,4,2024-11-14_13h40.22.639,task,2023.2.2,60.3131943567134,2024-11-14 13h40.31.020565 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,4,A,8,4,test item,1-2,resized_B_A188.png,Tür,141,resized_A_B192.png,Katze,10,resized_B_B19.png,Krawatte,16,resized_B_B177.png,Schloss,5,resized_B_A188.png,Tür,8,resized_A_A122.png,Sturz,14,resized_B_B206.png,Axt,3,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,3,3,3,45.817099199997756,,,,,,47.68459689999872,1,8,[0.25       0.08916667],1.7184966999993776,49.77052840000033,,123,A,4,2024-11-14_13h40.22.639,task,2023.2.2,60.3131943567134,2024-11-14 13h40.31.020565 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,4,A,13,5,test item,1-2,resized_A_A166.png,Pyramide,166,resized_A_B109.png,Boot,2,resized_A_A148.png,Giraffe,4,resized_A_B150.png,Rakete,8,resized_A_B196.png,Fenster,16,resized_A_A166.png,Pyramide,5,resized_A_B39.png,Sessel,7,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,4,4,4,49.9111301999983,,,,,,51.77157389999775,1,5,[-0.255       0.06416667],2.2686926999995194,54.50743130000046,,123,A,4,2024-11-14_13h40.22.639,task,2023.2.2,60.3131943567134,2024-11-14 13h40.31.020565 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,4,A,13,6,test item,2-2,resized_A_B196.png,Fenster,152,resized_A_B109.png,Boot,2,resized_A_A148.png,Giraffe,4,resized_A_B150.png,Rakete,8,resized_A_B196.png,Fenster,16,resized_A_A166.png,Pyramide,5,resized_A_B39.png,Sessel,7,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,5,5,5,54.65203019999899,,,,,,56.50886420000097,1,16,[ 0.25916667 -0.22833333],2.0851763999999093,59.011721700000635,,123,A,4,2024-11-14_13h40.22.639,task,2023.2.2,60.3131943567134,2024-11-14 13h40.31.020565 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,4,A,10,7,test item,2-2,resized_B_B167.png,Fliege,151,resized_B_A68.png,Lampe,6,resized_A_A02.png,Mühle,9,resized_A_B168.png,Frau,1,resized_B_B193.png,Auge,5,resized_B_B167.png,Fliege,7,resized_B_A43.png,Blatt,13,11.9,15.48,5.7,2.61,2.39,3.25,3.61,2.57,2.29,23.19,2.77,HF,-0.95,2.16,6.14,None,2,6,nn,4.332791868,12.70407276,0,6,6,6,59.16573589999825,,,,,,61.01247779999903,1,7,[0.11666667 0.05833333],1.8519220999987738,63.482014599998365,,123,A,4,2024-11-14_13h40.22.639,task,2023.2.2,60.3131943567134,2024-11-14 13h40.31.020565 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,4,A,10,8,test item,1-2,resized_A_B168.png,Frau,136,resized_B_A68.png,Lampe,6,resized_A_A02.png,Mühle,9,resized_A_B168.png,Frau,1,resized_B_B193.png,Auge,5,resized_B_B167.png,Fliege,7,resized_B_A43.png,Blatt,13,9.41,28.24,5.66,3.45,2.64,3.07,3.69,1.93,2.71,857.36,4.34,HF,1.4,2.5,6.56,3.68,1,4,nn,472.6503672,625.2055164,0,7,7,7,63.644093599999906,,,,,,65.48304540000026,1,1,[-0.2125  0.225 ],1.7183480999992753,67.63561489999847,,123,A,4,2024-11-14_13h40.22.639,task,2023.2.2,60.3131943567134,2024-11-14 13h40.31.020565 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,4,A,1,9,test item,2-2,resized_B_A70.png,Brunnen,183,resized_A_A90.png,Fabrik,10,resized_B_A140.png,Flamingo,13,resized_B_A20.png,Grill,3,resized_B_A11.png,Medaille,14,resized_B_A123.png,Tänzer,2,resized_B_A70.png,Brunnen,5,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,8,8,8,67.78253380000024,,,,,,69.65315829999963,1,5,[-0.24666667  0.08833333],2.4189722999981313,72.45627539999987,,123,A,4,2024-11-14_13h40.22.639,task,2023.2.2,60.3131943567134,2024-11-14 13h40.31.020565 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,4,A,1,10,test item,1-2,resized_B_A11.png,Medaille,167,resized_A_A90.png,Fabrik,10,resized_B_A140.png,Flamingo,13,resized_B_A20.png,Grill,3,resized_B_A11.png,Medaille,14,resized_B_A123.png,Tänzer,2,resized_B_A70.png,Brunnen,5,15.48,15.48,4.86,2.82,3.07,2.36,2.79,2.54,2.68,3.98,2.01,LF,1.6,2.89,6.22,5.57,3,8,nn,3.760536338,6.008683062,0,9,9,9,72.6007126000004,,,,,,74.47379290000026,1,14,[-0.04833333 -0.1975    ],2.035779599998932,77.12690160000056,,123,A,4,2024-11-14_13h40.22.639,task,2023.2.2,60.3131943567134,2024-11-14 13h40.31.020565 +0100,
