study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,closing_screen.started,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,6,11,test item,2-2,resized_B_B206.png,Axt,179,resized_A_B109.png,Boot,13,resized_B_A140.png,Flamingo,15,resized_A_A76.png,Mauer,12,resized_A_B22.png,Kreisel,14,resized_A_B139.png,Trichter,2,resized_B_B206.png,Axt,1,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,10,10,10,296.8556513000003,,,,,,298.7281753999996,1,1,[-0.24916667  0.24833333],4.470744300000661,303.8500750000003,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,6,12,test item,1-2,resized_A_B139.png,Trichter,169,resized_A_B109.png,Boot,13,resized_B_A140.png,Flamingo,15,resized_A_A76.png,Mauer,12,resized_A_B22.png,Kreisel,14,resized_A_B139.png,Trichter,2,resized_B_B206.png,Axt,1,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,11,11,11,303.99486629999956,,,,,,305.8673092000008,1,2,[-0.08666667  0.235     ],3.486676600001374,309.9549427000002,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,2,13,test item,2-2,resized_A_B08.png,Person,154,resized_A_A141.png,Pferd,11,resized_B_B19.png,Krawatte,13,resized_B_B24.png,Baby,9,resized_A_B08.png,Person,14,resized_B_A77.png,Hang,2,resized_A_A122.png,Sturz,3,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,12,12,12,310.09521909999967,,,,,,311.95580119999977,0,13,[-0.24166667 -0.245     ],3.202957999999853,318.3286265000006,1,14,[-0.065      -0.25416667],5.705391499999678,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,2,14,test item,1-2,resized_B_B24.png,Baby,142,resized_A_A141.png,Pferd,11,resized_B_B19.png,Krawatte,13,resized_B_B24.png,Baby,9,resized_A_B08.png,Person,14,resized_B_A77.png,Hang,2,resized_A_A122.png,Sturz,3,8.33,9.52,5.33,3.11,3.39,2.57,3.25,2.68,3.07,324.66,3.92,HF,1.9,2.83,6.78,3.38,2,4,nn,7.995227258,9.834620032,0,13,13,13,318.47663380000085,,,,,,320.34619139999995,1,9,[-0.26416667 -0.09583333],2.402274199999738,323.31625130000066,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,3,15,test item,1-2,resized_B_A188.png,Tür,141,resized_B_B155.png,Messer,7,resized_A_A02.png,Mühle,1,resized_A_B150.png,Rakete,9,resized_B_A188.png,Tür,10,resized_A_B194.png,Raute,14,resized_B_A70.png,Brunnen,4,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,14,14,14,323.46502320000036,,,,,,325.3337138000006,0,14,[-0.0775     -0.25083333],4.571259000000282,335.1262273000011,1,10,[-0.08166667 -0.07833333],8.740558299999975,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,3,16,test item,2-2,resized_B_A70.png,Brunnen,183,resized_B_B155.png,Messer,7,resized_A_A02.png,Mühle,1,resized_A_B150.png,Rakete,9,resized_B_A188.png,Tür,10,resized_A_B194.png,Raute,14,resized_B_A70.png,Brunnen,4,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,15,15,15,335.2783302000007,,,,,,337.14365610000095,1,4,[0.24666667 0.24916667],4.671113099999275,342.43233090000103,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,11,17,test item,1-2,resized_A_A74.png,Rubin,165,resized_A_B54.png,Telefon,12,resized_B_A142.png,Reiter,16,resized_A_A04.png,Baum,14,resized_B_A129.png,Huhn,13,resized_A_A74.png,Rubin,15,resized_A_A151.png,Fuchs,3,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,16,16,16,342.57074490000014,,,,,,344.4331069,1,15,[ 0.07666667 -0.24416667],3.0198913999993238,348.00316340000063,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,11,18,test item,2-2,resized_A_A151.png,Fuchs,181,resized_A_B54.png,Telefon,12,resized_B_A142.png,Reiter,16,resized_A_A04.png,Baum,14,resized_B_A129.png,Huhn,13,resized_A_A74.png,Rubin,15,resized_A_A151.png,Fuchs,3,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,17,17,17,348.14750300000014,,,,,,350.02105180000035,1,3,[0.06416667 0.23333333],2.836612699999023,353.2913429,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,7,19,test item,1-2,resized_A_B20.png,Kerze,168,resized_A_A90.png,Fabrik,1,resized_A_A139.png,Gans,6,resized_B_A153.png,Schwein,14,resized_A_B196.png,Fenster,7,resized_A_B20.png,Kerze,3,resized_B_A123.png,Tänzer,9,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,18,18,18,353.43829800000094,,,,,,355.3088082000013,1,3,[0.08833333 0.23      ],2.3192328000004636,358.1788214999997,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,7,20,test item,2-2,resized_A_B196.png,Fenster,152,resized_A_A90.png,Fabrik,1,resized_A_A139.png,Gans,6,resized_B_A153.png,Schwein,14,resized_A_B196.png,Fenster,7,resized_A_B20.png,Kerze,3,resized_B_A123.png,Tänzer,9,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,19,19,19,358.31863800000065,,,,,,360.1797258000006,1,7,[0.09416667 0.07916667],2.4858454999994137,363.31642160000047,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,1,21,test item,1-2,resized_A_B168.png,Frau,136,resized_A_A134.png,Vogel,10,resized_B_A150.png,Känguru,11,resized_A_B56.png,Stuhl,15,resized_A_B168.png,Frau,12,resized_A_B55.png,Schlange,3,resized_B_A23.png,Flasche,6,9.41,28.24,5.66,3.45,2.64,3.07,3.69,1.93,2.71,857.36,4.34,HF,1.4,2.5,6.56,3.68,1,4,nn,472.6503672,625.2055164,0,20,20,20,363.4671330000001,,,,,,365.33400190000066,1,12,[ 0.25166667 -0.08666667],2.252401600000667,368.0871378000011,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,1,22,test item,2-2,resized_B_A23.png,Flasche,153,resized_A_A134.png,Vogel,10,resized_B_A150.png,Känguru,11,resized_A_B56.png,Stuhl,15,resized_A_B168.png,Frau,12,resized_A_B55.png,Schlange,3,resized_B_A23.png,Flasche,6,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,21,21,21,368.2267732,,,,,,370.08803350000017,1,6,[-0.07666667  0.0575    ],2.519347299999936,373.2249176000005,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,5,23,test item,1-2,resized_A_A113.png,Engel,139,resized_B_A187.png,Brücke,6,resized_B_C01.png,Kaninchen,12,resized_A_A113.png,Engel,11,resized_A_A52.png,Stein,14,resized_B_B49.png,Magnet,8,resized_A_B33.png,Zünder,1,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,22,22,22,373.36464290000004,,,,,,375.2259105000012,1,11,[ 0.08083333 -0.08333333],5.421267899999293,381.3150691999999,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,5,24,test item,2-2,resized_A_B33.png,Zünder,180,resized_B_A187.png,Brücke,6,resized_B_C01.png,Kaninchen,12,resized_A_A113.png,Engel,11,resized_A_A52.png,Stein,14,resized_B_B49.png,Magnet,8,resized_A_B33.png,Zünder,1,10.59,11.76,5.31,3.07,2.71,2.32,2.93,3,2.54,4.8,2.09,LF,None,None,None,None,2,6,nn,0.711231873,0.825682979,0,23,23,23,381.4642721,,,,,,383.33258449999994,1,1,[-0.26        0.26083333],3.7200758999988466,387.7370957000003,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,9,25,test item,2-2,resized_A_B32.png,Kamin,184,resized_A_A93.png,Haus,16,resized_A_B78.png,Pfeil,9,resized_B_A06.png,Hut,3,resized_A_A166.png,Pyramide,2,resized_A_B39.png,Sessel,4,resized_A_B32.png,Kamin,15,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,24,24,24,387.8818981000004,,,,,,389.7378972000006,1,15,[ 0.0925     -0.25333333],4.954823900001429,395.2929679000008,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,9,26,test item,1-2,resized_A_A166.png,Pyramide,166,resized_A_A93.png,Haus,16,resized_A_B78.png,Pfeil,9,resized_B_A06.png,Hut,3,resized_A_A166.png,Pyramide,2,resized_A_B39.png,Sessel,4,resized_A_B32.png,Kamin,15,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,25,25,25,395.4254612000004,,,,,,397.29416409999976,1,2,[-0.05083333  0.24166667],2.869006000000809,400.68123560000095,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,14,27,test item,2-2,resized_B_A181.png,Wolf,155,resized_A_B157.png,Hammer,3,resized_B_A135.png,Kamel,1,resized_B_B177.png,Schloss,6,resized_B_B73.png,Treppe,2,resized_B_A181.png,Wolf,16,resized_B_B143.png,Tanne,7,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,26,26,26,400.8192841,,,,,,402.68206810000083,1,16,[ 0.26333333 -0.2425    ],13.195229299999482,416.5612968000005,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,14,28,test item,1-2,resized_B_B73.png,Treppe,137,resized_A_B157.png,Hammer,3,resized_B_A135.png,Kamel,1,resized_B_B177.png,Schloss,6,resized_B_B73.png,Treppe,2,resized_B_A181.png,Wolf,16,resized_B_B143.png,Tanne,7,21.43,30.95,4.8,3.21,3.36,1.79,2.68,2.29,2.75,25,2.8,HF,0.05,2.36,5.95,3.25,2,6,nn,30.73829702,39.50198171,0,27,27,27,416.70569500000056,,,,,,418.5620944000002,1,2,[-0.07166667  0.23916667],2.8027156999996805,421.8989462999998,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.91284749999977,,,,,,,,,
