study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,4,B,2,1,test item,2-2,resized_B_A33.png,Roboter,156,resized_B_A156.png,Bär,1,resized_B_A132.png,Ente,2,resized_B_B180.png,Geist,5,resized_B_A33.png,Roboter,6,resized_B_A11.png,Medaille,3,resized_A_B39.png,Sessel,10,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,0,0,0,50.313959799997974,,0.0010337000130675733,10.06482769997092,10.06483649997972,48.10270569997374,52.0894659999758,1,6,[-0.08833333  0.07416667],1.8527450999827124,55.126350299979094,,,,,,,109,B,4,2024-10-23_14h12.36.431,task,2023.2.2,60.32658398164854,2024-10-23 14h13.06.733094 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,4,B,2,2,test item,1-2,resized_B_A11.png,Medaille,167,resized_B_A156.png,Bär,1,resized_B_A132.png,Ente,2,resized_B_B180.png,Geist,5,resized_B_A33.png,Roboter,6,resized_B_A11.png,Medaille,3,resized_A_B39.png,Sessel,10,15.48,15.48,4.86,2.82,3.07,2.36,2.79,2.54,2.68,3.98,2.01,LF,1.6,2.89,6.22,5.57,3,8,nn,3.760536338,6.008683062,0,1,1,1,55.26765449997038,,,,,,57.12703480001073,1,3,[0.1025     0.31833333],1.9352709000231698,59.479869699978735,,,,,,,109,B,4,2024-10-23_14h12.36.431,task,2023.2.2,60.32658398164854,2024-10-23 14h13.06.733094 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,4,B,1,3,test item,2-2,resized_B_A181.png,Wolf,155,resized_B_A147.png,Hund,5,resized_B_A197.png,Hirsch,12,resized_B_B177.png,Schloss,4,resized_A_A76.png,Mauer,3,resized_B_A181.png,Wolf,7,resized_A_B20.png,Kerze,10,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,2,2,2,59.62949049996678,,,,,,61.49737669999013,0,5,[-0.23083333  0.0425    ],2.118636399973184,68.08726280002156,1,7,[0.135      0.11916667],3.786848600022495,,,109,B,4,2024-10-23_14h12.36.431,task,2023.2.2,60.32658398164854,2024-10-23 14h13.06.733094 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,4,B,1,4,test item,1-2,resized_A_B20.png,Kerze,168,resized_B_A147.png,Hund,5,resized_B_A197.png,Hirsch,12,resized_B_B177.png,Schloss,4,resized_A_A76.png,Mauer,3,resized_B_A181.png,Wolf,7,resized_A_B20.png,Kerze,10,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,3,3,3,68.23184029996628,,,,,,70.10465160000604,1,10,[-0.07166667 -0.08166667],1.2180382000515237,71.77351239998825,,,,,,,109,B,4,2024-10-23_14h12.36.431,task,2023.2.2,60.32658398164854,2024-10-23 14h13.06.733094 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,4,B,7,5,test item,2-2,resized_B_A23.png,Flasche,153,resized_A_A134.png,Vogel,16,resized_B_B175.png,Propeller,5,resized_A_A113.png,Engel,6,resized_B_A23.png,Flasche,7,resized_A_B22.png,Kreisel,15,resized_B_B152.png,Säge,13,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,4,4,4,71.91109349997714,,,,,,73.77435700001661,1,7,[0.1275 0.065 ],1.6517102000070736,75.75979099998949,,,,,,,109,B,4,2024-10-23_14h12.36.431,task,2023.2.2,60.32658398164854,2024-10-23 14h13.06.733094 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,4,B,7,6,test item,1-2,resized_A_A113.png,Engel,139,resized_A_A134.png,Vogel,16,resized_B_B175.png,Propeller,5,resized_A_A113.png,Engel,6,resized_B_A23.png,Flasche,7,resized_A_B22.png,Kreisel,15,resized_B_B152.png,Säge,13,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,5,5,5,75.89644649997354,,,,,,77.76107479998609,1,6,[-0.06333333  0.04083333],1.184745800041128,79.3966885000118,,,,,,,109,B,4,2024-10-23_14h12.36.431,task,2023.2.2,60.32658398164854,2024-10-23 14h13.06.733094 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,4,B,8,7,test item,1-2,resized_B_A36.png,Stern,140,resized_A_A93.png,Haus,15,resized_A_A139.png,Gans,3,resized_B_A153.png,Schwein,11,resized_B_A36.png,Stern,1,resized_A_B199.png,Fisch,4,resized_A_B32.png,Kamin,8,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,6,6,6,79.53731009998592,,,,,,81.39749289996689,1,1,[-0.31333333  0.2375    ],2.4692868000129238,84.28407619998325,,,,,,,109,B,4,2024-10-23_14h12.36.431,task,2023.2.2,60.32658398164854,2024-10-23 14h13.06.733094 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,4,B,8,8,test item,2-2,resized_A_B32.png,Kamin,184,resized_A_A93.png,Haus,15,resized_A_A139.png,Gans,3,resized_B_A153.png,Schwein,11,resized_B_A36.png,Stern,1,resized_A_B199.png,Fisch,4,resized_A_B32.png,Kamin,8,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,7,7,7,84.42440790002001,,,,,,86.28490369999781,1,8,[0.28166667 0.09333333],2.5859229000052437,89.37172860000283,,,,,,,109,B,4,2024-10-23_14h12.36.431,task,2023.2.2,60.32658398164854,2024-10-23 14h13.06.733094 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,4,B,11,9,test item,2-2,resized_B_A70.png,Brunnen,183,resized_B_A03.png,Kleid,6,resized_B_A142.png,Reiter,11,resized_B_A188.png,Tür,7,resized_B_A129.png,Huhn,9,resized_B_B49.png,Magnet,3,resized_B_A70.png,Brunnen,13,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,8,8,8,89.51136900001438,,,,,,91.37275430001318,1,13,[-0.195      -0.22583333],2.252056500001345,94.12567669997225,,,,,,,109,B,4,2024-10-23_14h12.36.431,task,2023.2.2,60.32658398164854,2024-10-23 14h13.06.733094 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,4,B,11,10,test item,1-2,resized_B_A188.png,Tür,141,resized_B_A03.png,Kleid,6,resized_B_A142.png,Reiter,11,resized_B_A188.png,Tür,7,resized_B_A129.png,Huhn,9,resized_B_B49.png,Magnet,3,resized_B_A70.png,Brunnen,13,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,9,9,9,94.26383549999446,,,,,,96.12659339996753,1,7,[0.065      0.07166667],1.5516578999813646,98.34594809997361,,,,,,,109,B,4,2024-10-23_14h12.36.431,task,2023.2.2,60.32658398164854,2024-10-23 14h13.06.733094 +0200,
