study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,4,A,3,1,test item,1-1,resized_B_A06.png,Hut,135,resized_A_A134.png,Vogel,1,resized_B_B19.png,Krawatte,8,resized_B_A06.png,Hut,4,resized_A_A166.png,Pyramide,6,resized_A_A73.png,Klinge,10,resized_A_B32.png,Kamin,14,25,30.95,4.37,3.43,3.07,2.11,3.25,2.14,3.15,45.91,3.067,HF,None,None,None,4,1,3,nn,33.34614722,41.24327353,0,0,0,0,32.16419859999951,,0.0010567000026640017,10.062027500000113,10.06203860000096,29.954724200000783,33.942383400000836,1,4,[0.29833333 0.2       ],1.736003800000617,36.16166599999997,,121,A,4,2024-11-12_13h42.25.079,task,2023.2.2,59.9527931702058,2024-11-12 13h42.32.441983 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,4,A,3,2,test item,2-1,resized_A_A73.png,Klinge,177,resized_A_A134.png,Vogel,1,resized_B_B19.png,Krawatte,8,resized_B_A06.png,Hut,4,resized_A_A166.png,Pyramide,6,resized_A_A73.png,Klinge,10,resized_A_B32.png,Kamin,14,7.23,12.94,5.75,2.83,3.25,1.96,2.9,2.41,2.82,10.79,2.44,LF,-1.3,3.68,5.14,6.37,2,6,nn,2.346247672,4.308266631,0,1,1,1,36.302063300001464,,,,,,38.162446599999384,1,10,[-0.0325     -0.06083333],1.301494499999535,39.96480159999919,,121,A,4,2024-11-12_13h42.25.079,task,2023.2.2,59.9527931702058,2024-11-12 13h42.32.441983 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,4,A,4,3,test item,1-1,resized_B_B49.png,Magnet,163,resized_B_A156.png,Bär,6,resized_B_A142.png,Reiter,11,resized_B_B49.png,Magnet,1,resized_A_B20.png,Kerze,2,resized_A_B39.png,Sessel,15,resized_A_A151.png,Fuchs,8,15.48,15.48,4.88,2.93,3.11,1.89,2.93,2.79,3.11,1.5,1.591,LF,0.6,2.21,6.22,6.74,2,6,nn,1.119985822,3.000253992,0,2,2,2,40.10022150000077,,,,,,41.9657208000026,1,1,[-0.1875      0.18916667],1.801698100000067,44.40150590000121,,121,A,4,2024-11-12_13h42.25.079,task,2023.2.2,59.9527931702058,2024-11-12 13h42.32.441983 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,4,A,4,4,test item,2-1,resized_A_B39.png,Sessel,172,resized_B_A156.png,Bär,6,resized_B_A142.png,Reiter,11,resized_B_B49.png,Magnet,1,resized_A_B20.png,Kerze,2,resized_A_B39.png,Sessel,15,resized_A_A151.png,Fuchs,8,11.9,12.94,5.47,3.1,2.79,2.89,3.17,2.17,2.75,4.61,2.07,LF,1.4,1.78,5.82,3.23,2,6,nn,15.00126996,17.24941668,0,3,3,3,44.53331780000008,,,,,,46.402745100000175,1,15,[ 0.015      -0.18833333],1.6679817000003823,48.50495900000169,,121,A,4,2024-11-12_13h42.25.079,task,2023.2.2,59.9527931702058,2024-11-12 13h42.32.441983 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,4,A,8,5,test item,2-1,resized_B_A129.png,Huhn,146,resized_A_A141.png,Pferd,14,resized_A_A148.png,Giraffe,11,resized_B_A188.png,Tür,15,resized_B_A129.png,Huhn,9,resized_B_A43.png,Blatt,5,resized_B_A70.png,Brunnen,1,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,4,4,4,48.65327570000227,,,,,,50.52293239999926,1,9,[-0.23666667 -0.055     ],1.6345012000019778,52.65883110000141,,121,A,4,2024-11-12_13h42.25.079,task,2023.2.2,59.9527931702058,2024-11-12 13h42.32.441983 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,4,A,8,6,test item,1-1,resized_B_A43.png,Blatt,159,resized_A_A141.png,Pferd,14,resized_A_A148.png,Giraffe,11,resized_B_A188.png,Tür,15,resized_B_A129.png,Huhn,9,resized_B_A43.png,Blatt,5,resized_B_A70.png,Brunnen,1,6.1,8.33,5.82,2.81,2.25,2.46,2.58,2.96,2.21,12.17,2.49,LF,None,None,None,None,1,5,nn,33.92657783,93.25312611,0,5,5,5,52.79862780000258,,,,,,54.65991980000035,1,5,[-0.195       0.06583333],1.6850407000019914,56.76191690000269,,121,A,4,2024-11-12_13h42.25.079,task,2023.2.2,59.9527931702058,2024-11-12 13h42.32.441983 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,4,A,6,7,test item,1-1,resized_A_B43.png,Parfüm,157,resized_A_B54.png,Telefon,11,resized_B_A197.png,Hirsch,13,resized_B_A33.png,Roboter,12,resized_A_B43.png,Parfüm,10,resized_A_A74.png,Rubin,1,resized_A_A122.png,Sturz,8,14.29,18.82,5.36,2.62,2.54,2.96,3.38,2.59,2.71,5.59,2.16,LF,1.77,3,4.41,6.56,2,6,nn,2.354422751,3.057479545,0,6,6,6,56.90470650000134,,,,,,58.76317200000267,1,10,[-0.04833333 -0.04583333],1.4514723000029335,60.68225700000039,,121,A,4,2024-11-12_13h42.25.079,task,2023.2.2,59.9527931702058,2024-11-12 13h42.32.441983 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,4,A,6,8,test item,2-1,resized_A_A122.png,Sturz,176,resized_A_B54.png,Telefon,11,resized_B_A197.png,Hirsch,13,resized_B_A33.png,Roboter,12,resized_A_B43.png,Parfüm,10,resized_A_A74.png,Rubin,1,resized_A_A122.png,Sturz,8,3.53,4.71,6.19,2.48,2.25,3.89,3.21,2.62,1.79,6.26,2.2,LF,-1.6,3.76,5.56,3.8,1,5,nn,13.16187718,16.13760594,0,7,7,7,60.820388600001024,,,,,,62.68316930000219,1,8,[0.21666667 0.06666667],1.5684211999978288,64.71899100000155,,121,A,4,2024-11-12_13h42.25.079,task,2023.2.2,59.9527931702058,2024-11-12 13h42.32.441983 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,4,A,5,9,test item,1-1,resized_A_B56.png,Stuhl,133,resized_A_B192.png,Katze,9,resized_B_A135.png,Kamel,11,resized_A_B56.png,Stuhl,2,resized_B_B167.png,Fliege,16,resized_A_B139.png,Trichter,1,resized_B_B143.png,Tanne,6,35.29,36.47,4.11,3.41,3.43,1.75,3.31,1.79,2.86,30.67,2.892,HF,0.5,1.82,6.23,2.86,1,5,nn,33.05184438,50.36666169,0,8,8,8,64.86015680000128,,,,,,66.71984399999928,1,2,[-0.03        0.18666667],1.534960000000865,68.73927520000143,,121,A,4,2024-11-12_13h42.25.079,task,2023.2.2,59.9527931702058,2024-11-12 13h42.32.441983 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,4,A,5,10,test item,2-1,resized_B_B143.png,Tanne,175,resized_A_B192.png,Katze,9,resized_B_A135.png,Kamel,11,resized_A_B56.png,Stuhl,2,resized_B_B167.png,Fliege,16,resized_A_B139.png,Trichter,1,resized_B_B143.png,Tanne,6,22.62,26.19,4.2,3.75,3.07,2.54,3.21,2.25,2.96,0.43,1.08,LF,1.25,1.6,5.73,4.3,2,5,nn,1.177211375,3.507108889,0,9,9,9,68.87879570000223,,,,,,70.73987130000023,1,6,[-0.03416667  0.03833333],1.3684253999999783,72.65896300000168,,121,A,4,2024-11-12_13h42.25.079,task,2023.2.2,59.9527931702058,2024-11-12 13h42.32.441983 +0100,
