study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,2,11,test item,1-1,resized_A_B150.png,Rakete,134,resized_B_B155.png,Messer,5,resized_A_A02.png,Mühle,7,resized_A_B150.png,Rakete,9,resized_A_A113.png,Engel,4,resized_B_B193.png,Auge,2,resized_A_A179.png,Drachen,14,28.92,30.59,4.48,2.93,2.61,3.14,3.14,2.41,2.59,16.02,2.61,HF,-0.6,3.47,6.67,4.87,3,6,nn,3.507108889,12.47517055,0,10,10,10,85.9255632000004,,,,,,87.77066190000005,1,9,[-0.2475     -0.03583333],2.652583799999775,90.89077039999938,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,2,12,test item,2-1,resized_B_B193.png,Auge,145,resized_B_B155.png,Messer,5,resized_A_A02.png,Mühle,7,resized_A_B150.png,Rakete,9,resized_A_A113.png,Engel,4,resized_B_B193.png,Auge,2,resized_A_A179.png,Drachen,14,3.61,10.71,5.94,2.68,2.29,2.68,3.39,2.89,2.07,92.05,3.37,HF,1.12,2.06,6.65,2.69,2,4,nn,77.94937823,392.1258391,0,11,11,11,91.08084280000003,,,,,,92.90830470000037,1,2,[-0.04666667  0.19833333],2.002264799999466,95.52815109999938,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,3,13,test item,2-1,resized_A_A73.png,Klinge,177,resized_A_A134.png,Vogel,4,resized_B_B19.png,Krawatte,11,resized_B_A06.png,Hut,5,resized_A_A166.png,Pyramide,12,resized_A_A73.png,Klinge,13,resized_A_B32.png,Kamin,8,7.23,12.94,5.75,2.83,3.25,1.96,2.9,2.41,2.82,10.79,2.44,LF,-1.3,3.68,5.14,6.37,2,6,nn,2.346247672,4.308266631,0,12,12,12,95.67594110000027,,,,,,97.54549840000072,1,13,[-0.2875 -0.21  ],2.31900990000031,100.38214639999933,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,3,14,test item,1-1,resized_B_A06.png,Hut,135,resized_A_A134.png,Vogel,4,resized_B_B19.png,Krawatte,11,resized_B_A06.png,Hut,5,resized_A_A166.png,Pyramide,12,resized_A_A73.png,Klinge,13,resized_A_B32.png,Kamin,8,25,30.95,4.37,3.43,3.07,2.11,3.25,2.14,3.15,45.91,3.067,HF,None,None,None,4,1,3,nn,33.34614722,41.24327353,0,13,13,13,100.52419809999992,,,,,,102.3829552999996,1,5,[-0.33083333  0.11416667],1.6350640000000567,104.43553640000027,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,11,15,test item,2-1,resized_A_B199.png,Fisch,148,resized_A_B157.png,Hammer,7,resized_B_C01.png,Kaninchen,12,resized_A_B199.png,Fisch,4,resized_A_B08.png,Person,11,resized_A_A100.png,Ruderer,9,resized_B_A176.png,Trophäe,1,20.48,24.71,5.03,2.48,2.46,2.71,3.03,2.38,2.68,42.72,3.04,HF,0.36,2.36,5.86,2.76,1,5,nn,16.26023212,42.6575622,0,14,14,14,104.58445790000042,,,,,,106.45304199999919,1,4,[0.21333333 0.2       ],2.201674099998854,109.23953810000057,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,11,16,test item,1-1,resized_A_A100.png,Ruderer,162,resized_A_B157.png,Hammer,7,resized_B_C01.png,Kaninchen,12,resized_A_B199.png,Fisch,4,resized_A_B08.png,Person,11,resized_A_A100.png,Ruderer,9,resized_B_A176.png,Trophäe,1,8.33,31.76,5.68,3.72,3.18,2.93,3.14,2.52,3.22,0.16,0.699,LF,None,None,None,None,3,7,nn,0.768457426,0.907433769,0,15,15,15,109.37497900000017,,,,,,111.24039880000055,1,9,[-0.21416667 -0.02916667],1.8185565999992832,113.67665320000015,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,5,17,test item,2-1,resized_B_B143.png,Tanne,175,resized_A_B192.png,Katze,7,resized_B_A135.png,Kamel,4,resized_A_B56.png,Stuhl,13,resized_B_B167.png,Fliege,6,resized_A_B139.png,Trichter,2,resized_B_B143.png,Tanne,8,22.62,26.19,4.2,3.75,3.07,2.54,3.21,2.25,2.96,0.43,1.08,LF,1.25,1.6,5.73,4.3,2,5,nn,1.177211375,3.507108889,0,16,16,16,113.81565299999966,,,,,,115.67739799999981,1,8,[0.185      0.07666667],1.7352808999985427,117.89664860000084,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,5,18,test item,1-1,resized_A_B56.png,Stuhl,133,resized_A_B192.png,Katze,7,resized_B_A135.png,Kamel,4,resized_A_B56.png,Stuhl,13,resized_B_B167.png,Fliege,6,resized_A_B139.png,Trichter,2,resized_B_B143.png,Tanne,8,35.29,36.47,4.11,3.41,3.43,1.75,3.31,1.79,2.86,30.67,2.892,HF,0.5,1.82,6.23,2.86,1,5,nn,33.05184438,50.36666169,0,17,17,17,118.03577779999978,,,,,,119.89784879999934,1,13,[-0.2575     -0.24083333],2.302078500000789,122.66755449999982,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,7,19,test item,2-1,resized_A_B194.png,Raute,173,resized_A_A93.png,Haus,14,resized_B_A150.png,Känguru,9,resized_B_A153.png,Schwein,7,resized_B_B73.png,Treppe,4,resized_A_B194.png,Raute,3,resized_A_B33.png,Zünder,10,4.76,8.24,5.91,2.72,2.11,3.11,2.69,2.76,1.93,0.28,0.9,LF,None,None,None,None,2,5,nn,0.302477923,0.539555214,0,18,18,18,122.80865989999984,,,,,,124.66843320000044,1,3,[0.14333333 0.19583333],2.1855634999992617,127.3881263000003,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,7,20,test item,1-1,resized_B_A153.png,Schwein,131,resized_A_A93.png,Haus,14,resized_B_A150.png,Känguru,9,resized_B_A153.png,Schwein,7,resized_B_B73.png,Treppe,4,resized_A_B194.png,Raute,3,resized_A_B33.png,Zünder,10,28.57,45.24,3.8,3.18,2.86,2.54,2.75,1.89,3.29,62.09,3.2,HF,0.59,2.77,5.95,2.81,1,7,nn,7.995227258,18.36122743,0,19,19,19,127.5385010000009,,,,,,129.4057455000002,1,7,[0.08   0.0675],1.4343281000001298,131.40821399999913,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,9,21,test item,2-1,resized_A_B55.png,Schlange,143,resized_A_A90.png,Fabrik,2,resized_B_A140.png,Flamingo,9,resized_B_A36.png,Stern,6,resized_A_B55.png,Schlange,7,resized_B_A181.png,Wolf,1,resized_B_A77.png,Hang,5,15.29,15.29,4.53,3.17,2.96,1.93,2.62,1.83,2.46,29.84,2.88,HF,None,None,None,None,2,8,nn,8.829085316,13.96303493,0,20,20,20,131.55012050000005,,,,,,133.4090245999996,1,7,[0.0525 0.06  ],2.002095099998769,135.86205039999913,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,9,22,test item,1-1,resized_B_A77.png,Hang,161,resized_A_A90.png,Fabrik,2,resized_B_A140.png,Flamingo,9,resized_B_A36.png,Stern,6,resized_A_B55.png,Schlange,7,resized_B_A181.png,Wolf,1,resized_B_A77.png,Hang,5,19.28,21.43,5.19,3.26,3,2.14,2.93,2.89,2.61,2.8,1.86,LF,None,None,None,None,1,4,nn,7.365746175,11.15898283,0,21,21,21,136.0077641000007,,,,,,137.87950909999927,1,5,[-0.2125  0.0725],1.7180009000003338,140.0322802999999,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,4,23,test item,1-1,resized_B_B49.png,Magnet,163,resized_B_A156.png,Bär,16,resized_B_A142.png,Reiter,10,resized_B_B49.png,Magnet,6,resized_A_B20.png,Kerze,3,resized_A_B39.png,Sessel,9,resized_A_A151.png,Fuchs,12,15.48,15.48,4.88,2.93,3.11,1.89,2.93,2.79,3.11,1.5,1.591,LF,0.6,2.21,6.22,6.74,2,6,nn,1.119985822,3.000253992,0,22,22,22,140.1836602000003,,,,,,142.04985990000023,1,6,[-0.0525  0.0725],2.6690315999985614,145.18646620000072,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,4,24,test item,2-1,resized_A_B39.png,Sessel,172,resized_B_A156.png,Bär,16,resized_B_A142.png,Reiter,10,resized_B_B49.png,Magnet,6,resized_A_B20.png,Kerze,3,resized_A_B39.png,Sessel,9,resized_A_A151.png,Fuchs,12,11.9,12.94,5.47,3.1,2.79,2.89,3.17,2.17,2.75,4.61,2.07,LF,1.4,1.78,5.82,3.23,2,6,nn,15.00126996,17.24941668,0,23,23,23,145.32408190000024,,,,,,147.18732369999998,1,9,[-0.22166667 -0.05833333],2.168862900000022,149.94046329999946,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,1,25,test item,1-1,resized_B_B177.png,Schloss,132,resized_B_A03.png,Kleid,7,resized_B_A132.png,Ente,2,resized_B_B177.png,Schloss,16,resized_A_B168.png,Frau,6,resized_A_A76.png,Mauer,3,resized_B_B206.png,Axt,12,25,32.14,4.02,3.43,2.93,3.07,3.36,2.43,3,46.3,3.071,HF,None,None,None,None,1,7,nn,0.989184559,53.18706395,0,24,24,24,150.08249070000056,,,,,,151.94131890000062,1,16,[ 0.18583333 -0.22083333],2.3691777999993064,154.92802699999993,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,1,26,test item,2-1,resized_A_A76.png,Mauer,147,resized_B_A03.png,Kleid,7,resized_B_A132.png,Ente,2,resized_B_B177.png,Schloss,16,resized_A_B168.png,Frau,6,resized_A_A76.png,Mauer,3,resized_B_B206.png,Axt,12,9.41,14.12,5.6,2.72,2.61,2.36,2.69,2.59,2.44,16.89,2.63,HF,-0.5,2.78,5.64,3.53,2,5,nn,27.26388845,44.11272626,0,25,25,25,155.07019880000007,,,,,,156.92882989999998,1,3,[0.085      0.17583333],2.569370000001072,160.0321342999996,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,10,27,test item,2-1,resized_A_A52.png,Stein,149,resized_B_A187.png,Brücke,6,resized_A_A139.png,Gans,2,resized_A_A04.png,Baum,13,resized_A_A52.png,Stein,15,resized_A_B15.png,Schwangere,8,resized_B_B164.png,kimono,3,4.71,5.88,5.95,2.55,2.21,3.04,2.28,2.41,1.89,43.86,3.05,HF,0.23,2,5.5,2.58,1,5,nn,37.40098641,66.14456416,0,26,26,26,160.17346960000032,,,,,,162.03319539999939,1,15,[ 0.06666667 -0.2325    ],2.0190719999991416,164.5194663000002,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,10,28,test item,1-1,resized_A_A04.png,Baum,130,resized_B_A187.png,Brücke,6,resized_A_A139.png,Gans,2,resized_A_A04.png,Baum,13,resized_A_A52.png,Stein,15,resized_A_B15.png,Schwangere,8,resized_B_B164.png,kimono,3,20.73,40,4.8,2.9,2.68,2.57,3.24,2.34,2.56,40.24,3.01,HF,1.5,1.5,6.67,2.85,1,4,nn,26.37280484,74.55672044,0,27,27,27,164.66359329999977,,,,,,166.52029109999967,1,13,[-0.2575 -0.22  ],1.8686279000012291,168.83972390000054,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.85152890000063,,,,,,,,,
