study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,closing_screen.started,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,2,A,11,1,test item,2-1,resized_A_B199.png,Fisch,148,resized_B_A187.png,Brücke,10,resized_B_C01.png,Kaninchen,14,resized_A_B199.png,Fisch,13,resized_B_A181.png,Wolf,12,resized_A_A100.png,Ruderer,8,resized_A_A166.png,Pyramide,16,20.48,24.71,5.03,2.48,2.46,2.71,3.03,2.38,2.68,42.72,3.04,HF,0.36,2.36,5.86,2.76,1,5,nn,16.26023212,42.6575622,0,0,0,0,69.38300610007718,,0.001215200056321919,10.069406100083143,10.069415700039826,67.16696360008791,71.15369770000689,1,13,[-0.22833333 -0.2525    ],3.33703960001003,75.07448310009204,,,,,,118,A,2,2024-11-06_13h58.05.450,task,2023.2.2,59.95239779661046,2024-11-06 13h58.13.573266 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,2,A,11,2,test item,1-1,resized_A_A100.png,Ruderer,162,resized_B_A187.png,Brücke,10,resized_B_C01.png,Kaninchen,14,resized_A_B199.png,Fisch,13,resized_B_A181.png,Wolf,12,resized_A_A100.png,Ruderer,8,resized_A_A166.png,Pyramide,16,8.33,31.76,5.68,3.72,3.18,2.93,3.14,2.52,3.22,0.16,0.699,LF,None,None,None,None,3,7,nn,0.768457426,0.907433769,0,1,1,1,75.2206025000196,,,,,,77.07535530009773,1,8,[0.27916667 0.04583333],2.368707299930975,79.99560640007257,,,,,,118,A,2,2024-11-06_13h58.05.450,task,2023.2.2,59.95239779661046,2024-11-06 13h58.13.573266 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,2,A,13,3,test item,2-1,resized_B_A129.png,Huhn,146,resized_B_A147.png,Hund,4,resized_B_A142.png,Reiter,8,resized_B_B177.png,Schloss,1,resized_B_A129.png,Huhn,13,resized_A_B196.png,Fenster,2,resized_B_A176.png,Trophäe,15,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,2,2,2,80.13598540006205,,,,,,81.99616270000115,1,13,[-0.23666667 -0.23583333],1.9514724999899045,84.4156651000958,,,,,,118,A,2,2024-11-06_13h58.05.450,task,2023.2.2,59.95239779661046,2024-11-06 13h58.13.573266 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,2,A,13,4,test item,1-1,resized_B_B177.png,Schloss,132,resized_B_A147.png,Hund,4,resized_B_A142.png,Reiter,8,resized_B_B177.png,Schloss,1,resized_B_A129.png,Huhn,13,resized_A_B196.png,Fenster,2,resized_B_A176.png,Trophäe,15,25,32.14,4.02,3.43,2.93,3.07,3.36,2.43,3,46.3,3.071,HF,None,None,None,None,1,7,nn,0.989184559,53.18706395,0,3,3,3,84.57013150001876,,,,,,86.43324030004442,1,1,[-0.2275  0.2575],2.218377299956046,89.18635840003844,,,,,,118,A,2,2024-11-06_13h58.05.450,task,2023.2.2,59.95239779661046,2024-11-06 13h58.13.573266 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,2,A,1,5,test item,1-1,resized_A_A04.png,Baum,130,resized_B_B155.png,Messer,8,resized_A_A139.png,Gans,10,resized_A_A04.png,Baum,9,resized_B_A23.png,Flasche,15,resized_A_A74.png,Rubin,3,resized_A_B194.png,Raute,5,20.73,40,4.8,2.9,2.68,2.57,3.24,2.34,2.56,40.24,3.01,HF,1.5,1.5,6.67,2.85,1,4,nn,26.37280484,74.55672044,0,4,4,4,89.3285074000014,,,,,,91.18723280006088,1,9,[-0.26       -0.09083333],2.152143600047566,94.04046330007259,,,,,,118,A,2,2024-11-06_13h58.05.450,task,2023.2.2,59.95239779661046,2024-11-06 13h58.13.573266 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,2,A,1,6,test item,2-1,resized_A_B194.png,Raute,173,resized_B_B155.png,Messer,8,resized_A_A139.png,Gans,10,resized_A_A04.png,Baum,9,resized_B_A23.png,Flasche,15,resized_A_A74.png,Rubin,3,resized_A_B194.png,Raute,5,4.76,8.24,5.91,2.72,2.11,3.11,2.69,2.76,1.93,0.28,0.9,LF,None,None,None,None,2,5,nn,0.302477923,0.539555214,0,5,5,5,94.18270050000865,,,,,,96.04133580008056,1,5,[-0.23083333  0.07666667],2.4023947999812663,98.91084900009446,,,,,,118,A,2,2024-11-06_13h58.05.450,task,2023.2.2,59.95239779661046,2024-11-06 13h58.13.573266 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,2,A,14,7,test item,1-1,resized_B_A20.png,Grill,160,resized_B_A03.png,Kleid,6,resized_B_A150.png,Känguru,1,resized_B_B73.png,Treppe,13,resized_B_A20.png,Grill,12,resized_B_A123.png,Tänzer,3,resized_B_B206.png,Axt,15,16.05,16.67,5.17,2.46,2.43,3.18,3.18,2.64,2.69,3.7,1.98,LF,None,None,None,6.13,1,5,nn,0.833858058,0.842033137,0,6,6,6,99.05055879999418,,,,,,100.9120556000853,1,12,[ 0.24916667 -0.08      ],2.7360361999599263,104.21530450007413,,,,,,118,A,2,2024-11-06_13h58.05.450,task,2023.2.2,59.95239779661046,2024-11-06 13h58.13.573266 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,2,A,14,8,test item,2-1,resized_B_A123.png,Tänzer,174,resized_B_A03.png,Kleid,6,resized_B_A150.png,Känguru,1,resized_B_B73.png,Treppe,13,resized_B_A20.png,Grill,12,resized_B_A123.png,Tänzer,3,resized_B_B206.png,Axt,15,8.33,23.81,5.5,3.68,2.71,3.36,3.86,2,3.29,6.06,2.19,LF,None,None,None,None,2,6,nn,3.973088392,4.700670423,0,7,7,7,104.35756640008185,,,,,,106.21653229999356,1,3,[0.09666667 0.25083333],2.8523945999331772,109.82046900002751,,,,,,118,A,2,2024-11-06_13h58.05.450,task,2023.2.2,59.95239779661046,2024-11-06 13h58.13.573266 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,2,A,2,9,test item,2-1,resized_A_B55.png,Schlange,143,resized_A_B109.png,Boot,6,resized_B_A140.png,Flamingo,7,resized_B_A188.png,Tür,14,resized_A_B55.png,Schlange,4,resized_B_A77.png,Hang,16,resized_A_A151.png,Fuchs,11,15.29,15.29,4.53,3.17,2.96,1.93,2.62,1.83,2.46,29.84,2.88,HF,None,None,None,None,2,8,nn,8.829085316,13.96303493,0,8,8,8,109.96830840001348,,,,,,111.83795090008061,1,4,[0.2525     0.24666667],3.035892599960789,115.3913642000407,,,,,,118,A,2,2024-11-06_13h58.05.450,task,2023.2.2,59.95239779661046,2024-11-06 13h58.13.573266 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,2,A,2,10,test item,1-1,resized_B_A77.png,Hang,161,resized_A_B109.png,Boot,6,resized_B_A140.png,Flamingo,7,resized_B_A188.png,Tür,14,resized_A_B55.png,Schlange,4,resized_B_A77.png,Hang,16,resized_A_A151.png,Fuchs,11,19.28,21.43,5.19,3.26,3,2.14,2.93,2.89,2.61,2.8,1.86,LF,None,None,None,None,1,4,nn,7.365746175,11.15898283,0,9,9,9,115.53306950000115,,,,,,117.39267430000473,1,16,[ 0.2725 -0.2625],2.419192000059411,120.36224090005271,,,,,,118,A,2,2024-11-06_13h58.05.450,task,2023.2.2,59.95239779661046,2024-11-06 13h58.13.573266 +0100,
