study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,129.0,2,B-A,1.0,1.0,training,2,A,9,1,test item,1-1,resized_A_B43.png,Parfüm,157,resized_A_B192.png,Katze,7,resized_B_A132.png,Ente,11,resized_B_A129.png,Huhn,5,resized_A_B43.png,Parfüm,1,resized_A_A74.png,Rubin,3,resized_B_B206.png,Axt,10,14.29,18.82,5.36,2.62,2.54,2.96,3.38,2.59,2.71,5.59,2.16,LF,1.77,3,4.41,6.56,2,6,nn,2.354422751,3.057479545,0,0,0,0,81.84494929993525,,0.0012209999840706587,10.064177199965343,10.064187799813226,79.64251249982044,83.62999749998562,1,1,[-0.25916667  0.2225    ],2.4366945000365376,87.1171920998022,,,129,A,2,2024-11-28_10h15.46.549,task,2023.2.2,59.88203236240958,2024-11-28 10h15.56.454671 +0100,
LEALCO-EEG,129.0,2,B-A,1.0,1.0,training,2,A,9,2,test item,2-1,resized_B_A129.png,Huhn,146,resized_A_B192.png,Katze,7,resized_B_A132.png,Ente,11,resized_B_A129.png,Huhn,5,resized_A_B43.png,Parfüm,1,resized_A_A74.png,Rubin,3,resized_B_B206.png,Axt,10,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,1,1,1,87.2578377998434,,,,,,89.11792459990829,1,5,[-0.21416667  0.05166667],2.4862350998446345,92.6050376999192,,,129,A,2,2024-11-28_10h15.46.549,task,2023.2.2,59.88203236240958,2024-11-28 10h15.56.454671 +0100,
LEALCO-EEG,129.0,2,B-A,1.0,1.0,training,2,A,8,3,test item,1-1,resized_A_A100.png,Ruderer,162,resized_B_B155.png,Messer,9,resized_A_A139.png,Gans,14,resized_B_B73.png,Treppe,16,resized_B_A37.png,Tasse,2,resized_A_A100.png,Ruderer,10,resized_A_A151.png,Fuchs,6,8.33,31.76,5.68,3.72,3.18,2.93,3.14,2.52,3.22,0.16,0.699,LF,None,None,None,None,3,7,nn,0.768457426,0.907433769,0,2,2,2,92.74407339980826,,,,,,94.60588069981895,1,10,[-0.025      -0.07083333],2.786055800039321,98.59345109993592,,,129,A,2,2024-11-28_10h15.46.549,task,2023.2.2,59.88203236240958,2024-11-28 10h15.56.454671 +0100,
LEALCO-EEG,129.0,2,B-A,1.0,1.0,training,2,A,8,4,test item,2-1,resized_B_A37.png,Tasse,144,resized_B_B155.png,Messer,9,resized_A_A139.png,Gans,14,resized_B_B73.png,Treppe,16,resized_B_A37.png,Tasse,2,resized_A_A100.png,Ruderer,10,resized_A_A151.png,Fuchs,6,10.84,13.1,5.55,2.61,2.36,2.32,2.93,2.68,2.29,18.43,2.67,HF,0.73,1.82,6,3.24,2,5,nn,11.19985822,15.65527628,0,3,3,3,98.73199919983745,,,,,,100.59453879995272,1,2,[-0.08916667  0.25916667],1.3510078999679536,103.1306731000077,,,129,A,2,2024-11-28_10h15.46.549,task,2023.2.2,59.88203236240958,2024-11-28 10h15.56.454671 +0100,
LEALCO-EEG,129.0,2,B-A,1.0,1.0,training,2,A,14,5,test item,2-1,resized_A_A52.png,Stein,149,resized_A_A141.png,Pferd,5,resized_B_B70.png,Quadrat,3,resized_A_A52.png,Stein,15,resized_A_A179.png,Drachen,6,resized_A_B22.png,Kreisel,10,resized_B_A11.png,Medaille,16,4.71,5.88,5.95,2.55,2.21,3.04,2.28,2.41,1.89,43.86,3.05,HF,0.23,2,5.5,2.58,1,5,nn,37.40098641,66.14456416,0,4,4,4,103.27280169981532,,,,,,105.13156239991076,1,15,[ 0.09166667 -0.22166667],2.402207599952817,109.0523234999273,,,129,A,2,2024-11-28_10h15.46.549,task,2023.2.2,59.88203236240958,2024-11-28 10h15.56.454671 +0100,
LEALCO-EEG,129.0,2,B-A,1.0,1.0,training,2,A,14,6,test item,1-1,resized_A_B22.png,Kreisel,158,resized_A_A141.png,Pferd,5,resized_B_B70.png,Quadrat,3,resized_A_A52.png,Stein,15,resized_A_A179.png,Drachen,6,resized_A_B22.png,Kreisel,10,resized_B_A11.png,Medaille,16,17.65,17.65,5.31,2.62,2.54,2.82,3,2.17,2.59,0.55,1.18,LF,0.68,2.86,5.09,4.35,2,7,nn,1.348888034,1.585965325,0,5,5,5,109.192426599795,,,,,,111.05329740000889,1,10,[-0.07666667 -0.04833333],1.8516016998328269,114.12267459998839,,,129,A,2,2024-11-28_10h15.46.549,task,2023.2.2,59.88203236240958,2024-11-28 10h15.56.454671 +0100,
LEALCO-EEG,129.0,2,B-A,1.0,1.0,training,2,A,5,7,test item,2-1,resized_A_B194.png,Raute,173,resized_A_A90.png,Fabrik,1,resized_B_A197.png,Hirsch,15,resized_B_A06.png,Hut,6,resized_A_B15.png,Schwangere,11,resized_A_B194.png,Raute,9,resized_B_A54.png,Flamme,16,4.76,8.24,5.91,2.72,2.11,3.11,2.69,2.76,1.93,0.28,0.9,LF,None,None,None,None,2,5,nn,0.302477923,0.539555214,0,6,6,6,114.2593976999633,,,,,,116.12402609991841,1,9,[-0.26916667 -0.1125    ],3.269717800198123,121.12934519979171,,,129,A,2,2024-11-28_10h15.46.549,task,2023.2.2,59.88203236240958,2024-11-28 10h15.56.454671 +0100,
LEALCO-EEG,129.0,2,B-A,1.0,1.0,training,2,A,5,8,test item,1-1,resized_B_A06.png,Hut,135,resized_A_A90.png,Fabrik,1,resized_B_A197.png,Hirsch,15,resized_B_A06.png,Hut,6,resized_A_B15.png,Schwangere,11,resized_A_B194.png,Raute,9,resized_B_A54.png,Flamme,16,25,30.95,4.37,3.43,3.07,2.11,3.25,2.14,3.15,45.91,3.067,HF,None,None,None,4,1,3,nn,33.34614722,41.24327353,0,7,7,7,121.27974849985912,,,,,,123.14658719999716,1,6,[-0.09333333  0.07833333],1.217919500079006,125.68285879981704,,,129,A,2,2024-11-28_10h15.46.549,task,2023.2.2,59.88203236240958,2024-11-28 10h15.56.454671 +0100,
LEALCO-EEG,129.0,2,B-A,1.0,1.0,training,2,A,1,9,test item,1-1,resized_A_B150.png,Rakete,134,resized_A_A93.png,Haus,1,resized_B_A140.png,Flamingo,11,resized_A_B150.png,Rakete,2,resized_B_A185.png,Gesicht,5,resized_B_B167.png,Fliege,14,resized_A_B39.png,Sessel,16,28.92,30.59,4.48,2.93,2.61,3.14,3.14,2.41,2.59,16.02,2.61,HF,-0.6,3.47,6.67,4.87,3,6,nn,3.507108889,12.47517055,0,8,8,8,125.82345369993709,,,,,,127.68373639998026,1,2,[-0.10166667  0.21083333],1.951430199900642,130.80391779984348,,,129,A,2,2024-11-28_10h15.46.549,task,2023.2.2,59.88203236240958,2024-11-28 10h15.56.454671 +0100,
LEALCO-EEG,129.0,2,B-A,1.0,1.0,training,2,A,1,10,test item,2-1,resized_A_B39.png,Sessel,172,resized_A_A93.png,Haus,1,resized_B_A140.png,Flamingo,11,resized_A_B150.png,Rakete,2,resized_B_A185.png,Gesicht,5,resized_B_B167.png,Fliege,14,resized_A_B39.png,Sessel,16,11.9,12.94,5.47,3.1,2.79,2.89,3.17,2.17,2.75,4.61,2.07,LF,1.4,1.78,5.82,3.23,2,6,nn,15.00126996,17.24941668,0,9,9,9,130.94775269995444,,,,,,132.82134959986433,1,16,[ 0.22166667 -0.22166667],1.6517902000341564,135.62469199998304,,,129,A,2,2024-11-28_10h15.46.549,task,2023.2.2,59.88203236240958,2024-11-28 10h15.56.454671 +0100,
