study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,9,11,test item,2-1,resized_A_B55.png,Schlange,143,resized_B_B155.png,Messer,16,resized_B_C01.png,Kaninchen,9,resized_A_B55.png,Schlange,6,resized_A_A179.png,Drachen,4,resized_A_A100.png,Ruderer,7,resized_A_A166.png,Pyramide,1,15.29,15.29,4.53,3.17,2.96,1.93,2.62,1.83,2.46,29.84,2.88,HF,None,None,None,None,2,8,nn,8.829085316,13.96303493,0,10,10,10,94.43429589999141,,,,,,96.30620940000517,1,6,[-0.00916667  0.0075    ],1.5850229999632575,98.52551750000566,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,9,12,test item,1-1,resized_A_A100.png,Ruderer,162,resized_B_B155.png,Messer,16,resized_B_C01.png,Kaninchen,9,resized_A_B55.png,Schlange,6,resized_A_A179.png,Drachen,4,resized_A_A100.png,Ruderer,7,resized_A_A166.png,Pyramide,1,8.33,31.76,5.68,3.72,3.18,2.93,3.14,2.52,3.22,0.16,0.699,LF,None,None,None,None,3,7,nn,0.768457426,0.907433769,0,11,11,11,98.67056050000247,,,,,,100.52643740002532,1,7,[0.01083333 0.01      ],1.7015580000006594,102.74584320001304,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,1,13,test item,2-1,resized_A_A76.png,Mauer,147,resized_B_A147.png,Hund,13,resized_B_A197.png,Hirsch,7,resized_B_B177.png,Schloss,2,resized_A_A76.png,Mauer,4,resized_B_A181.png,Wolf,10,resized_A_B20.png,Kerze,12,9.41,14.12,5.6,2.72,2.61,2.36,2.69,2.59,2.44,16.89,2.63,HF,-0.5,2.78,5.64,3.53,2,5,nn,27.26388845,44.11272626,0,12,12,12,102.88972680002917,,,,,,104.76322369999252,1,4,[0.21916667 0.2425    ],1.868832600011956,107.06627230002778,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,1,14,test item,1-1,resized_B_B177.png,Schloss,132,resized_B_A147.png,Hund,13,resized_B_A197.png,Hirsch,7,resized_B_B177.png,Schloss,2,resized_A_A76.png,Mauer,4,resized_B_A181.png,Wolf,10,resized_A_B20.png,Kerze,12,25,32.14,4.02,3.43,2.93,3.07,3.36,2.43,3,46.3,3.071,HF,None,None,None,None,1,7,nn,0.989184559,53.18706395,0,13,13,13,107.2054850999848,,,,,,109.06698479998158,1,2,[-0.1     0.2725],3.253110599995125,112.85444720002124,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,14,15,test item,2-1,resized_B_A123.png,Tänzer,174,resized_A_B54.png,Telefon,1,resized_A_A148.png,Giraffe,13,resized_A_B150.png,Rakete,8,resized_A_B196.png,Fenster,12,resized_B_A176.png,Trophäe,10,resized_B_A123.png,Tänzer,3,8.33,23.81,5.5,3.68,2.71,3.36,3.86,2,3.29,6.06,2.19,LF,None,None,None,None,2,6,nn,3.973088392,4.700670423,0,14,14,14,113.00281899998663,,,,,,114.87182920001214,1,3,[0.09       0.29083333],1.6185837999801151,116.95789349998813,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,14,16,test item,1-1,resized_A_B150.png,Rakete,134,resized_A_B54.png,Telefon,1,resized_A_A148.png,Giraffe,13,resized_A_B150.png,Rakete,8,resized_A_B196.png,Fenster,12,resized_B_A176.png,Trophäe,10,resized_B_A123.png,Tänzer,3,28.92,30.59,4.48,2.93,2.61,3.14,3.14,2.41,2.59,16.02,2.61,HF,-0.6,3.47,6.67,4.87,3,6,nn,3.507108889,12.47517055,0,15,15,15,117.09619640000165,,,,,,118.9586412999779,1,8,[0.24916667 0.05583333],1.8520452000084333,121.26149790000636,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,4,17,test item,2-1,resized_B_B143.png,Tanne,175,resized_A_A141.png,Pferd,2,resized_A_B78.png,Pfeil,9,resized_B_A77.png,Hang,15,resized_A_B139.png,Trichter,16,resized_B_B143.png,Tanne,8,resized_B_A54.png,Flamme,3,22.62,26.19,4.2,3.75,3.07,2.54,3.21,2.25,2.96,0.43,1.08,LF,1.25,1.6,5.73,4.3,2,5,nn,1.177211375,3.507108889,0,16,16,16,121.40255509997951,,,,,,123.26230070000747,1,8,[0.275      0.08416667],2.5358461000141688,126.33253720001085,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,4,18,test item,1-1,resized_B_A77.png,Hang,161,resized_A_A141.png,Pferd,2,resized_A_B78.png,Pfeil,9,resized_B_A77.png,Hang,15,resized_A_B139.png,Trichter,16,resized_B_B143.png,Tanne,8,resized_B_A54.png,Flamme,3,19.28,21.43,5.19,3.26,3,2.14,2.93,2.89,2.61,2.8,1.86,LF,None,None,None,None,1,4,nn,7.365746175,11.15898283,0,17,17,17,126.47077950002858,,,,,,128.3332087000017,1,15,[ 0.06916667 -0.19916667],2.3190314000239596,131.203179300006,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,8,19,test item,1-1,resized_B_A153.png,Schwein,131,resized_A_A93.png,Haus,14,resized_A_A139.png,Gans,2,resized_B_A153.png,Schwein,1,resized_B_A36.png,Stern,15,resized_A_B199.png,Fisch,5,resized_A_B32.png,Kamin,7,28.57,45.24,3.8,3.18,2.86,2.54,2.75,1.89,3.29,62.09,3.2,HF,0.59,2.77,5.95,2.81,1,7,nn,7.995227258,18.36122743,0,18,18,18,131.34920360002434,,,,,,133.22119010001188,1,1,[-0.25416667  0.26166667],1.951479300041683,135.65699629997835,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,8,20,test item,2-1,resized_A_B199.png,Fisch,148,resized_A_A93.png,Haus,14,resized_A_A139.png,Gans,2,resized_B_A153.png,Schwein,1,resized_B_A36.png,Stern,15,resized_A_B199.png,Fisch,5,resized_A_B32.png,Kamin,7,20.48,24.71,5.03,2.48,2.46,2.71,3.03,2.38,2.68,42.72,3.04,HF,0.36,2.36,5.86,2.76,1,5,nn,16.26023212,42.6575622,0,19,19,19,135.8064471000107,,,,,,137.65772509999806,1,5,[-0.2425  0.0725],2.752835999999661,140.94474920001812,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,13,21,test item,2-1,resized_A_A52.png,Stein,149,resized_A_B109.png,Boot,4,resized_B_B70.png,Quadrat,8,resized_B_B24.png,Baby,9,resized_A_A52.png,Stein,14,resized_B_B167.png,Fliege,16,resized_A_B43.png,Parfüm,3,4.71,5.88,5.95,2.55,2.21,3.04,2.28,2.41,1.89,43.86,3.05,HF,0.23,2,5.5,2.58,1,5,nn,37.40098641,66.14456416,0,20,20,20,141.0884003000101,,,,,,142.94554480002262,1,14,[-0.06166667 -0.23083333],3.002983000013046,146.73311349999858,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,13,22,test item,1-1,resized_A_B43.png,Parfüm,157,resized_A_B109.png,Boot,4,resized_B_B70.png,Quadrat,8,resized_B_B24.png,Baby,9,resized_A_A52.png,Stein,14,resized_B_B167.png,Fliege,16,resized_A_B43.png,Parfüm,3,14.29,18.82,5.36,2.62,2.54,2.96,3.38,2.59,2.71,5.59,2.16,LF,1.77,3,4.41,6.56,2,6,nn,2.354422751,3.057479545,0,21,21,21,146.87271680001868,,,,,,148.73375960002886,1,3,[0.06       0.24083333],3.3865975000080653,152.93816219997825,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,2,23,test item,1-1,resized_B_B180.png,Geist,129,resized_B_A156.png,Bär,15,resized_B_A132.png,Ente,3,resized_B_B180.png,Geist,4,resized_B_A33.png,Roboter,16,resized_B_A11.png,Medaille,14,resized_A_B39.png,Sessel,1,26.19,38.1,4.73,3.43,2.89,2.68,3,2.57,2.59,77.01,3.29,HF,1.1,2.83,4,6.22,1,5,nn,99.6787382,173.1808735,0,22,22,22,153.07619609998073,,,,,,154.93900930002565,1,4,[0.25083333 0.24916667],2.602511400007643,158.27552189998096,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,2,24,test item,2-1,resized_A_B39.png,Sessel,172,resized_B_A156.png,Bär,15,resized_B_A132.png,Ente,3,resized_B_B180.png,Geist,4,resized_B_A33.png,Roboter,16,resized_B_A11.png,Medaille,14,resized_A_B39.png,Sessel,1,11.9,12.94,5.47,3.1,2.79,2.89,3.17,2.17,2.75,4.61,2.07,LF,1.4,1.78,5.82,3.23,2,6,nn,15.00126996,17.24941668,0,23,23,23,158.41585930000292,,,,,,160.27679299999727,1,1,[-0.255   0.2875],2.0857353000319563,162.96334670000942,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,11,25,test item,2-1,resized_B_A129.png,Huhn,146,resized_B_A03.png,Kleid,15,resized_B_A142.png,Reiter,9,resized_B_A188.png,Tür,12,resized_B_A129.png,Huhn,8,resized_B_B49.png,Magnet,5,resized_B_A70.png,Brunnen,14,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,24,24,24,163.10693449998507,,,,,,164.96413340000436,1,8,[0.26833333 0.08083333],2.002012500015553,167.70026239997242,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,11,26,test item,1-1,resized_B_B49.png,Magnet,163,resized_B_A03.png,Kleid,15,resized_B_A142.png,Reiter,9,resized_B_A188.png,Tür,12,resized_B_A129.png,Huhn,8,resized_B_B49.png,Magnet,5,resized_B_A70.png,Brunnen,14,15.48,15.48,4.88,2.93,3.11,1.89,2.93,2.79,3.11,1.5,1.591,LF,0.6,2.21,6.22,6.74,2,6,nn,1.119985822,3.000253992,0,25,25,25,167.84093389997724,,,,,,169.70144879998406,1,5,[-0.24333333  0.06666667],1.7686700000194833,171.93710370000917,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,6,27,test item,2-1,resized_B_B193.png,Auge,145,resized_B_A68.png,Lampe,15,resized_B_B19.png,Krawatte,13,resized_A_A04.png,Baum,3,resized_B_B193.png,Auge,12,resized_A_A74.png,Rubin,7,resized_A_A151.png,Fuchs,14,3.61,10.71,5.94,2.68,2.29,2.68,3.39,2.89,2.07,92.05,3.37,HF,1.12,2.06,6.65,2.69,2,4,nn,77.94937823,392.1258391,0,26,26,26,172.10743989999173,,,,,,173.93831489997683,1,12,[ 0.27       -0.08083333],1.8349071000120603,176.2411846999894,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,6,28,test item,1-1,resized_A_A04.png,Baum,130,resized_B_A68.png,Lampe,15,resized_B_B19.png,Krawatte,13,resized_A_A04.png,Baum,3,resized_B_B193.png,Auge,12,resized_A_A74.png,Rubin,7,resized_A_A151.png,Fuchs,14,20.73,40,4.8,2.9,2.68,2.57,3.24,2.34,2.56,40.24,3.01,HF,1.5,1.5,6.67,2.85,1,4,nn,26.37280484,74.55672044,0,27,27,27,176.41324710001936,,,,,,178.258643499983,0,15,[ 0.08916667 -0.225     ],2.752719199983403,183.59695550001925,1,3,[0.085      0.26416667],4.554401500034146,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.62163619999774,193.6040749999811,,,,,,,,,
