study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,152.0,3,B_A,3.0,1.0,training,4,A,1,1,test item,2-2,resized_B_B167.png,Fliege,151,resized_B_A187.png,Brücke,9,resized_B_A132.png,Ente,4,resized_B_B180.png,Geist,8,resized_B_A188.png,Tür,3,resized_B_B167.png,Fliege,12,resized_A_B39.png,Sessel,10,11.9,15.48,5.7,2.61,2.39,3.25,3.61,2.57,2.29,23.19,2.77,HF,-0.95,2.16,6.14,None,2,6,nn,4.332791868,12.70407276,0,0,0,0,35.851642600027844,,0.0010421001352369785,10.065766599960625,10.065775400027633,33.64240820007399,37.629055600147694,1,12,[ 0.325      -0.06166667],3.6536505001131445,42.01665950007737,,,152,A,4,2025-05-05_17h02.16.501,task,2023.2.2,59.523419802973066,2025-05-05 17h02.32.608883 +0200,
LEALCO-EEG,152.0,3,B_A,3.0,1.0,training,4,A,1,2,test item,1-2,resized_B_A188.png,Tür,141,resized_B_A187.png,Brücke,9,resized_B_A132.png,Ente,4,resized_B_B180.png,Geist,8,resized_B_A188.png,Tür,3,resized_B_B167.png,Fliege,12,resized_A_B39.png,Sessel,10,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,1,1,1,42.15836240001954,,,,,,44.01770079997368,1,3,[0.07083333 0.21666667],3.5529849000740796,48.28867959999479,,,152,A,4,2025-05-05_17h02.16.501,task,2023.2.2,59.523419802973066,2025-05-05 17h02.32.608883 +0200,
LEALCO-EEG,152.0,3,B_A,3.0,1.0,training,4,A,7,3,test item,1-2,resized_B_A176.png,Trophäe,164,resized_A_B192.png,Katze,11,resized_A_A02.png,Mühle,9,resized_A_B150.png,Rakete,7,resized_B_A23.png,Flasche,13,resized_B_A176.png,Trophäe,10,resized_B_A123.png,Tänzer,12,13.1,13.1,5.4,2.82,2.18,3.54,3.04,2.82,1.89,2.56,1.82,LF,None,None,None,None,2,7,nn,0.580430609,1.087285506,0,2,2,2,48.440603099996224,,,,,,50.30638750013895,1,10,[-0.03583333 -0.03166667],2.9027233000379056,53.97675330005586,,,152,A,4,2025-05-05_17h02.16.501,task,2023.2.2,59.523419802973066,2025-05-05 17h02.32.608883 +0200,
LEALCO-EEG,152.0,3,B_A,3.0,1.0,training,4,A,7,4,test item,2-2,resized_B_A23.png,Flasche,153,resized_A_B192.png,Katze,11,resized_A_A02.png,Mühle,9,resized_A_B150.png,Rakete,7,resized_B_A23.png,Flasche,13,resized_B_A176.png,Trophäe,10,resized_B_A123.png,Tänzer,12,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,3,3,3,54.11543050012551,,,,,,55.97773990011774,1,13,[-0.23083333 -0.235     ],2.2183654999826103,58.74744180007838,,,152,A,4,2025-05-05_17h02.16.501,task,2023.2.2,59.523419802973066,2025-05-05 17h02.32.608883 +0200,
LEALCO-EEG,152.0,3,B_A,3.0,1.0,training,4,A,4,5,test item,1-2,resized_A_A74.png,Rubin,165,resized_A_A141.png,Pferd,2,resized_A_A148.png,Giraffe,11,resized_A_A179.png,Drachen,7,resized_A_A100.png,Ruderer,6,resized_A_A74.png,Rubin,10,resized_A_A122.png,Sturz,12,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,4,4,4,58.89876620005816,,,,,,60.76523609994911,1,10,[-0.03833333 -0.02916667],2.118610499892384,63.58478399994783,,,152,A,4,2025-05-05_17h02.16.501,task,2023.2.2,59.523419802973066,2025-05-05 17h02.32.608883 +0200,
LEALCO-EEG,152.0,3,B_A,3.0,1.0,training,4,A,4,6,test item,2-2,resized_A_A179.png,Drachen,150,resized_A_A141.png,Pferd,2,resized_A_A148.png,Giraffe,11,resized_A_A179.png,Drachen,7,resized_A_A100.png,Ruderer,6,resized_A_A74.png,Rubin,10,resized_A_A122.png,Sturz,12,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,5,5,5,63.73351559997536,,,,,,65.60250720009208,1,7,[0.06   0.0625],2.6691650999709964,68.85552620003,,,152,A,4,2025-05-05_17h02.16.501,task,2023.2.2,59.523419802973066,2025-05-05 17h02.32.608883 +0200,
LEALCO-EEG,152.0,3,B_A,3.0,1.0,training,4,A,14,7,test item,1-2,resized_B_A36.png,Stern,140,resized_B_A156.png,Bär,16,resized_B_A142.png,Reiter,13,resized_B_A36.png,Stern,1,resized_A_B08.png,Person,5,resized_B_B49.png,Magnet,3,resized_B_B143.png,Tanne,7,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,6,6,6,69.00207530008629,,,,,,70.87372929998673,1,1,[-0.21        0.26916667],2.4855476999655366,73.84310790011659,,,152,A,4,2025-05-05_17h02.16.501,task,2023.2.2,59.523419802973066,2025-05-05 17h02.32.608883 +0200,
LEALCO-EEG,152.0,3,B_A,3.0,1.0,training,4,A,14,8,test item,2-2,resized_A_B08.png,Person,154,resized_B_A156.png,Bär,16,resized_B_A142.png,Reiter,13,resized_B_A36.png,Stern,1,resized_A_B08.png,Person,5,resized_B_B49.png,Magnet,3,resized_B_B143.png,Tanne,7,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,7,7,7,73.99300929997116,,,,,,75.86119840014726,1,5,[-0.2475      0.04916667],2.568976799957454,78.99784920015372,,,152,A,4,2025-05-05_17h02.16.501,task,2023.2.2,59.523419802973066,2025-05-05 17h02.32.608883 +0200,
LEALCO-EEG,152.0,3,B_A,3.0,1.0,training,4,A,13,9,test item,2-2,resized_A_B196.png,Fenster,152,resized_A_B157.png,Hammer,8,resized_B_B175.png,Propeller,12,resized_B_A153.png,Schwein,1,resized_B_A185.png,Gesicht,2,resized_B_A129.png,Huhn,3,resized_A_B196.png,Fenster,4,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,8,8,8,79.14402530016378,,,,,,80.99895240017213,1,4,[0.26083333 0.19916667],2.6023532999679446,84.16885070013814,,,152,A,4,2025-05-05_17h02.16.501,task,2023.2.2,59.523419802973066,2025-05-05 17h02.32.608883 +0200,
LEALCO-EEG,152.0,3,B_A,3.0,1.0,training,4,A,13,10,test item,1-2,resized_B_A185.png,Gesicht,138,resized_A_B157.png,Hammer,8,resized_B_B175.png,Propeller,12,resized_B_A153.png,Schwein,1,resized_B_A185.png,Gesicht,2,resized_B_A129.png,Huhn,3,resized_A_B196.png,Fenster,4,14.46,34.52,5.44,3.5,2.39,3.57,3.32,2.39,2.89,195.05,3.695,HF,1,2.67,6,3.79,2,7,nn,196.2591215,239.1537609,0,9,9,9,84.31620120001025,,,,,,86.18659360008314,1,2,[-0.06166667  0.22166667],2.285013400018215,89.0897002001293,,,152,A,4,2025-05-05_17h02.16.501,task,2023.2.2,59.523419802973066,2025-05-05 17h02.32.608883 +0200,
