study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,3,B,4,1,test item,1-1,resized_B_A06.png,Hut,135,resized_B_A147.png,Hund,7,resized_A_A148.png,Giraffe,12,resized_B_A06.png,Hut,10,resized_A_B55.png,Schlange,5,resized_A_B139.png,Trichter,11,resized_A_B32.png,Kamin,4,25,30.95,4.37,3.43,3.07,2.11,3.25,2.14,3.15,45.91,3.067,HF,None,None,None,4,1,3,nn,33.34614722,41.24327353,0,0,0,0,65.25622770003974,,0.0010142000392079353,10.064229300012812,10.064237899961881,63.04917320003733,67.03576899995096,1,10,[-0.0525     -0.07666667],2.018958800006658,69.65545730001759,,,112,B,3,2024-10-29_10h25.02.585,task,2023.2.2,60.31985202510537,2024-10-29 10h25.11.711810 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,3,B,4,2,test item,2-1,resized_A_B55.png,Schlange,143,resized_B_A147.png,Hund,7,resized_A_A148.png,Giraffe,12,resized_B_A06.png,Hut,10,resized_A_B55.png,Schlange,5,resized_A_B139.png,Trichter,11,resized_A_B32.png,Kamin,4,15.29,15.29,4.53,3.17,2.96,1.93,2.62,1.83,2.46,29.84,2.88,HF,None,None,None,None,2,8,nn,8.829085316,13.96303493,0,1,1,1,69.80543529998977,,,,,,71.67301729996689,1,5,[-0.29166667  0.04083333],1.6846935999346897,73.94238130003214,,,112,B,3,2024-10-29_10h25.02.585,task,2023.2.2,60.31985202510537,2024-10-29 10h25.11.711810 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,3,B,14,3,test item,1-1,resized_A_A100.png,Ruderer,162,resized_A_A134.png,Vogel,11,resized_B_B70.png,Quadrat,10,resized_B_B193.png,Auge,15,resized_B_B167.png,Fliege,7,resized_A_A100.png,Ruderer,9,resized_A_A166.png,Pyramide,13,8.33,31.76,5.68,3.72,3.18,2.93,3.14,2.52,3.22,0.16,0.699,LF,None,None,None,None,3,7,nn,0.768457426,0.907433769,0,2,2,2,74.09496360004414,,,,,,75.94325719994958,1,9,[-0.20166667 -0.10583333],1.651691700099036,78.21257850003894,,,112,B,3,2024-10-29_10h25.02.585,task,2023.2.2,60.31985202510537,2024-10-29 10h25.11.711810 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,3,B,14,4,test item,2-1,resized_B_B193.png,Auge,145,resized_A_A134.png,Vogel,11,resized_B_B70.png,Quadrat,10,resized_B_B193.png,Auge,15,resized_B_B167.png,Fliege,7,resized_A_A100.png,Ruderer,9,resized_A_A166.png,Pyramide,13,3.61,10.71,5.94,2.68,2.29,2.68,3.39,2.89,2.07,92.05,3.37,HF,1.12,2.06,6.65,2.69,2,4,nn,77.94937823,392.1258391,0,3,3,3,78.38744570000563,,,,,,80.21356259996537,1,15,[ 0.12333333 -0.2575    ],1.934696999960579,82.85000840004068,,,112,B,3,2024-10-29_10h25.02.585,task,2023.2.2,60.31985202510537,2024-10-29 10h25.11.711810 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,3,B,7,5,test item,2-1,resized_B_A37.png,Tasse,144,resized_B_B155.png,Messer,2,resized_B_A140.png,Flamingo,16,resized_B_B180.png,Geist,7,resized_B_A37.png,Tasse,12,resized_A_B15.png,Schwangere,15,resized_B_B206.png,Axt,8,10.84,13.1,5.55,2.61,2.36,2.32,2.93,2.68,2.29,18.43,2.67,HF,0.73,1.82,6,3.24,2,5,nn,11.19985822,15.65527628,0,4,4,4,82.98943850002252,,,,,,84.85076840000693,1,12,[ 0.28       -0.08916667],2.2022774000652134,87.63725809997413,,,112,B,3,2024-10-29_10h25.02.585,task,2023.2.2,60.31985202510537,2024-10-29 10h25.11.711810 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,3,B,7,6,test item,1-1,resized_B_B180.png,Geist,129,resized_B_B155.png,Messer,2,resized_B_A140.png,Flamingo,16,resized_B_B180.png,Geist,7,resized_B_A37.png,Tasse,12,resized_A_B15.png,Schwangere,15,resized_B_B206.png,Axt,8,26.19,38.1,4.73,3.43,2.89,2.68,3,2.57,2.59,77.01,3.29,HF,1.1,2.83,4,6.22,1,5,nn,99.6787382,173.1808735,0,5,5,5,87.77735560003202,,,,,,89.63820940000005,1,7,[0.08  0.045],3.553090700064786,93.74259959999472,,,112,B,3,2024-10-29_10h25.02.585,task,2023.2.2,60.31985202510537,2024-10-29 10h25.11.711810 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,3,B,3,7,test item,2-1,resized_A_A52.png,Stein,149,resized_B_A156.png,Bär,7,resized_B_A142.png,Reiter,11,resized_A_B150.png,Rakete,1,resized_A_A52.png,Stein,8,resized_A_A74.png,Rubin,2,resized_A_A151.png,Fuchs,6,4.71,5.88,5.95,2.55,2.21,3.04,2.28,2.41,1.89,43.86,3.05,HF,0.23,2,5.5,2.58,1,5,nn,37.40098641,66.14456416,0,6,6,6,93.8898425999796,,,,,,95.75998640002217,1,8,[0.23166667 0.06416667],2.1855489999288693,98.4464923000196,,,112,B,3,2024-10-29_10h25.02.585,task,2023.2.2,60.31985202510537,2024-10-29 10h25.11.711810 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,3,B,3,8,test item,1-1,resized_A_B150.png,Rakete,134,resized_B_A156.png,Bär,7,resized_B_A142.png,Reiter,11,resized_A_B150.png,Rakete,1,resized_A_A52.png,Stein,8,resized_A_A74.png,Rubin,2,resized_A_A151.png,Fuchs,6,28.92,30.59,4.48,2.93,2.61,3.14,3.14,2.41,2.59,16.02,2.61,HF,-0.6,3.47,6.67,4.87,3,6,nn,3.507108889,12.47517055,0,7,7,7,98.58703269995749,,,,,,100.44726189994253,1,1,[-0.2475  0.2275],1.901343800011091,102.96675759996288,,,112,B,3,2024-10-29_10h25.02.585,task,2023.2.2,60.31985202510537,2024-10-29 10h25.11.711810 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,3,B,10,9,test item,2-1,resized_B_A129.png,Huhn,146,resized_A_B54.png,Telefon,3,resized_A_A139.png,Gans,8,resized_B_A129.png,Huhn,16,resized_A_B196.png,Fenster,14,resized_B_A43.png,Blatt,1,resized_B_A11.png,Medaille,11,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,8,8,8,103.11933959997259,,,,,,104.98472139996011,1,16,[ 0.275      -0.28666667],2.168460899963975,107.68748490000144,,,112,B,3,2024-10-29_10h25.02.585,task,2023.2.2,60.31985202510537,2024-10-29 10h25.11.711810 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,3,B,10,10,test item,1-1,resized_B_A43.png,Blatt,159,resized_A_B54.png,Telefon,3,resized_A_A139.png,Gans,8,resized_B_A129.png,Huhn,16,resized_A_B196.png,Fenster,14,resized_B_A43.png,Blatt,1,resized_B_A11.png,Medaille,11,6.1,8.33,5.82,2.81,2.25,2.46,2.58,2.96,2.21,12.17,2.49,LF,None,None,None,None,1,5,nn,33.92657783,93.25312611,0,9,9,9,107.83251279999968,,,,,,109.70495259994641,1,1,[-0.30166667  0.24916667],1.6685560999903828,112.20757239998784,,,112,B,3,2024-10-29_10h25.02.585,task,2023.2.2,60.31985202510537,2024-10-29 10h25.11.711810 +0100,
