study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,13,1,test item,1-2,resized_B_A176.png,Trophäe,164,resized_A_B109.png,Boot,4,resized_B_C01.png,Kaninchen,10,resized_A_B55.png,Schlange,13,resized_A_A100.png,Ruderer,7,resized_B_A176.png,Trophäe,11,resized_A_A151.png,Fuchs,9,13.1,13.1,5.4,2.82,2.18,3.54,3.04,2.82,1.89,2.56,1.82,LF,None,None,None,None,2,7,nn,0.580430609,1.087285506,0,0,0,0,62.58949640003266,,0.0011136999819427729,10.067887099983636,10.067895199987106,60.37922459997935,64.36676439997973,1,11,[ 0.13583333 -0.075     ],2.4870552999782376,67.4197449000203,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,13,2,test item,2-2,resized_A_A151.png,Fuchs,181,resized_A_B109.png,Boot,4,resized_B_C01.png,Kaninchen,10,resized_A_B55.png,Schlange,13,resized_A_A100.png,Ruderer,7,resized_B_A176.png,Trophäe,11,resized_A_A151.png,Fuchs,9,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,1,1,1,67.56521760002943,,,,,,69.43759009998757,1,9,[-0.215 -0.08 ],12.144338299985975,83.90069759998005,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,3,3,test item,2-2,resized_A_B32.png,Kamin,184,resized_B_A147.png,Hund,7,resized_A_A02.png,Mühle,15,resized_B_A129.png,Huhn,16,resized_B_A43.png,Blatt,14,resized_A_A74.png,Rubin,8,resized_A_B32.png,Kamin,1,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,2,2,2,84.04572260001441,,,,,,85.91828149999492,1,1,[-0.22833333  0.2175    ],2.4694741999846883,89.07170540001243,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,3,4,test item,1-2,resized_A_A74.png,Rubin,165,resized_B_A147.png,Hund,7,resized_A_A02.png,Mühle,15,resized_B_A129.png,Huhn,16,resized_B_A43.png,Blatt,14,resized_A_A74.png,Rubin,8,resized_A_B32.png,Kamin,1,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,3,3,3,89.21516369999154,,,,,,91.07255470001837,1,8,[0.21166667 0.07583333],2.0023024000111036,93.7423492000089,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,2,5,test item,2-2,resized_B_A70.png,Brunnen,183,resized_A_A90.png,Fabrik,6,resized_B_B19.png,Krawatte,5,resized_B_A153.png,Schwein,16,resized_A_B139.png,Trichter,2,resized_B_A123.png,Tänzer,9,resized_B_A70.png,Brunnen,8,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,4,4,4,93.89065459999256,,,,,,95.75990270002512,1,8,[0.23166667 0.08666667],3.503522199986037,100.09807310003089,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,2,6,test item,1-2,resized_A_B139.png,Trichter,169,resized_A_A90.png,Fabrik,6,resized_B_B19.png,Krawatte,5,resized_B_A153.png,Schwein,16,resized_A_B139.png,Trichter,2,resized_B_A123.png,Tänzer,9,resized_B_A70.png,Brunnen,8,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,5,5,5,100.23719870002242,,,,,,102.09851699997671,1,2,[-0.05083333  0.18833333],1.8684603000292554,104.56772440002533,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,5,7,test item,1-2,resized_A_B20.png,Kerze,168,resized_A_B54.png,Telefon,15,resized_A_A139.png,Gans,8,resized_A_B08.png,Person,16,resized_B_A20.png,Grill,11,resized_A_B20.png,Kerze,10,resized_A_B194.png,Raute,6,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,6,6,6,104.69653850002214,,,,,,106.56897480000043,1,10,[-0.10083333 -0.07916667],2.0187306000152603,109.15526869997848,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,5,8,test item,2-2,resized_A_B08.png,Person,154,resized_A_B54.png,Telefon,15,resized_A_A139.png,Gans,8,resized_A_B08.png,Person,16,resized_B_A20.png,Grill,11,resized_A_B20.png,Kerze,10,resized_A_B194.png,Raute,6,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,7,7,7,109.29521750001004,,,,,,111.15622280002572,1,16,[ 0.22083333 -0.20666667],3.319809299951885,114.96022660000017,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,7,9,test item,1-2,resized_A_B15.png,Schwangere,170,resized_B_A187.png,Brücke,2,resized_B_A197.png,Hirsch,8,resized_A_A52.png,Stein,15,resized_A_A179.png,Drachen,11,resized_B_A77.png,Hang,10,resized_A_B15.png,Schwangere,4,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,8,8,8,115.10411680000834,,,,,,116.96124000003329,1,4,[0.23333333 0.2475    ],1.8517819999833591,119.29749470000388,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,7,10,test item,2-2,resized_A_A179.png,Drachen,150,resized_B_A187.png,Brücke,2,resized_B_A197.png,Hirsch,8,resized_A_A52.png,Stein,15,resized_A_A179.png,Drachen,11,resized_B_A77.png,Hang,10,resized_A_B15.png,Schwangere,4,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,9,9,9,119.43896270002006,,,,,,121.2981178999762,1,11,[ 0.05916667 -0.04833333],2.4026201999513432,124.23492910002824,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,11,11,test item,2-2,resized_B_B164.png,kimono,182,resized_B_A68.png,Lampe,6,resized_A_B78.png,Pfeil,14,resized_A_B168.png,Frau,7,resized_B_B49.png,Magnet,5,resized_B_B143.png,Tanne,4,resized_B_B164.png,kimono,2,9.52,19.05,5.98,2.86,2.89,2.89,2.61,3.43,2.86,2.09,1.73,LF,None,None,None,None,3,6,nn,0.008175079,0.465979503,0,10,10,10,124.37536940001883,,,,,,126.235608100018,1,2,[-0.05333333  0.21      ],1.8690208999905735,128.65514009998878,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,11,12,test item,1-2,resized_A_B168.png,Frau,136,resized_B_A68.png,Lampe,6,resized_A_B78.png,Pfeil,14,resized_A_B168.png,Frau,7,resized_B_B49.png,Magnet,5,resized_B_B143.png,Tanne,4,resized_B_B164.png,kimono,2,9.41,28.24,5.66,3.45,2.64,3.07,3.69,1.93,2.71,857.36,4.34,HF,1.4,2.5,6.56,3.68,1,4,nn,472.6503672,625.2055164,0,11,11,11,128.80080770002678,,,,,,130.67266169999493,1,7,[0.0675 0.0425],1.818030499969609,132.94204200000968,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,1,13,test item,1-2,resized_B_A11.png,Medaille,167,resized_A_A93.png,Haus,11,resized_B_B70.png,Quadrat,8,resized_B_B180.png,Geist,4,resized_B_A181.png,Wolf,7,resized_B_A11.png,Medaille,12,resized_A_B39.png,Sessel,9,15.48,15.48,4.86,2.82,3.07,2.36,2.79,2.54,2.68,3.98,2.01,LF,1.6,2.89,6.22,5.57,3,8,nn,3.760536338,6.008683062,0,12,12,12,133.0925634999876,,,,,,134.9431296000257,1,12,[ 0.24666667 -0.07333333],2.8025162999983877,138.22986219997983,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,1,14,test item,2-2,resized_B_A181.png,Wolf,155,resized_A_A93.png,Haus,11,resized_B_B70.png,Quadrat,8,resized_B_B180.png,Geist,4,resized_B_A181.png,Wolf,7,resized_B_A11.png,Medaille,12,resized_A_B39.png,Sessel,9,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,13,13,13,138.3686289000325,,,,,,140.2307924000197,1,7,[0.065  0.0325],3.0028668000013568,143.80123859999003,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,12,15,test item,2-2,resized_B_A54.png,Flamme,178,resized_B_A03.png,Kleid,11,resized_B_A142.png,Reiter,5,resized_A_A04.png,Baum,10,resized_A_A166.png,Pyramide,8,resized_B_B152.png,Säge,14,resized_B_A54.png,Flamme,3,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,14,14,14,143.94773970003007,,,,,,145.81884379999246,1,3,[0.1125     0.23166667],7.340265999955591,153.7762897000066,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,12,16,test item,1-2,resized_A_A166.png,Pyramide,166,resized_B_A03.png,Kleid,11,resized_B_A142.png,Reiter,5,resized_A_A04.png,Baum,10,resized_A_A166.png,Pyramide,8,resized_B_B152.png,Säge,14,resized_B_A54.png,Flamme,3,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,15,15,15,153.9195189999882,,,,,,155.77713790000416,1,8,[0.26583333 0.09083333],2.168854099989403,158.46385629998986,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,8,17,test item,1-2,resized_B_B24.png,Baby,142,resized_A_B157.png,Hammer,7,resized_A_A148.png,Giraffe,13,resized_A_B150.png,Rakete,8,resized_B_B24.png,Baby,16,resized_B_B193.png,Auge,9,resized_B_B206.png,Axt,15,8.33,9.52,5.33,3.11,3.39,2.57,3.25,2.68,3.07,324.66,3.92,HF,1.9,2.83,6.78,3.38,2,4,nn,7.995227258,9.834620032,0,16,16,16,158.62143330002436,,,,,,160.4646013000165,1,16,[ 0.235      -0.22333333],2.3021320999832824,163.2510885000229,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,8,18,test item,2-2,resized_B_B206.png,Axt,179,resized_A_B157.png,Hammer,7,resized_A_A148.png,Giraffe,13,resized_A_B150.png,Rakete,8,resized_B_B24.png,Baby,16,resized_B_B193.png,Auge,9,resized_B_B206.png,Axt,15,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,17,17,17,163.41515860002255,,,,,,165.2684865000192,1,15,[ 0.11333333 -0.28583333],3.537090400001034,169.55637559999013,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,14,19,test item,2-2,resized_B_A23.png,Flasche,153,resized_B_A156.png,Bär,9,resized_B_A150.png,Känguru,7,resized_B_A185.png,Gesicht,5,resized_B_A23.png,Flasche,2,resized_A_B43.png,Parfüm,12,resized_A_A122.png,Sturz,15,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,18,18,18,169.70174140000017,,,,,,171.55706890003057,1,2,[-0.05916667  0.18916667],3.5035956999636255,175.67812549998052,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,14,20,test item,1-2,resized_B_A185.png,Gesicht,138,resized_B_A156.png,Bär,9,resized_B_A150.png,Känguru,7,resized_B_A185.png,Gesicht,5,resized_B_A23.png,Flasche,2,resized_A_B43.png,Parfüm,12,resized_A_A122.png,Sturz,15,14.46,34.52,5.44,3.5,2.39,3.57,3.32,2.39,2.89,195.05,3.695,HF,1,2.67,6,3.79,2,7,nn,196.2591215,239.1537609,0,19,19,19,175.82451639999636,,,,,,177.6956542999833,1,5,[-0.24166667  0.06      ],2.585790800047107,180.83250610000687,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,10,21,test item,2-2,resized_A_B196.png,Fenster,152,resized_B_B155.png,Messer,2,resized_B_A135.png,Kamel,14,resized_B_A36.png,Stern,16,resized_A_B196.png,Fenster,15,resized_A_B22.png,Kreisel,4,resized_A_A73.png,Klinge,12,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,20,20,20,180.9736619000323,,,,,,182.8335416999762,1,15,[ 0.09416667 -0.22416667],2.3188383000087924,185.6865686000092,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,10,22,test item,1-2,resized_B_A36.png,Stern,140,resized_B_B155.png,Messer,2,resized_B_A135.png,Kamel,14,resized_B_A36.png,Stern,16,resized_A_B196.png,Fenster,15,resized_A_B22.png,Kreisel,4,resized_A_A73.png,Klinge,12,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,21,21,21,185.82437550002942,,,,,,187.68775490002008,1,16,[ 0.24       -0.23916667],2.4022129999939352,190.74091310001677,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,9,23,test item,2-2,resized_A_B33.png,Zünder,180,resized_A_A134.png,Vogel,6,resized_B_B175.png,Propeller,2,resized_A_B56.png,Stuhl,11,resized_B_B73.png,Treppe,10,resized_A_B199.png,Fisch,8,resized_A_B33.png,Zünder,9,10.59,11.76,5.31,3.07,2.71,2.32,2.93,3,2.54,4.8,2.09,LF,None,None,None,None,2,6,nn,0.711231873,0.825682979,0,22,22,22,190.88496779999696,,,,,,192.75837390002562,1,9,[-0.3075     -0.08833333],1.61835990002146,194.97771880001528,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,9,24,test item,1-2,resized_B_B73.png,Treppe,137,resized_A_A134.png,Vogel,6,resized_B_B175.png,Propeller,2,resized_A_B56.png,Stuhl,11,resized_B_B73.png,Treppe,10,resized_A_B199.png,Fisch,8,resized_A_B33.png,Zünder,9,21.43,30.95,4.8,3.21,3.36,1.79,2.68,2.29,2.75,25,2.8,HF,0.05,2.36,5.95,3.25,2,6,nn,30.73829702,39.50198171,0,23,23,23,195.11277379997773,,,,,,196.97870620002504,1,10,[-0.15916667 -0.07833333],3.069360700028483,200.5325319999829,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,6,25,test item,2-2,resized_B_B167.png,Fliege,151,resized_A_A141.png,Pferd,2,resized_B_A140.png,Flamingo,16,resized_B_A06.png,Hut,12,resized_A_A113.png,Engel,3,resized_B_A37.png,Tasse,11,resized_B_B167.png,Fliege,14,11.9,15.48,5.7,2.61,2.39,3.25,3.61,2.57,2.29,23.19,2.77,HF,-0.95,2.16,6.14,None,2,6,nn,4.332791868,12.70407276,0,24,24,24,200.67702280002413,,,,,,202.53327190002892,1,14,[-0.1025     -0.25083333],2.736252000031527,205.9369850999792,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
LEALCO-EEG,115.0,1,B-A,3.0,1.0,training,4,A,6,26,test item,1-2,resized_A_A113.png,Engel,139,resized_A_A141.png,Pferd,2,resized_B_A140.png,Flamingo,16,resized_B_A06.png,Hut,12,resized_A_A113.png,Engel,3,resized_B_A37.png,Tasse,11,resized_B_B167.png,Fliege,14,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,25,25,25,206.08065369998803,,,,,,207.93803209997714,1,3,[0.08083333 0.2675    ],5.004428400017787,213.543471699988,,,,,,,115,A,4,2024-11-04_11h10.09.255,task,2023.2.2,59.82575151261093,2024-11-04 11h10.17.024995 +0100,
