study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,closing_screen.started,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,2,A,14,1,test item,1-1,resized_A_B43.png,Parfüm,157,resized_B_A03.png,Kleid,14,resized_A_A02.png,Mühle,9,resized_B_A129.png,Huhn,15,resized_A_B196.png,Fenster,4,resized_A_B43.png,Parfüm,12,resized_B_A11.png,Medaille,3,14.29,18.82,5.36,2.62,2.54,2.96,3.38,2.59,2.71,5.59,2.16,LF,1.77,3,4.41,6.56,2,6,nn,2.354422751,3.057479545,0,0,0,0,38.48345529998187,,0.0011259999591857195,10.06955969997216,10.069568199978676,36.27565979998326,40.26242469996214,1,12,[ 0.25416667 -0.04583333],1.769426500017289,42.581832799944095,,,,,,110,A,2,2024-10-24_10h01.02.724,task,2023.2.2,59.968324747982564,2024-10-24 10h01.11.828096 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,2,A,14,2,test item,2-1,resized_B_A129.png,Huhn,146,resized_B_A03.png,Kleid,14,resized_A_A02.png,Mühle,9,resized_B_A129.png,Huhn,15,resized_A_B196.png,Fenster,4,resized_A_B43.png,Parfüm,12,resized_B_A11.png,Medaille,3,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,1,1,1,42.72877279995009,,,,,,44.59933449997334,1,15,[ 0.03666667 -0.1875    ],2.052132500044536,47.28589679999277,,,,,,110,A,2,2024-10-24_10h01.02.724,task,2023.2.2,59.968324747982564,2024-10-24 10h01.11.828096 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,2,A,12,3,test item,1-1,resized_B_B180.png,Geist,129,resized_A_B157.png,Hammer,7,resized_B_A140.png,Flamingo,9,resized_B_B180.png,Geist,10,resized_B_A36.png,Stern,15,resized_B_A123.png,Tänzer,8,resized_B_A70.png,Brunnen,11,26.19,38.1,4.73,3.43,2.89,2.68,3,2.57,2.59,77.01,3.29,HF,1.1,2.83,4,6.22,1,5,nn,99.6787382,173.1808735,0,2,2,2,47.42779259994859,,,,,,49.287231599970255,1,10,[-0.0375 -0.0525],1.4677273000124842,51.38927879999392,,,,,,110,A,2,2024-10-24_10h01.02.724,task,2023.2.2,59.968324747982564,2024-10-24 10h01.11.828096 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,2,A,12,4,test item,2-1,resized_B_A123.png,Tänzer,174,resized_A_B157.png,Hammer,7,resized_B_A140.png,Flamingo,9,resized_B_B180.png,Geist,10,resized_B_A36.png,Stern,15,resized_B_A123.png,Tänzer,8,resized_B_A70.png,Brunnen,11,8.33,23.81,5.5,3.68,2.71,3.36,3.86,2,3.29,6.06,2.19,LF,None,None,None,None,2,6,nn,3.973088392,4.700670423,0,3,3,3,51.53431919997092,,,,,,53.406759099976625,1,8,[0.26916667 0.0975    ],2.2690921999746934,56.3769375999691,,,,,,110,A,2,2024-10-24_10h01.02.724,task,2023.2.2,59.968324747982564,2024-10-24 10h01.11.828096 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,2,A,8,5,test item,1-1,resized_B_B49.png,Magnet,163,resized_B_A156.png,Bär,13,resized_B_A142.png,Reiter,4,resized_B_B24.png,Baby,2,resized_A_B55.png,Schlange,3,resized_A_B08.png,Person,8,resized_B_B49.png,Magnet,14,15.48,15.48,4.88,2.93,3.11,1.89,2.93,2.79,3.11,1.5,1.591,LF,0.6,2.21,6.22,6.74,2,6,nn,1.119985822,3.000253992,0,4,4,4,56.53521499998169,,,,,,58.39428109995788,1,14,[-0.10666667 -0.21416667],2.0517270999844186,60.98071189998882,,,,,,110,A,2,2024-10-24_10h01.02.724,task,2023.2.2,59.968324747982564,2024-10-24 10h01.11.828096 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,2,A,8,6,test item,2-1,resized_A_B55.png,Schlange,143,resized_B_A156.png,Bär,13,resized_B_A142.png,Reiter,4,resized_B_B24.png,Baby,2,resized_A_B55.png,Schlange,3,resized_A_B08.png,Person,8,resized_B_B49.png,Magnet,14,15.29,15.29,4.53,3.17,2.96,1.93,2.62,1.83,2.46,29.84,2.88,HF,None,None,None,None,2,8,nn,8.829085316,13.96303493,0,5,5,5,61.11799979995703,,,,,,62.981541999964975,1,3,[0.13916667 0.27666667],1.9854460000060499,65.51789979997557,,,,,,110,A,2,2024-10-24_10h01.02.724,task,2023.2.2,59.968324747982564,2024-10-24 10h01.11.828096 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,2,A,5,7,test item,1-1,resized_A_B150.png,Rakete,134,resized_B_A68.png,Lampe,1,resized_A_B78.png,Pfeil,6,resized_A_B150.png,Rakete,11,resized_B_A185.png,Gesicht,14,resized_B_A181.png,Wolf,12,resized_A_A73.png,Klinge,3,28.92,30.59,4.48,2.93,2.61,3.14,3.14,2.41,2.59,16.02,2.61,HF,-0.6,3.47,6.67,4.87,3,6,nn,3.507108889,12.47517055,0,6,6,6,65.65067089995136,,,,,,67.51864439999918,1,11,[ 0.04333333 -0.12166667],1.735220200032927,69.90488549997099,,,,,,110,A,2,2024-10-24_10h01.02.724,task,2023.2.2,59.968324747982564,2024-10-24 10h01.11.828096 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,2,A,5,8,test item,2-1,resized_A_A73.png,Klinge,177,resized_B_A68.png,Lampe,1,resized_A_B78.png,Pfeil,6,resized_A_B150.png,Rakete,11,resized_B_A185.png,Gesicht,14,resized_B_A181.png,Wolf,12,resized_A_A73.png,Klinge,3,7.23,12.94,5.75,2.83,3.25,1.96,2.9,2.41,2.82,10.79,2.44,LF,-1.3,3.68,5.14,6.37,2,6,nn,2.346247672,4.308266631,0,7,7,7,70.04413799999747,,,,,,71.9055974999792,1,3,[0.05666667 0.24833333],1.8525644000037573,74.3253754999605,,,,,,110,A,2,2024-10-24_10h01.02.724,task,2023.2.2,59.968324747982564,2024-10-24 10h01.11.828096 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,2,A,9,9,test item,2-1,resized_A_A52.png,Stein,149,resized_A_B192.png,Katze,10,resized_A_A148.png,Giraffe,11,resized_A_A113.png,Engel,9,resized_A_A52.png,Stein,5,resized_B_A77.png,Hang,6,resized_B_A54.png,Flamme,15,4.71,5.88,5.95,2.55,2.21,3.04,2.28,2.41,1.89,43.86,3.05,HF,0.23,2,5.5,2.58,1,5,nn,37.40098641,66.14456416,0,8,8,8,74.46981579996645,,,,,,76.34273979999125,0,15,[ 0.07333333 -0.22      ],2.3191524000139907,80.86413069994887,1,5,[-0.24166667  0.07166667],3.8705246000317857,,110,A,2,2024-10-24_10h01.02.724,task,2023.2.2,59.968324747982564,2024-10-24 10h01.11.828096 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,2,A,9,10,test item,1-1,resized_B_A77.png,Hang,161,resized_A_B192.png,Katze,10,resized_A_A148.png,Giraffe,11,resized_A_A113.png,Engel,9,resized_A_A52.png,Stein,5,resized_B_A77.png,Hang,6,resized_B_A54.png,Flamme,15,19.28,21.43,5.19,3.26,3,2.14,2.93,2.89,2.61,2.8,1.86,LF,None,None,None,None,1,4,nn,7.365746175,11.15898283,0,9,9,9,81.0103769999696,,,,,,82.88151179999113,1,6,[-0.05916667  0.0775    ],1.5854200000176206,85.15098719997332,,,,,,110,A,2,2024-10-24_10h01.02.724,task,2023.2.2,59.968324747982564,2024-10-24 10h01.11.828096 +0200,
