study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,2,B,7,1,test item,1-1,resized_A_A100.png,Ruderer,162,resized_B_A147.png,Hund,15,resized_A_B78.png,Pfeil,2,resized_B_A36.png,Stern,1,resized_B_B193.png,Auge,7,resized_B_A33.png,Roboter,8,resized_A_A100.png,Ruderer,3,8.33,31.76,5.68,3.72,3.18,2.93,3.14,2.52,3.22,0.16,0.699,LF,None,None,None,None,3,7,nn,0.768457426,0.907433769,0,0,0,0,73.71218939998653,,0.0010349000222049654,10.064701900002547,10.0647103000083,71.48494880000362,75.47233050002251,1,3,[0.06166667 0.25083333],1.6529179000062868,78.02548260003095,,,,,,,116,B,2,2024-11-05_10h23.23.302,task,2023.2.2,59.95096010413987,2024-11-05 10h23.33.392947 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,2,B,7,2,test item,2-1,resized_B_B193.png,Auge,145,resized_B_A147.png,Hund,15,resized_A_B78.png,Pfeil,2,resized_B_A36.png,Stern,1,resized_B_B193.png,Auge,7,resized_B_A33.png,Roboter,8,resized_A_A100.png,Ruderer,3,3.61,10.71,5.94,2.68,2.29,2.68,3.39,2.89,2.07,92.05,3.37,HF,1.12,2.06,6.65,2.69,2,4,nn,77.94937823,392.1258391,0,1,1,1,78.19915320002474,,,,,,80.02625609998358,1,7,[0.06       0.08666667],1.968296899984125,82.64608470001258,,,,,,,116,B,2,2024-11-05_10h23.23.302,task,2023.2.2,59.95096010413987,2024-11-05 10h23.33.392947 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,2,B,8,3,test item,2-1,resized_A_A122.png,Sturz,176,resized_B_A03.png,Kleid,7,resized_B_C01.png,Kaninchen,9,resized_B_B73.png,Treppe,14,resized_A_B196.png,Fenster,1,resized_B_A77.png,Hang,6,resized_A_A122.png,Sturz,3,3.53,4.71,6.19,2.48,2.25,3.89,3.21,2.62,1.79,6.26,2.2,LF,-1.6,3.76,5.56,3.8,1,5,nn,13.16187718,16.13760594,0,2,2,2,82.79651710001053,,,,,,84.6634933000314,1,3,[0.08833333 0.23666667],3.3035884999553673,88.68450249999296,,,,,,,116,B,2,2024-11-05_10h23.23.302,task,2023.2.2,59.95096010413987,2024-11-05 10h23.33.392947 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,2,B,8,4,test item,1-1,resized_B_A77.png,Hang,161,resized_B_A03.png,Kleid,7,resized_B_C01.png,Kaninchen,9,resized_B_B73.png,Treppe,14,resized_A_B196.png,Fenster,1,resized_B_A77.png,Hang,6,resized_A_A122.png,Sturz,3,19.28,21.43,5.19,3.26,3,2.14,2.93,2.89,2.61,2.8,1.86,LF,None,None,None,None,1,4,nn,7.365746175,11.15898283,0,3,3,3,88.83052660000976,,,,,,90.70210699999006,1,6,[-0.0675      0.08666667],2.9695801999769174,94.47278270003153,,,,,,,116,B,2,2024-11-05_10h23.23.302,task,2023.2.2,59.95096010413987,2024-11-05 10h23.33.392947 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,2,B,3,5,test item,1-1,resized_A_B43.png,Parfüm,157,resized_A_B157.png,Hammer,10,resized_A_A02.png,Mühle,5,resized_A_A113.png,Engel,14,resized_A_B43.png,Parfüm,4,resized_A_B194.png,Raute,9,resized_B_B206.png,Axt,8,14.29,18.82,5.36,2.62,2.54,2.96,3.38,2.59,2.71,5.59,2.16,LF,1.77,3,4.41,6.56,2,6,nn,2.354422751,3.057479545,0,4,4,4,94.6227896999917,,,,,,96.49003580003045,1,4,[0.19166667 0.26      ],3.7871267999871634,101.01155830000062,,,,,,,116,B,2,2024-11-05_10h23.23.302,task,2023.2.2,59.95096010413987,2024-11-05 10h23.33.392947 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,2,B,3,6,test item,2-1,resized_A_B194.png,Raute,173,resized_A_B157.png,Hammer,10,resized_A_A02.png,Mühle,5,resized_A_A113.png,Engel,14,resized_A_B43.png,Parfüm,4,resized_A_B194.png,Raute,9,resized_B_B206.png,Axt,8,4.76,8.24,5.91,2.72,2.11,3.11,2.69,2.76,1.93,0.28,0.9,LF,None,None,None,None,2,5,nn,0.302477923,0.539555214,0,5,5,5,101.1617627000087,,,,,,103.02903020003578,1,9,[-0.255      -0.06583333],2.8528847999987192,106.53288780001458,,,,,,,116,B,2,2024-11-05_10h23.23.302,task,2023.2.2,59.95096010413987,2024-11-05 10h23.33.392947 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,2,B,12,7,test item,2-1,resized_B_B152.png,Säge,171,resized_B_B155.png,Messer,15,resized_B_A197.png,Hirsch,11,resized_A_A179.png,Drachen,1,resized_B_A43.png,Blatt,10,resized_A_A166.png,Pyramide,9,resized_B_B152.png,Säge,12,15.48,20.24,4.54,3.57,3.21,2.32,2.46,2.68,3,3.11,1.9,LF,-1.09,2.95,5.68,None,2,4,nn,1.978369117,2.812227175,0,6,6,6,106.67700969998259,,,,,,108.53362810000544,1,12,[ 0.25833333 -0.08166667],3.0859635999659076,112.47124520002399,,,,,,,116,B,2,2024-11-05_10h23.23.302,task,2023.2.2,59.95096010413987,2024-11-05 10h23.33.392947 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,2,B,12,8,test item,1-1,resized_B_A43.png,Blatt,159,resized_B_B155.png,Messer,15,resized_B_A197.png,Hirsch,11,resized_A_A179.png,Drachen,1,resized_B_A43.png,Blatt,10,resized_A_A166.png,Pyramide,9,resized_B_B152.png,Säge,12,6.1,8.33,5.82,2.81,2.25,2.46,2.58,2.96,2.21,12.17,2.49,LF,None,None,None,None,1,5,nn,33.92657783,93.25312611,0,7,7,7,112.60866899997927,,,,,,114.4720044999849,1,10,[-0.07  -0.055],3.0862925999681465,118.24272380000912,,,,,,,116,B,2,2024-11-05_10h23.23.302,task,2023.2.2,59.95096010413987,2024-11-05 10h23.33.392947 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,2,B,11,9,test item,1-1,resized_B_A153.png,Schwein,131,resized_A_A141.png,Pferd,16,resized_B_B175.png,Propeller,12,resized_B_A153.png,Schwein,8,resized_A_B168.png,Frau,15,resized_A_A76.png,Mauer,10,resized_B_A54.png,Flamme,2,28.57,45.24,3.8,3.18,2.86,2.54,2.75,1.89,3.29,62.09,3.2,HF,0.59,2.77,5.95,2.81,1,7,nn,7.995227258,18.36122743,0,8,8,8,118.38267080002697,,,,,,120.24352419999195,1,8,[0.26333333 0.05833333],1.9515715000452474,122.77992880000966,,,,,,,116,B,2,2024-11-05_10h23.23.302,task,2023.2.2,59.95096010413987,2024-11-05 10h23.33.392947 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,2,B,11,10,test item,2-1,resized_A_A76.png,Mauer,147,resized_A_A141.png,Pferd,16,resized_B_B175.png,Propeller,12,resized_B_A153.png,Schwein,8,resized_A_B168.png,Frau,15,resized_A_A76.png,Mauer,10,resized_B_A54.png,Flamme,2,9.41,14.12,5.6,2.72,2.61,2.36,2.69,2.59,2.44,16.89,2.63,HF,-0.5,2.78,5.64,3.53,2,5,nn,27.26388845,44.11272626,0,9,9,9,122.92305799998576,,,,,,124.7806883000303,1,10,[-0.05666667 -0.05333333],2.2518515999545343,127.80086030001985,,,,,,,116,B,2,2024-11-05_10h23.23.302,task,2023.2.2,59.95096010413987,2024-11-05 10h23.33.392947 +0100,
