study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,attempt4_click_accuracy,attempt4_click_positionGrid,attempt4_click_positionCoordinate,attempt4_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,1,A,13,1,test item,2-2,resized_A_B08.png,Person,154,resized_B_A03.png,Kleid,8,resized_A_A02.png,Mühle,12,resized_A_B199.png,Fisch,5,resized_A_B08.png,Person,1,resized_A_B22.png,Kreisel,14,resized_B_A176.png,Trophäe,15,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,0,0,0,332.9509582000319,,0.0010282000293955207,10.063744000042789,10.063753499998711,330.7377966999775,334.72462690004613,1,1,[-0.28166667  0.255     ],4.296395399956964,339.66290740005206,,,,,,,,,,,,,,,112,A,1,2024-10-29_09h55.44.203,task,2023.2.2,59.93849109865217,2024-10-29 09h57.34.101434 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,1,A,13,2,test item,1-2,resized_B_A176.png,Trophäe,164,resized_B_A03.png,Kleid,8,resized_A_A02.png,Mühle,12,resized_A_B199.png,Fisch,5,resized_A_B08.png,Person,1,resized_A_B22.png,Kreisel,14,resized_B_A176.png,Trophäe,15,13.1,13.1,5.4,2.82,2.18,3.54,3.04,2.82,1.89,2.56,1.82,LF,None,None,None,None,2,7,nn,0.580430609,1.087285506,0,1,1,1,339.8115186999785,,,,,,341.6804781999672,0,5,[-0.2625      0.07416667],4.437328899977729,387.80351560004056,0,12,[ 0.25       -0.09666667],10.175407000002451,0,8,[0.25833333 0.08916667],34.54610849998426,1,15,[ 0.08916667 -0.22416667],45.271914900047705,,,112,A,1,2024-10-29_09h55.44.203,task,2023.2.2,59.93849109865217,2024-10-29 09h57.34.101434 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,1,A,6,3,test item,2-2,resized_B_A181.png,Wolf,155,resized_B_A187.png,Brücke,15,resized_B_C01.png,Kaninchen,5,resized_B_A153.png,Schwein,6,resized_B_A185.png,Gesicht,1,resized_B_A181.png,Wolf,8,resized_B_B143.png,Tanne,11,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,2,2,2,387.9618787000654,,,,,,389.82104299997445,1,8,[0.2375     0.05583333],8.07404580002185,398.66258630005177,,,,,,,,,,,,,,,112,A,1,2024-10-29_09h55.44.203,task,2023.2.2,59.93849109865217,2024-10-29 09h57.34.101434 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,1,A,6,4,test item,1-2,resized_B_A185.png,Gesicht,138,resized_B_A187.png,Brücke,15,resized_B_C01.png,Kaninchen,5,resized_B_A153.png,Schwein,6,resized_B_A185.png,Gesicht,1,resized_B_A181.png,Wolf,8,resized_B_B143.png,Tanne,11,14.46,34.52,5.44,3.5,2.39,3.57,3.32,2.39,2.89,195.05,3.695,HF,1,2.67,6,3.79,2,7,nn,196.2591215,239.1537609,0,3,3,3,398.81200470007025,,,,,,400.68019420001656,1,1,[-0.2575      0.23333333],2.8526962000178173,404.1339905000059,,,,,,,,,,,,,,,112,A,1,2024-10-29_09h55.44.203,task,2023.2.2,59.93849109865217,2024-10-29 09h57.34.101434 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,1,A,12,5,test item,1-2,resized_B_A36.png,Stern,140,resized_A_B192.png,Katze,5,resized_B_A135.png,Kamel,4,resized_B_A36.png,Stern,6,resized_B_A33.png,Roboter,15,resized_A_B43.png,Parfüm,13,resized_A_A73.png,Klinge,8,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,4,4,4,404.2696180000203,,,,,,406.1348434999818,1,6,[-0.07416667  0.09      ],6.0719802000094205,412.89134540001396,,,,,,,,,,,,,,,112,A,1,2024-10-29_09h55.44.203,task,2023.2.2,59.93849109865217,2024-10-29 09h57.34.101434 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,1,A,12,6,test item,2-2,resized_B_A33.png,Roboter,156,resized_A_B192.png,Katze,5,resized_B_A135.png,Kamel,4,resized_B_A36.png,Stern,6,resized_B_A33.png,Roboter,15,resized_A_B43.png,Parfüm,13,resized_A_A73.png,Klinge,8,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,5,5,5,413.0321558000287,,,,,,414.8921975999838,1,15,[ 0.07833333 -0.27166667],5.505077100009657,421.3653865000233,,,,,,,,,,,,,,,112,A,1,2024-10-29_09h55.44.203,task,2023.2.2,59.93849109865217,2024-10-29 09h57.34.101434 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,1,A,2,7,test item,1-2,resized_B_B73.png,Treppe,137,resized_A_A93.png,Haus,7,resized_B_A150.png,Känguru,14,resized_B_B73.png,Treppe,3,resized_B_B49.png,Magnet,2,resized_B_A123.png,Tänzer,6,resized_B_B164.png,kimono,16,21.43,30.95,4.8,3.21,3.36,1.79,2.68,2.29,2.75,25,2.8,HF,0.05,2.36,5.95,3.25,2,6,nn,30.73829702,39.50198171,0,6,6,6,421.51733299996704,,,,,,423.38268919999246,1,3,[0.06916667 0.24083333],2.95231760002207,426.9532068000408,,,,,,,,,,,,,,,112,A,1,2024-10-29_09h55.44.203,task,2023.2.2,59.93849109865217,2024-10-29 09h57.34.101434 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,1,A,2,8,test item,2-2,resized_B_B164.png,kimono,182,resized_A_A93.png,Haus,7,resized_B_A150.png,Känguru,14,resized_B_B73.png,Treppe,3,resized_B_B49.png,Magnet,2,resized_B_A123.png,Tänzer,6,resized_B_B164.png,kimono,16,9.52,19.05,5.98,2.86,2.89,2.89,2.61,3.43,2.86,2.09,1.73,LF,None,None,None,None,3,6,nn,0.008175079,0.465979503,0,7,7,7,427.09932180005126,,,,,,428.9707746000495,1,16,[ 0.255  -0.2725],3.670176799991168,433.25853680004366,,,,,,,,,,,,,,,112,A,1,2024-10-29_09h55.44.203,task,2023.2.2,59.93849109865217,2024-10-29 09h57.34.101434 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,1,A,4,9,test item,2-2,resized_A_B32.png,Kamin,184,resized_B_A147.png,Hund,2,resized_A_A148.png,Giraffe,12,resized_B_A06.png,Hut,4,resized_A_B55.png,Schlange,10,resized_A_B139.png,Trichter,15,resized_A_B32.png,Kamin,9,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,8,8,8,433.3992704000557,,,,,,435.2593317000428,0,15,[ 0.07166667 -0.29333333],4.753938899957575,447.28702170006,1,9,[-0.24666667 -0.09833333],10.809066799934953,,,,,,,,,,,112,A,1,2024-10-29_09h55.44.203,task,2023.2.2,59.93849109865217,2024-10-29 09h57.34.101434 +0100,
LEALCO-EEG,112.0,1,A-B,4.0,2.0,training,1,A,4,10,test item,1-2,resized_A_B139.png,Trichter,169,resized_B_A147.png,Hund,2,resized_A_A148.png,Giraffe,12,resized_B_A06.png,Hut,4,resized_A_B55.png,Schlange,10,resized_A_B139.png,Trichter,15,resized_A_B32.png,Kamin,9,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,9,9,9,447.4266839000629,,,,,,449.28787660005037,1,15,[ 0.07083333 -0.22083333],4.103322700015269,454.0427285999758,,,,,,,,,,,,,,,112,A,1,2024-10-29_09h55.44.203,task,2023.2.2,59.93849109865217,2024-10-29 09h57.34.101434 +0100,
