study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,7,11,test item,1-2,resized_A_A113.png,Engel,139,resized_A_B54.png,Telefon,14,resized_B_A135.png,Kamel,2,resized_A_A113.png,Engel,6,resized_B_A181.png,Wolf,10,resized_A_B22.png,Kreisel,13,resized_A_B194.png,Raute,11,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,10,10,10,120.3126014999998,,,,,,122.18018699999993,1,6,[-0.1025      0.05416667],4.137245500000063,,,,,127.03521060000094,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,7,12,test item,2-2,resized_B_A181.png,Wolf,155,resized_A_B54.png,Telefon,14,resized_B_A135.png,Kamel,2,resized_A_A113.png,Engel,6,resized_B_A181.png,Wolf,10,resized_A_B22.png,Kreisel,13,resized_A_B194.png,Raute,11,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,11,11,11,127.17329849999987,,,,,,129.03591980000056,1,10,[-0.02083333 -0.04583333],2.786164400000416,,,,,132.48981020000065,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,13,13,test item,2-2,resized_A_B196.png,Fenster,152,resized_A_B109.png,Boot,5,resized_A_A148.png,Giraffe,8,resized_A_B150.png,Rakete,16,resized_A_B196.png,Fenster,13,resized_A_A166.png,Pyramide,3,resized_A_B39.png,Sessel,11,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,12,12,12,132.63061709999965,,,,,,134.4904886000004,1,13,[-0.23       -0.22416667],3.203298899999936,,,,,138.32755139999972,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,13,14,test item,1-2,resized_A_A166.png,Pyramide,166,resized_A_B109.png,Boot,5,resized_A_A148.png,Giraffe,8,resized_A_B150.png,Rakete,16,resized_A_B196.png,Fenster,13,resized_A_A166.png,Pyramide,3,resized_A_B39.png,Sessel,11,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,13,13,13,138.47003640000003,,,,,,140.32879669999966,1,3,[0.06583333 0.19333333],2.669085900000937,,,,,143.58242520000022,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,8,15,test item,1-2,resized_B_A188.png,Tür,141,resized_A_B192.png,Katze,3,resized_B_B19.png,Krawatte,7,resized_B_B177.png,Schloss,13,resized_B_A188.png,Tür,4,resized_A_A122.png,Sturz,12,resized_B_B206.png,Axt,5,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,14,14,14,143.7319793000006,,,,,,145.5998526000003,1,4,[0.22416667 0.21083333],3.8204002999991644,,,,,149.97112370000104,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,8,16,test item,2-2,resized_B_B206.png,Axt,179,resized_A_B192.png,Katze,3,resized_B_B19.png,Krawatte,7,resized_B_B177.png,Schloss,13,resized_B_A188.png,Tür,4,resized_A_A122.png,Sturz,12,resized_B_B206.png,Axt,5,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,15,15,15,150.12254420000136,,,,,,151.98858830000063,1,5,[-0.22166667  0.05      ],5.488819099999091,,,,,158.22762420000072,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,10,17,test item,2-2,resized_B_B167.png,Fliege,151,resized_B_A68.png,Lampe,1,resized_A_A02.png,Mühle,12,resized_A_B168.png,Frau,2,resized_B_B193.png,Auge,4,resized_B_B167.png,Fliege,9,resized_B_A43.png,Blatt,7,11.9,15.48,5.7,2.61,2.39,3.25,3.61,2.57,2.29,23.19,2.77,HF,-0.95,2.16,6.14,None,2,6,nn,4.332791868,12.70407276,0,16,16,16,158.39432810000108,,,,,,160.24555540000074,0,2,[-0.0475      0.25583333],5.755227499999819,1,9,[-0.2275     -0.07583333],10.476207800000338,171.30573730000106,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,10,18,test item,1-2,resized_A_B168.png,Frau,136,resized_B_A68.png,Lampe,1,resized_A_A02.png,Mühle,12,resized_A_B168.png,Frau,2,resized_B_B193.png,Auge,4,resized_B_B167.png,Fliege,9,resized_B_A43.png,Blatt,7,9.41,28.24,5.66,3.45,2.64,3.07,3.69,1.93,2.71,857.36,4.34,HF,1.4,2.5,6.56,3.68,1,4,nn,472.6503672,625.2055164,0,17,17,17,171.46694070000012,,,,,,173.3065056000014,1,2,[-0.06083333  0.225     ],2.452064799999789,,,,,176.2432389000005,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,2,19,test item,1-2,resized_B_B73.png,Treppe,137,resized_B_A187.png,Brücke,15,resized_A_B78.png,Pfeil,11,resized_B_B180.png,Geist,9,resized_B_B73.png,Treppe,4,resized_A_B199.png,Fisch,6,resized_A_B33.png,Zünder,16,21.43,30.95,4.8,3.21,3.36,1.79,2.68,2.29,2.75,25,2.8,HF,0.05,2.36,5.95,3.25,2,6,nn,30.73829702,39.50198171,0,18,18,18,176.38556430000062,,,,,,178.2440157000001,1,4,[0.23666667 0.22166667],2.469213899999886,,,,,181.26371810000092,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,2,20,test item,2-2,resized_A_B33.png,Zünder,180,resized_B_A187.png,Brücke,15,resized_A_B78.png,Pfeil,11,resized_B_B180.png,Geist,9,resized_B_B73.png,Treppe,4,resized_A_B199.png,Fisch,6,resized_A_B33.png,Zünder,16,10.59,11.76,5.31,3.07,2.71,2.32,2.93,3,2.54,4.8,2.09,LF,None,None,None,None,2,6,nn,0.711231873,0.825682979,0,19,19,19,181.41913139999997,,,,,,183.2818210000005,0,6,[-0.05333333  0.05166667],4.721044500000062,1,16,[ 0.21083333 -0.20666667],8.440812799999549,192.3735525000011,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,9,21,test item,1-2,resized_B_B24.png,Baby,142,resized_B_A147.png,Hund,2,resized_B_A132.png,Ente,16,resized_B_B24.png,Baby,15,resized_B_A129.png,Huhn,7,resized_B_B49.png,Magnet,13,resized_A_A151.png,Fuchs,14,8.33,9.52,5.33,3.11,3.39,2.57,3.25,2.68,3.07,324.66,3.92,HF,1.9,2.83,6.78,3.38,2,4,nn,7.995227258,9.834620032,0,20,20,20,192.52240549999988,,,,,,194.39093180000054,1,15,[ 0.08666667 -0.19416667],2.3190541999993,,,,,197.17756430000009,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,9,22,test item,2-2,resized_A_A151.png,Fuchs,181,resized_B_A147.png,Hund,2,resized_B_A132.png,Ente,16,resized_B_B24.png,Baby,15,resized_B_A129.png,Huhn,7,resized_B_B49.png,Magnet,13,resized_A_A151.png,Fuchs,14,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,21,21,21,197.3154265000012,,,,,,199.1782930999998,0,2,[-0.06583333  0.23916667],2.852722600000561,1,14,[-0.05583333 -0.21333333],4.454273900000771,204.41691470000114,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,5,23,test item,1-2,resized_B_A36.png,Stern,140,resized_A_B157.png,Hammer,15,resized_B_C01.png,Kaninchen,1,resized_B_A36.png,Stern,7,resized_B_A33.png,Roboter,9,resized_B_A77.png,Hang,12,resized_B_B143.png,Tanne,5,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,22,22,22,204.55771579999964,,,,,,206.41772390000006,1,7,[0.08166667 0.05583333],3.119280200000503,,,,,210.0218025000013,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,5,24,test item,2-2,resized_B_A33.png,Roboter,156,resized_A_B157.png,Hammer,15,resized_B_C01.png,Kaninchen,1,resized_B_A36.png,Stern,7,resized_B_A33.png,Roboter,9,resized_B_A77.png,Hang,12,resized_B_B143.png,Tanne,5,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,23,23,23,210.1660920000013,,,,,,212.02243400000043,1,9,[-0.2125 -0.0625],1.8515530999993643,,,,,214.3253697,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,14,25,test item,2-2,resized_B_B164.png,kimono,182,resized_A_A93.png,Haus,1,resized_B_A197.png,Hirsch,8,resized_B_A06.png,Hut,15,resized_B_A185.png,Gesicht,3,resized_B_B152.png,Säge,16,resized_B_B164.png,kimono,10,9.52,19.05,5.98,2.86,2.89,2.89,2.61,3.43,2.86,2.09,1.73,LF,None,None,None,None,3,6,nn,0.008175079,0.465979503,0,24,24,24,214.47029310000107,,,,,,216.32608230000005,1,10,[-0.07  -0.055],2.8530501000004733,,,,,219.69645280000077,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,14,26,test item,1-2,resized_B_A185.png,Gesicht,138,resized_A_A93.png,Haus,1,resized_B_A197.png,Hirsch,8,resized_B_A06.png,Hut,15,resized_B_A185.png,Gesicht,3,resized_B_B152.png,Säge,16,resized_B_B164.png,kimono,10,14.46,34.52,5.44,3.5,2.39,3.57,3.32,2.39,2.89,195.05,3.695,HF,1,2.67,6,3.79,2,7,nn,196.2591215,239.1537609,0,25,25,25,219.83634940000047,,,,,,221.69723830000112,1,3,[0.075      0.21416667],2.5360943999985466,,,,,224.7006560000009,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,3,27,test item,1-2,resized_A_B20.png,Kerze,168,resized_A_A134.png,Vogel,6,resized_A_A139.png,Gans,3,resized_A_B56.png,Stuhl,5,resized_A_B55.png,Schlange,7,resized_A_B08.png,Person,11,resized_A_B20.png,Kerze,13,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,26,26,26,224.8369496000014,,,,,,226.70139850000123,1,13,[-0.28166667 -0.2425    ],2.7029890999983763,,,,,229.9551201000013,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,3,28,test item,2-2,resized_A_B08.png,Person,154,resized_A_A134.png,Vogel,6,resized_A_A139.png,Gans,3,resized_A_B56.png,Stuhl,5,resized_A_B55.png,Schlange,7,resized_A_B08.png,Person,11,resized_A_B20.png,Kerze,13,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,27,27,27,230.09570350000104,,,,,,231.9559319,1,11,[ 0.08       -0.03666667],2.502632599998833,,,,,235.0760793999998,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.09008520000134,245.08277699999962,,,,,,,,,
