study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,trial.stopped,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,106.0,1,B-A,2.0,2.0,training,1,B,11,1,test item,2-2,resized_B_A54.png,Flamme,178,resized_A_B157.png,Hammer,1,resized_A_A139.png,Gans,4,resized_B_A06.png,Hut,2,resized_A_A74.png,Rubin,12,resized_B_B143.png,Tanne,13,resized_B_A54.png,Flamme,14,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,0,0,0,231.44790490000742,,0.001043400028720498,10.065857500012498,10.065867200028151,229.2351084999973,233.22252730000764,0,2,[-0.11        0.25416667],9.201183900004253,1,14,[-0.07583333 -0.27333333],24.262981799955014,258.8284883000306,,,,,,,106,B,1,2024-10-21_11h46.14.009,task,2023.2.2,60.284942818850695,2024-10-21 11h46.24.422164 +0200,
LEALCO-EEG,106.0,1,B-A,2.0,2.0,training,1,B,11,2,test item,1-2,resized_A_A74.png,Rubin,165,resized_A_B157.png,Hammer,1,resized_A_A139.png,Gans,4,resized_B_A06.png,Hut,2,resized_A_A74.png,Rubin,12,resized_B_B143.png,Tanne,13,resized_B_A54.png,Flamme,14,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,1,1,1,258.97096740000416,,,,,,260.84586290002335,1,12,[ 0.2725 -0.0825],4.036993200017605,,,,,265.817505300045,,,,,,,106,B,1,2024-10-21_11h46.14.009,task,2023.2.2,60.284942818850695,2024-10-21 11h46.24.422164 +0200,
LEALCO-EEG,106.0,1,B-A,2.0,2.0,training,1,B,14,3,test item,1-2,resized_A_B168.png,Frau,136,resized_A_B54.png,Telefon,13,resized_B_C01.png,Kaninchen,7,resized_A_B150.png,Rakete,6,resized_A_B168.png,Frau,8,resized_A_A179.png,Drachen,3,resized_A_B194.png,Raute,11,9.41,28.24,5.66,3.45,2.64,3.07,3.69,1.93,2.71,857.36,4.34,HF,1.4,2.5,6.56,3.68,1,4,nn,472.6503672,625.2055164,0,2,2,2,265.9662776000332,,,,,,267.83508150000125,1,8,[0.265      0.09916667],4.253879499970935,,,,,273.64080620004097,,,,,,,106,B,1,2024-10-21_11h46.14.009,task,2023.2.2,60.284942818850695,2024-10-21 11h46.24.422164 +0200,
LEALCO-EEG,106.0,1,B-A,2.0,2.0,training,1,B,14,4,test item,2-2,resized_A_A179.png,Drachen,150,resized_A_B54.png,Telefon,13,resized_B_C01.png,Kaninchen,7,resized_A_B150.png,Rakete,6,resized_A_B168.png,Frau,8,resized_A_A179.png,Drachen,3,resized_A_B194.png,Raute,11,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,3,3,3,273.78069959999993,,,,,,275.6415740000084,1,3,[0.03166667 0.25333333],8.491066400019918,,,,,284.9170121999923,,,,,,,106,B,1,2024-10-21_11h46.14.009,task,2023.2.2,60.284942818850695,2024-10-21 11h46.24.422164 +0200,
LEALCO-EEG,106.0,1,B-A,2.0,2.0,training,1,B,13,5,test item,1-2,resized_A_B15.png,Schwangere,170,resized_A_A90.png,Fabrik,4,resized_A_A02.png,Mühle,6,resized_B_A77.png,Hang,12,resized_A_B15.png,Schwangere,14,resized_B_A123.png,Tänzer,10,resized_A_B33.png,Zünder,9,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,4,4,4,285.05474069999764,,,,,,286.91780819999985,1,14,[-0.08833333 -0.26083333],3.1697796000516973,,,,,290.75530330004403,,,,,,,106,B,1,2024-10-21_11h46.14.009,task,2023.2.2,60.284942818850695,2024-10-21 11h46.24.422164 +0200,
LEALCO-EEG,106.0,1,B-A,2.0,2.0,training,1,B,13,6,test item,2-2,resized_A_B33.png,Zünder,180,resized_A_A90.png,Fabrik,4,resized_A_A02.png,Mühle,6,resized_B_A77.png,Hang,12,resized_A_B15.png,Schwangere,14,resized_B_A123.png,Tänzer,10,resized_A_B33.png,Zünder,9,10.59,11.76,5.31,3.07,2.71,2.32,2.93,3,2.54,4.8,2.09,LF,None,None,None,None,2,6,nn,0.711231873,0.825682979,0,5,5,5,290.89396370004397,,,,,,292.75613640004303,0,6,[-0.1125      0.05583333],8.207305300049484,1,9,[-0.2275     -0.12333333],18.18263580003986,311.905993900029,,,,,,,106,B,1,2024-10-21_11h46.14.009,task,2023.2.2,60.284942818850695,2024-10-21 11h46.24.422164 +0200,
LEALCO-EEG,106.0,1,B-A,2.0,2.0,training,1,B,9,7,test item,2-2,resized_B_B164.png,kimono,182,resized_A_A93.png,Haus,6,resized_B_A197.png,Hirsch,3,resized_B_B180.png,Geist,9,resized_B_A36.png,Stern,10,resized_B_A37.png,Tasse,5,resized_B_B164.png,kimono,2,9.52,19.05,5.98,2.86,2.89,2.89,2.61,3.43,2.86,2.09,1.73,LF,None,None,None,None,3,6,nn,0.008175079,0.465979503,0,6,6,6,312.05844380002236,,,,,,313.924001700012,1,2,[-0.07916667  0.23083333],6.572626700042747,,,,,321.66452160000335,,,,,,,106,B,1,2024-10-21_11h46.14.009,task,2023.2.2,60.284942818850695,2024-10-21 11h46.24.422164 +0200,
LEALCO-EEG,106.0,1,B-A,2.0,2.0,training,1,B,9,8,test item,1-2,resized_B_A36.png,Stern,140,resized_A_A93.png,Haus,6,resized_B_A197.png,Hirsch,3,resized_B_B180.png,Geist,9,resized_B_A36.png,Stern,10,resized_B_A37.png,Tasse,5,resized_B_B164.png,kimono,2,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,7,7,7,321.81519450002816,,,,,,323.6820874999976,1,10,[-0.11583333 -0.0975    ],3.386797300016042,,,,,327.78614840004593,,,,,,,106,B,1,2024-10-21_11h46.14.009,task,2023.2.2,60.284942818850695,2024-10-21 11h46.24.422164 +0200,
LEALCO-EEG,106.0,1,B-A,2.0,2.0,training,1,B,12,9,test item,2-2,resized_A_B08.png,Person,154,resized_B_A187.png,Brücke,8,resized_B_A140.png,Flamingo,10,resized_A_B08.png,Person,5,resized_A_B43.png,Parfüm,16,resized_A_A166.png,Pyramide,3,resized_A_A122.png,Sturz,6,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,8,8,8,327.9209759000223,,,,,,329.78729430004023,1,5,[-0.25    0.0525],8.807968899956904,,,,,339.52970610000193,,,,,,,106,B,1,2024-10-21_11h46.14.009,task,2023.2.2,60.284942818850695,2024-10-21 11h46.24.422164 +0200,
LEALCO-EEG,106.0,1,B-A,2.0,2.0,training,1,B,12,10,test item,1-2,resized_A_A166.png,Pyramide,166,resized_B_A187.png,Brücke,8,resized_B_A140.png,Flamingo,10,resized_A_B08.png,Person,5,resized_A_B43.png,Parfüm,16,resized_A_A166.png,Pyramide,3,resized_A_A122.png,Sturz,6,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,9,9,9,339.6758555000415,,,,,,341.5472538000322,1,3,[0.07416667 0.23      ],4.887898999964818,,,,,347.486466500035,,,,,,,106,B,1,2024-10-21_11h46.14.009,task,2023.2.2,60.284942818850695,2024-10-21 11h46.24.422164 +0200,
LEALCO-EEG,106.0,1,B-A,2.0,2.0,training,1,B,5,11,test item,2-2,resized_A_B32.png,Kamin,184,resized_A_A141.png,Pferd,13,resized_A_B78.png,Pfeil,11,resized_A_A113.png,Engel,5,resized_B_A43.png,Blatt,6,resized_A_A73.png,Klinge,15,resized_A_B32.png,Kamin,12,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,10,10,10,347.63537760003237,,,,,,349.5039479000261,1,12,[ 0.27333333 -0.06083333],7.740357799979392,,,,,357.87849450000795,,,,,,,106,B,1,2024-10-21_11h46.14.009,task,2023.2.2,60.284942818850695,2024-10-21 11h46.24.422164 +0200,
