study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,6,11,test item,2-2,resized_B_A23.png,Flasche,153,resized_B_A187.png,Brücke,11,resized_B_A135.png,Kamel,4,resized_B_A06.png,Hut,16,resized_A_B199.png,Fisch,8,resized_B_A23.png,Flasche,10,resized_A_A166.png,Pyramide,9,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,10,10,10,118.58784550003475,,,,,,120.4473774000071,1,10,[-0.04333333 -0.04333333],2.9362668999820016,124.00135450001108,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,6,12,test item,1-2,resized_A_A166.png,Pyramide,166,resized_B_A187.png,Brücke,11,resized_B_A135.png,Kamel,4,resized_B_A06.png,Hut,16,resized_A_B199.png,Fisch,8,resized_B_A23.png,Flasche,10,resized_A_A166.png,Pyramide,9,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,11,11,11,124.14419840002665,,,,,,126.00207719998434,1,9,[-0.20666667 -0.06166667],1.851522900047712,128.68872360000387,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,11,13,test item,1-2,resized_B_B73.png,Treppe,137,resized_A_A90.png,Fabrik,16,resized_B_C01.png,Kaninchen,11,resized_A_B56.png,Stuhl,8,resized_B_B73.png,Treppe,13,resized_A_B194.png,Raute,2,resized_B_B206.png,Axt,15,21.43,30.95,4.8,3.21,3.36,1.79,2.68,2.29,2.75,25,2.8,HF,0.05,2.36,5.95,3.25,2,6,nn,30.73829702,39.50198171,0,12,12,12,128.83592729998054,,,,,,130.70607200002996,1,13,[-0.24166667 -0.2525    ],2.869582300016191,134.24315759999445,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,11,14,test item,2-2,resized_B_B206.png,Axt,179,resized_A_A90.png,Fabrik,16,resized_B_C01.png,Kaninchen,11,resized_A_B56.png,Stuhl,8,resized_B_B73.png,Treppe,13,resized_A_B194.png,Raute,2,resized_B_B206.png,Axt,15,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,13,13,13,134.38831840001512,,,,,,136.24393190001138,1,15,[ 0.09166667 -0.26166667],9.808810099959373,147.2709928000113,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,4,15,test item,2-2,resized_B_A33.png,Roboter,156,resized_B_B155.png,Messer,8,resized_B_B19.png,Krawatte,12,resized_B_A188.png,Tür,4,resized_B_B193.png,Auge,1,resized_B_A33.png,Roboter,3,resized_B_A20.png,Grill,7,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,14,14,14,147.42230640002526,,,,,,149.27173620002577,0,7,[0.11166667 0.09083333],5.888773799990304,160.38197390001733,1,3,[0.0325 0.2475],9.307695799972862,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,4,16,test item,1-2,resized_B_A188.png,Tür,141,resized_B_B155.png,Messer,8,resized_B_B19.png,Krawatte,12,resized_B_A188.png,Tür,4,resized_B_B193.png,Auge,1,resized_B_A33.png,Roboter,3,resized_B_A20.png,Grill,7,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,15,15,15,160.5414971000282,,,,,,162.3829182999907,1,4,[0.2475     0.25666667],2.252108799992129,165.3360943000298,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,5,17,test item,2-2,resized_B_A181.png,Wolf,155,resized_B_A68.png,Lampe,6,resized_A_B78.png,Pfeil,16,resized_A_B150.png,Rakete,13,resized_B_A185.png,Gesicht,4,resized_B_A181.png,Wolf,15,resized_A_A73.png,Klinge,10,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,16,16,16,165.47965330001898,,,,,,167.33694379997905,1,15,[ 0.07083333 -0.20833333],4.753923300013412,172.84254480001982,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,5,18,test item,1-2,resized_B_A185.png,Gesicht,138,resized_B_A68.png,Lampe,6,resized_A_B78.png,Pfeil,16,resized_A_B150.png,Rakete,13,resized_B_A185.png,Gesicht,4,resized_B_A181.png,Wolf,15,resized_A_A73.png,Klinge,10,14.46,34.52,5.44,3.5,2.39,3.57,3.32,2.39,2.89,195.05,3.695,HF,1,2.67,6,3.79,2,7,nn,196.2591215,239.1537609,0,17,17,17,172.98490440001478,,,,,,174.8434701000224,1,4,[0.23833333 0.2175    ],2.7192933000042103,178.19697849999648,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,12,19,test item,1-2,resized_B_A36.png,Stern,140,resized_A_B157.png,Hammer,4,resized_B_A140.png,Flamingo,6,resized_B_B180.png,Geist,7,resized_B_A36.png,Stern,16,resized_B_A123.png,Tänzer,1,resized_B_A70.png,Brunnen,14,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,18,18,18,178.33875049999915,,,,,,180.1978082000278,1,16,[ 0.25333333 -0.20583333],3.0862996999640018,183.96844319999218,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,12,20,test item,2-2,resized_B_A70.png,Brunnen,183,resized_A_B157.png,Hammer,4,resized_B_A140.png,Flamingo,6,resized_B_B180.png,Geist,7,resized_B_A36.png,Stern,16,resized_B_A123.png,Tänzer,1,resized_B_A70.png,Brunnen,14,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,19,19,19,184.10731069999747,,,,,,185.96931030001724,1,14,[-0.075      -0.22916667],3.3033145000226796,189.95684880000772,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,9,21,test item,1-2,resized_A_A113.png,Engel,139,resized_A_B192.png,Katze,14,resized_A_A148.png,Giraffe,1,resized_A_A113.png,Engel,4,resized_A_A52.png,Stein,7,resized_B_A77.png,Hang,16,resized_B_A54.png,Flamme,10,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,20,20,20,190.0874526000116,,,,,,191.95793020003475,1,4,[0.22583333 0.22166667],3.069374400016386,196.12882330000866,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,9,22,test item,2-2,resized_B_A54.png,Flamme,178,resized_A_B192.png,Katze,14,resized_A_A148.png,Giraffe,1,resized_A_A113.png,Engel,4,resized_A_A52.png,Stein,7,resized_B_A77.png,Hang,16,resized_B_A54.png,Flamme,10,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,21,21,21,196.27862629998708,,,,,,198.12955760001205,0,7,[0.10583333 0.08833333],2.369225499976892,205.5201637999853,1,10,[-0.11       -0.07916667],5.821547899977304,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,3,23,test item,1-2,resized_A_B20.png,Kerze,168,resized_A_A134.png,Vogel,15,resized_B_A197.png,Hirsch,7,resized_A_A76.png,Mauer,2,resized_A_B22.png,Kreisel,6,resized_A_B20.png,Kerze,3,resized_A_A151.png,Fuchs,12,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,22,22,22,205.6783613000298,,,,,,207.5378051000298,1,3,[0.15       0.21166667],1.7183085000142455,209.8904035000014,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,3,24,test item,2-2,resized_A_A151.png,Fuchs,181,resized_A_A134.png,Vogel,15,resized_B_A197.png,Hirsch,7,resized_A_A76.png,Mauer,2,resized_A_B22.png,Kreisel,6,resized_A_B20.png,Kerze,3,resized_A_A151.png,Fuchs,12,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,23,23,23,210.03543250000803,,,,,,211.89121969998814,1,12,[ 0.23  -0.045],3.6862864999566227,216.2958325999789,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,10,25,test item,1-2,resized_A_A74.png,Rubin,165,resized_A_B54.png,Telefon,10,resized_B_B175.png,Propeller,12,resized_B_A153.png,Schwein,1,resized_B_B167.png,Fliege,2,resized_A_A74.png,Rubin,8,resized_A_B39.png,Sessel,11,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,24,24,24,216.43759200000204,,,,,,218.29656290001003,1,8,[0.26333333 0.095     ],2.6521531000034884,221.55025560001377,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,10,26,test item,2-2,resized_B_B167.png,Fliege,151,resized_A_B54.png,Telefon,10,resized_B_B175.png,Propeller,12,resized_B_A153.png,Schwein,1,resized_B_B167.png,Fliege,2,resized_A_A74.png,Rubin,8,resized_A_B39.png,Sessel,11,11.9,15.48,5.7,2.61,2.39,3.25,3.61,2.57,2.29,23.19,2.77,HF,-0.95,2.16,6.14,None,2,6,nn,4.332791868,12.70407276,0,25,25,25,221.6940295000095,,,,,,223.5512097000028,1,2,[-0.09  0.2 ],2.68583580001723,226.9376135999919,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,2,27,test item,1-2,resized_B_A176.png,Trophäe,164,resized_A_A141.png,Pferd,16,resized_A_A139.png,Gans,12,resized_A_A04.png,Baum,5,resized_B_A37.png,Tasse,7,resized_B_A176.png,Trophäe,8,resized_A_B32.png,Kamin,10,13.1,13.1,5.4,2.82,2.18,3.54,3.04,2.82,1.89,2.56,1.82,LF,None,None,None,None,2,7,nn,0.580430609,1.087285506,0,26,26,26,227.07757560000755,,,,,,228.93879190000007,0,5,[-0.24166667  0.11583333],5.021411300054751,241.100015300035,1,8,[0.20166667 0.0625    ],11.043304300052114,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,2,28,test item,2-2,resized_A_B32.png,Kamin,184,resized_A_A141.png,Pferd,16,resized_A_A139.png,Gans,12,resized_A_A04.png,Baum,5,resized_B_A37.png,Tasse,7,resized_B_A176.png,Trophäe,8,resized_A_B32.png,Kamin,10,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,27,27,27,241.2497739000246,,,,,,243.11753719998524,1,10,[-0.1375     -0.07166667],1.7680619999882765,245.45366639998974,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.46783270000014,255.46076490002451,,,,,,,,,
