study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,attempt4_click_accuracy,attempt4_click_positionGrid,attempt4_click_positionCoordinate,attempt4_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,3,11,test item,2-2,resized_B_A33.png,Roboter,156,resized_A_B157.png,Hammer,4,resized_B_B70.png,Quadrat,10,resized_A_A113.png,Engel,12,resized_A_A52.png,Stein,9,resized_B_A33.png,Roboter,11,resized_A_B22.png,Kreisel,8,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,10,10,10,151.69626599992625,,,,,,153.55955529992934,1,11,[ 0.0975     -0.06916667],3.169281900045462,157.39700379990973,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,3,12,test item,1-2,resized_A_A113.png,Engel,139,resized_A_B157.png,Hammer,4,resized_B_B70.png,Quadrat,10,resized_A_A113.png,Engel,12,resized_A_A52.png,Stein,9,resized_B_A33.png,Roboter,11,resized_A_B22.png,Kreisel,8,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,11,11,11,157.54674469993915,,,,,,159.41444089997094,1,12,[ 0.23666667 -0.07833333],4.186839699978009,164.51969019998796,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,13,13,test item,1-2,resized_B_A176.png,Trophäe,164,resized_B_A147.png,Hund,4,resized_B_A142.png,Reiter,7,resized_B_B177.png,Schloss,15,resized_B_A129.png,Huhn,3,resized_A_B196.png,Fenster,1,resized_B_A176.png,Trophäe,11,13.1,13.1,5.4,2.82,2.18,3.54,3.04,2.82,1.89,2.56,1.82,LF,None,None,None,None,2,7,nn,0.580430609,1.087285506,0,12,12,12,164.661258899956,,,,,,166.5205804000143,0,1,[-0.25666667  0.25      ],5.588408400071785,182.0840981999645,1,11,[ 0.09416667 -0.09916667],12.744453300023451,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,13,14,test item,2-2,resized_A_B196.png,Fenster,152,resized_B_A147.png,Hund,4,resized_B_A142.png,Reiter,7,resized_B_B177.png,Schloss,15,resized_B_A129.png,Huhn,3,resized_A_B196.png,Fenster,1,resized_B_A176.png,Trophäe,11,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,13,13,13,182.23346179991495,,,,,,184.10187769995537,1,1,[-0.24333333  0.25666667],3.0693946999963373,187.9395826999098,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,14,15,test item,2-2,resized_B_B206.png,Axt,179,resized_B_A03.png,Kleid,15,resized_B_A150.png,Känguru,3,resized_B_B73.png,Treppe,6,resized_B_A20.png,Grill,2,resized_B_A123.png,Tänzer,10,resized_B_B206.png,Axt,12,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,14,14,14,188.07772259996273,,,,,,189.94023900001775,1,12,[ 0.26416667 -0.07666667],17.614827499957755,208.90678650001064,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,14,16,test item,1-2,resized_B_B73.png,Treppe,137,resized_B_A03.png,Kleid,15,resized_B_A150.png,Känguru,3,resized_B_B73.png,Treppe,6,resized_B_A20.png,Grill,2,resized_B_A123.png,Tänzer,10,resized_B_B206.png,Axt,12,21.43,30.95,4.8,3.21,3.36,1.79,2.68,2.29,2.75,25,2.8,HF,0.05,2.36,5.95,3.25,2,6,nn,30.73829702,39.50198171,0,15,15,15,209.04316409991588,,,,,,210.90785209997557,1,6,[-0.085   0.0925],2.602668499923311,214.0445053000003,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,9,17,test item,1-2,resized_A_B139.png,Trichter,169,resized_B_A156.png,Bär,15,resized_B_A135.png,Kamel,6,resized_B_B193.png,Auge,16,resized_B_A43.png,Blatt,2,resized_A_B139.png,Trichter,13,resized_B_B164.png,kimono,5,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,16,16,16,214.2033531999914,,,,,,216.04556459991727,1,13,[-0.2525     -0.24166667],2.7689692999701947,219.39890739996918,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,9,18,test item,2-2,resized_B_B164.png,kimono,182,resized_B_A156.png,Bär,15,resized_B_A135.png,Kamel,6,resized_B_B193.png,Auge,16,resized_B_A43.png,Blatt,2,resized_A_B139.png,Trichter,13,resized_B_B164.png,kimono,5,9.52,19.05,5.98,2.86,2.89,2.89,2.61,3.43,2.86,2.09,1.73,LF,None,None,None,None,3,6,nn,0.008175079,0.465979503,0,17,17,17,219.56386819994077,,,,,,221.4167866000207,1,5,[-0.225       0.07583333],7.923758300021291,230.42491489998065,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,5,19,test item,2-2,resized_A_B33.png,Zünder,180,resized_A_B54.png,Telefon,1,resized_B_B19.png,Krawatte,5,resized_B_B49.png,Magnet,7,resized_A_B15.png,Schwangere,4,resized_B_B152.png,Säge,15,resized_A_B33.png,Zünder,9,10.59,11.76,5.31,3.07,2.71,2.32,2.93,3,2.54,4.8,2.09,LF,None,None,None,None,2,6,nn,0.711231873,0.825682979,0,18,18,18,230.56701979995705,,,,,,232.4260174999945,1,9,[-0.23916667 -0.07333333],2.9525337999220937,235.97992740001064,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,5,20,test item,1-2,resized_A_B15.png,Schwangere,170,resized_A_B54.png,Telefon,1,resized_B_B19.png,Krawatte,5,resized_B_B49.png,Magnet,7,resized_A_B15.png,Schwangere,4,resized_B_B152.png,Säge,15,resized_A_B33.png,Zünder,9,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,19,19,19,236.1248547999421,,,,,,237.9807250999147,1,4,[0.265 0.26 ],2.2690500000026077,240.81735409994144,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,11,21,test item,1-2,resized_A_A166.png,Pyramide,166,resized_B_A187.png,Brücke,1,resized_B_C01.png,Kaninchen,13,resized_A_B199.png,Fisch,9,resized_B_A181.png,Wolf,8,resized_A_A100.png,Ruderer,5,resized_A_A166.png,Pyramide,15,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,20,20,20,240.9597136999946,,,,,,242.81815659999847,1,15,[ 0.065      -0.25916667],2.369149199919775,245.6710560999345,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,11,22,test item,2-2,resized_B_A181.png,Wolf,155,resized_B_A187.png,Brücke,1,resized_B_C01.png,Kaninchen,13,resized_A_B199.png,Fisch,9,resized_B_A181.png,Wolf,8,resized_A_A100.png,Ruderer,5,resized_A_A166.png,Pyramide,15,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,21,21,21,245.80797299998812,,,,,,247.67214789998252,1,8,[0.2475     0.08416667],4.1368914999766275,252.66028630000073,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,1,23,test item,1-2,resized_A_A74.png,Rubin,165,resized_B_B155.png,Messer,9,resized_A_A139.png,Gans,4,resized_A_A04.png,Baum,1,resized_B_A23.png,Flasche,14,resized_A_A74.png,Rubin,6,resized_A_B194.png,Raute,11,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,22,22,22,252.80771389999427,,,,,,254.67806589999236,1,6,[-0.07833333  0.06916667],2.3854651000583544,257.66449569992255,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,1,24,test item,2-2,resized_B_A23.png,Flasche,153,resized_B_B155.png,Messer,9,resized_A_A139.png,Gans,4,resized_A_A04.png,Baum,1,resized_B_A23.png,Flasche,14,resized_A_A74.png,Rubin,6,resized_A_B194.png,Raute,11,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,23,23,23,257.8081070999615,,,,,,259.68248389998917,1,14,[-0.07       -0.24666667],2.5690720999846235,262.9359990999801,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,6,25,test item,2-2,resized_B_A54.png,Flamme,178,resized_A_A141.png,Pferd,13,resized_B_B175.png,Propeller,2,resized_B_A06.png,Hut,5,resized_B_A36.png,Stern,8,resized_B_B143.png,Tanne,15,resized_B_A54.png,Flamme,6,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,24,24,24,263.0794697999954,,,,,,264.9367286999477,0,8,[0.28       0.09583333],2.8358173000160605,274.2121800999157,1,6,[-0.07833333  0.07416667],7.773565500043333,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,6,26,test item,1-2,resized_B_A36.png,Stern,140,resized_A_A141.png,Pferd,13,resized_B_B175.png,Propeller,2,resized_B_A06.png,Hut,5,resized_B_A36.png,Stern,8,resized_B_B143.png,Tanne,15,resized_B_A54.png,Flamme,6,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,25,25,25,274.35669079993386,,,,,,276.21299029991496,0,2,[-0.06916667  0.23416667],4.653786099981517,284.0200946999248,1,8,[0.22583333 0.06666667],6.655557799967937,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,7,27,test item,2-2,resized_A_B32.png,Kamin,184,resized_B_A68.png,Lampe,9,resized_A_A02.png,Mühle,8,resized_B_B180.png,Geist,4,resized_B_A185.png,Gesicht,11,resized_A_A76.png,Mauer,12,resized_A_B32.png,Kamin,15,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,26,26,26,284.15842699992936,,,,,,286.02144459995907,1,15,[ 0.09333333 -0.24333333],3.7868340999120846,290.4594657999696,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,7,28,test item,1-2,resized_B_A185.png,Gesicht,138,resized_B_A68.png,Lampe,9,resized_A_A02.png,Mühle,8,resized_B_B180.png,Geist,4,resized_B_A185.png,Gesicht,11,resized_A_A76.png,Mauer,12,resized_A_B32.png,Kamin,15,14.46,34.52,5.44,3.5,2.39,3.57,3.32,2.39,2.89,195.05,3.695,HF,1,2.67,6,3.79,2,7,nn,196.2591215,239.1537609,0,27,27,27,290.5996228000149,,,,,,292.46005409990903,1,11,[ 0.10166667 -0.08166667],2.285123399924487,295.346294799936,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.363877399941,305.3533551999135,,,,,,,,,
