study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,5,A,13,1,test item,1-2,resized_A_B139.png,Trichter,169,resized_A_B157.png,Hammer,1,resized_B_A150.png,Känguru,11,resized_A_B56.png,Stuhl,12,resized_A_A179.png,Drachen,5,resized_A_B139.png,Trichter,14,resized_B_B152.png,Säge,2,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,0,0,0,60.48677080000016,,0.0010525000006964547,10.069706000000224,10.069716100000733,58.2767201000006,62.26420240000061,1,14,[-0.11333333 -0.26916667],1.9365807999993194,64.80058260000078,,,104,A,5,2024-10-18_11h40.51.094,task,2023.2.2,60.336193269006415,2024-10-18 11h41.07.356815 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,5,A,13,2,test item,2-2,resized_A_A179.png,Drachen,150,resized_A_B157.png,Hammer,1,resized_B_A150.png,Känguru,11,resized_A_B56.png,Stuhl,12,resized_A_A179.png,Drachen,5,resized_A_B139.png,Trichter,14,resized_B_B152.png,Säge,2,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,1,1,1,64.94048250000014,,,,,,66.8013417000002,1,5,[-0.24416667  0.06083333],1.6184718000004068,68.90410450000036,,,104,A,5,2024-10-18_11h40.51.094,task,2023.2.2,60.336193269006415,2024-10-18 11h41.07.356815 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,5,A,9,3,test item,2-2,resized_B_A54.png,Flamme,178,resized_A_A90.png,Fabrik,4,resized_A_A02.png,Mühle,15,resized_A_A04.png,Baum,1,resized_B_A188.png,Tür,13,resized_B_B193.png,Auge,8,resized_B_A54.png,Flamme,11,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,2,2,2,69.06085609999991,,,,,,70.90472310000041,1,11,[ 0.0375     -0.07083333],1.4353808000005301,72.94075220000013,,,104,A,5,2024-10-18_11h40.51.094,task,2023.2.2,60.336193269006415,2024-10-18 11h41.07.356815 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,5,A,9,4,test item,1-2,resized_B_A188.png,Tür,141,resized_A_A90.png,Fabrik,4,resized_A_A02.png,Mühle,15,resized_A_A04.png,Baum,1,resized_B_A188.png,Tür,13,resized_B_B193.png,Auge,8,resized_B_A54.png,Flamme,11,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,3,3,3,73.10841740000069,,,,,,74.94154760000038,1,13,[-0.20583333 -0.23666667],1.618714600000203,77.12762770000063,,,104,A,5,2024-10-18_11h40.51.094,task,2023.2.2,60.336193269006415,2024-10-18 11h41.07.356815 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,5,A,10,5,test item,1-2,resized_A_B15.png,Schwangere,170,resized_A_B54.png,Telefon,10,resized_B_A132.png,Ente,5,resized_A_B55.png,Schlange,14,resized_A_B22.png,Kreisel,12,resized_A_B15.png,Schwangere,2,resized_A_B32.png,Kamin,7,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,4,4,4,77.27115780000076,,,,,,79.12830140000005,1,2,[-0.09916667  0.25      ],1.7856001000000106,81.4311789000003,,,104,A,5,2024-10-18_11h40.51.094,task,2023.2.2,60.336193269006415,2024-10-18 11h41.07.356815 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,5,A,10,6,test item,2-2,resized_A_B32.png,Kamin,184,resized_A_B54.png,Telefon,10,resized_B_A132.png,Ente,5,resized_A_B55.png,Schlange,14,resized_A_B22.png,Kreisel,12,resized_A_B15.png,Schwangere,2,resized_A_B32.png,Kamin,7,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,5,5,5,81.57643160000043,,,,,,83.44870540000011,1,7,[0.06916667 0.06416667],1.735280399999283,85.8515883,,,104,A,5,2024-10-18_11h40.51.094,task,2023.2.2,60.336193269006415,2024-10-18 11h41.07.356815 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,5,A,12,7,test item,2-2,resized_B_A33.png,Roboter,156,resized_B_A03.png,Kleid,1,resized_A_A148.png,Giraffe,6,resized_B_A06.png,Hut,10,resized_B_A33.png,Roboter,2,resized_B_A176.png,Trophäe,4,resized_B_A123.png,Tänzer,9,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,6,6,6,86.00098460000027,,,,,,87.86911880000025,1,2,[-0.06916667  0.21166667],1.6351801999999225,89.93847540000024,,,104,A,5,2024-10-18_11h40.51.094,task,2023.2.2,60.336193269006415,2024-10-18 11h41.07.356815 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,5,A,12,8,test item,1-2,resized_B_A176.png,Trophäe,164,resized_B_A03.png,Kleid,1,resized_A_A148.png,Giraffe,6,resized_B_A06.png,Hut,10,resized_B_A33.png,Roboter,2,resized_B_A176.png,Trophäe,4,resized_B_A123.png,Tänzer,9,13.1,13.1,5.4,2.82,2.18,3.54,3.04,2.82,1.89,2.56,1.82,LF,None,None,None,None,2,7,nn,0.580430609,1.087285506,0,7,7,7,90.08917999999994,,,,,,91.95592240000042,1,4,[0.26583333 0.25833333],2.251778799999556,94.8254719000006,,,104,A,5,2024-10-18_11h40.51.094,task,2023.2.2,60.336193269006415,2024-10-18 11h41.07.356815 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,5,A,6,9,test item,1-2,resized_B_B24.png,Baby,142,resized_B_A68.png,Lampe,8,resized_B_B70.png,Quadrat,2,resized_B_B24.png,Baby,13,resized_A_B199.png,Fisch,12,resized_A_B08.png,Person,4,resized_B_A43.png,Blatt,7,8.33,9.52,5.33,3.11,3.39,2.57,3.25,2.68,3.07,324.66,3.92,HF,1.9,2.83,6.78,3.38,2,4,nn,7.995227258,9.834620032,0,8,8,8,94.96514269999989,,,,,,96.82657220000056,1,13,[-0.29583333 -0.255     ],1.9689850000004299,99.31259860000046,,,104,A,5,2024-10-18_11h40.51.094,task,2023.2.2,60.336193269006415,2024-10-18 11h41.07.356815 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,5,A,6,10,test item,2-2,resized_A_B08.png,Person,154,resized_B_A68.png,Lampe,8,resized_B_B70.png,Quadrat,2,resized_B_B24.png,Baby,13,resized_A_B199.png,Fisch,12,resized_A_B08.png,Person,4,resized_B_A43.png,Blatt,7,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,9,9,9,99.45831850000013,,,,,,101.31376850000015,1,4,[0.21083333 0.24416667],1.6353191999996852,103.66677760000039,,,104,A,5,2024-10-18_11h40.51.094,task,2023.2.2,60.336193269006415,2024-10-18 11h41.07.356815 +0200,
