study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,139.0,2,A-B,3.0,2.0,training,3,A,2,1,test item,1-2,resized_B_A188.png,Tür,141,resized_B_A187.png,Brücke,13,resized_B_A142.png,Reiter,14,resized_B_A153.png,Schwein,2,resized_B_A188.png,Tür,4,resized_A_B55.png,Schlange,15,resized_B_A23.png,Flasche,1,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,0,0,0,51.624681199959014,,0.0010718999546952546,10.058460899977945,10.058469299983699,49.41626999998698,53.403809699986596,1,4,[0.21333333 0.2275    ],2.136481099994853,56.44056499999715,,,139,A,3,2024-12-19_13h38.50.963,task,2023.2.2,59.95379959223911,2024-12-19 13h39.09.880664 +0100,
LEALCO-EEG,139.0,2,A-B,3.0,2.0,training,3,A,2,2,test item,2-2,resized_B_A23.png,Flasche,153,resized_B_A187.png,Brücke,13,resized_B_A142.png,Reiter,14,resized_B_A153.png,Schwein,2,resized_B_A188.png,Tür,4,resized_A_B55.png,Schlange,15,resized_B_A23.png,Flasche,1,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,1,1,1,56.5802418999956,,,,,,58.44147189997602,1,1,[-0.19916667  0.21      ],1.6851117999758571,61.16149679996306,,,139,A,3,2024-12-19_13h38.50.963,task,2023.2.2,59.95379959223911,2024-12-19 13h39.09.880664 +0100,
LEALCO-EEG,139.0,2,A-B,3.0,2.0,training,3,A,12,3,test item,1-2,resized_A_B20.png,Kerze,168,resized_A_A141.png,Pferd,5,resized_B_B70.png,Quadrat,13,resized_A_A52.png,Stein,11,resized_A_B43.png,Parfüm,2,resized_A_B20.png,Kerze,4,resized_B_B206.png,Axt,12,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,2,2,2,61.29522899998119,,,,,,63.16213849995984,1,4,[0.22333333 0.3025    ],2.6861844999948516,67.09916999994311,,,139,A,3,2024-12-19_13h38.50.963,task,2023.2.2,59.95379959223911,2024-12-19 13h39.09.880664 +0100,
LEALCO-EEG,139.0,2,A-B,3.0,2.0,training,3,A,12,4,test item,2-2,resized_B_B206.png,Axt,179,resized_A_A141.png,Pferd,5,resized_B_B70.png,Quadrat,13,resized_A_A52.png,Stein,11,resized_A_B43.png,Parfüm,2,resized_A_B20.png,Kerze,4,resized_B_B206.png,Axt,12,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,3,3,3,67.23707359994296,,,,,,69.10045649996027,1,12,[ 0.26083333 -0.09416667],2.836159200000111,73.37159639998572,,,139,A,3,2024-12-19_13h38.50.963,task,2023.2.2,59.95379959223911,2024-12-19 13h39.09.880664 +0100,
LEALCO-EEG,139.0,2,A-B,3.0,2.0,training,3,A,7,5,test item,1-2,resized_A_B139.png,Trichter,169,resized_A_B54.png,Telefon,9,resized_B_A135.png,Kamel,2,resized_A_B196.png,Fenster,13,resized_B_A43.png,Blatt,6,resized_A_B139.png,Trichter,3,resized_A_A73.png,Klinge,7,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,4,4,4,73.51379979995545,,,,,,75.37245659995824,1,3,[0.08833333 0.24166667],2.685931799991522,79.05968619999476,,,139,A,3,2024-12-19_13h38.50.963,task,2023.2.2,59.95379959223911,2024-12-19 13h39.09.880664 +0100,
LEALCO-EEG,139.0,2,A-B,3.0,2.0,training,3,A,7,6,test item,2-2,resized_A_B196.png,Fenster,152,resized_A_B54.png,Telefon,9,resized_B_A135.png,Kamel,2,resized_A_B196.png,Fenster,13,resized_B_A43.png,Blatt,6,resized_A_B139.png,Trichter,3,resized_A_A73.png,Klinge,7,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,5,5,5,79.20909679995384,,,,,,81.07729209994432,1,13,[-0.23416667 -0.23083333],2.2023186999722384,84.26409549999516,,,139,A,3,2024-12-19_13h38.50.963,task,2023.2.2,59.95379959223911,2024-12-19 13h39.09.880664 +0100,
LEALCO-EEG,139.0,2,A-B,3.0,2.0,training,3,A,5,7,test item,2-2,resized_A_A151.png,Fuchs,181,resized_A_A134.png,Vogel,10,resized_B_A150.png,Känguru,2,resized_A_B56.png,Stuhl,12,resized_A_A74.png,Rubin,11,resized_A_B194.png,Raute,13,resized_A_A151.png,Fuchs,15,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,6,6,6,84.40788299997803,,,,,,86.26497469999595,1,15,[ 0.11583333 -0.23083333],2.452749499992933,89.75211339996895,,,139,A,3,2024-12-19_13h38.50.963,task,2023.2.2,59.95379959223911,2024-12-19 13h39.09.880664 +0100,
LEALCO-EEG,139.0,2,A-B,3.0,2.0,training,3,A,5,8,test item,1-2,resized_A_A74.png,Rubin,165,resized_A_A134.png,Vogel,10,resized_B_A150.png,Känguru,2,resized_A_B56.png,Stuhl,12,resized_A_A74.png,Rubin,11,resized_A_B194.png,Raute,13,resized_A_A151.png,Fuchs,15,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,7,7,7,89.8927475999808,,,,,,91.75299769995036,1,11,[ 0.0775 -0.0525],1.5677992000128143,94.15539589995751,,,139,A,3,2024-12-19_13h38.50.963,task,2023.2.2,59.95379959223911,2024-12-19 13h39.09.880664 +0100,
LEALCO-EEG,139.0,2,A-B,3.0,2.0,training,3,A,8,9,test item,2-2,resized_B_A54.png,Flamme,178,resized_B_A156.png,Bär,13,resized_A_B78.png,Pfeil,9,resized_B_B180.png,Geist,11,resized_B_A37.png,Tasse,14,resized_A_B15.png,Schwangere,8,resized_B_A54.png,Flamme,15,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,8,8,8,94.29925979999825,,,,,,96.15677869995125,1,15,[ 0.0625     -0.21333333],3.2698494999785908,100.46128489996772,,,139,A,3,2024-12-19_13h38.50.963,task,2023.2.2,59.95379959223911,2024-12-19 13h39.09.880664 +0100,
LEALCO-EEG,139.0,2,A-B,3.0,2.0,training,3,A,8,10,test item,1-2,resized_A_B15.png,Schwangere,170,resized_B_A156.png,Bär,13,resized_A_B78.png,Pfeil,9,resized_B_B180.png,Geist,11,resized_B_A37.png,Tasse,14,resized_A_B15.png,Schwangere,8,resized_B_A54.png,Flamme,15,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,9,9,9,100.60120019997703,,,,,,102.46198139997432,1,8,[0.25916667 0.06833333],2.3190579999936745,105.68224509997526,,,139,A,3,2024-12-19_13h38.50.963,task,2023.2.2,59.95379959223911,2024-12-19 13h39.09.880664 +0100,
