study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,143.0,2,B-A,3.0,1.0,training,3,A,9,1,test item,2-2,resized_A_A151.png,Fuchs,181,resized_A_B192.png,Katze,3,resized_A_A02.png,Mühle,14,resized_A_B150.png,Rakete,12,resized_A_B168.png,Frau,13,resized_B_B143.png,Tanne,1,resized_A_A151.png,Fuchs,16,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,0,0,0,53.68895909999992,,0.0010829000002559042,10.06725280000046,10.067261500000313,51.482977100000426,55.4696672,1,16,[ 0.3125     -0.22833333],1.869946499999969,58.33947310000076,,,,,,,143,A,3,2025-01-08_13h48.38.332,task,2023.2.2,59.61262523897646,2025-01-08 13h48.51.792916 +0100,
LEALCO-EEG,143.0,2,B-A,3.0,1.0,training,3,A,9,2,test item,1-2,resized_A_B168.png,Frau,136,resized_A_B192.png,Katze,3,resized_A_A02.png,Mühle,14,resized_A_B150.png,Rakete,12,resized_A_B168.png,Frau,13,resized_B_B143.png,Tanne,1,resized_A_A151.png,Fuchs,16,9.41,28.24,5.66,3.45,2.64,3.07,3.69,1.93,2.71,857.36,4.34,HF,1.4,2.5,6.56,3.68,1,4,nn,472.6503672,625.2055164,0,1,1,1,58.4799378000007,,,,,,60.340536700000484,1,13,[-0.235      -0.22083333],2.0685562999997273,63.29356120000011,,,,,,,143,A,3,2025-01-08_13h48.38.332,task,2023.2.2,59.61262523897646,2025-01-08 13h48.51.792916 +0100,
LEALCO-EEG,143.0,2,B-A,3.0,1.0,training,3,A,4,3,test item,2-2,resized_A_B32.png,Kamin,184,resized_A_A141.png,Pferd,8,resized_B_C01.png,Kaninchen,11,resized_B_A37.png,Tasse,7,resized_A_B22.png,Kreisel,2,resized_A_B139.png,Trichter,9,resized_A_B32.png,Kamin,4,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,2,2,2,63.43821079999998,,,,,,65.29469020000033,1,4,[0.225  0.2475],2.685306800000035,69.06513500000074,,,,,,,143,A,3,2025-01-08_13h48.38.332,task,2023.2.2,59.61262523897646,2025-01-08 13h48.51.792916 +0100,
LEALCO-EEG,143.0,2,B-A,3.0,1.0,training,3,A,4,4,test item,1-2,resized_A_B139.png,Trichter,169,resized_A_A141.png,Pferd,8,resized_B_C01.png,Kaninchen,11,resized_B_A37.png,Tasse,7,resized_A_B22.png,Kreisel,2,resized_A_B139.png,Trichter,9,resized_A_B32.png,Kamin,4,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,3,3,3,69.21675800000048,,,,,,71.08294560000013,1,9,[-0.27166667 -0.07583333],2.1352655000000595,74.40313800000058,,,,,,,143,A,3,2025-01-08_13h48.38.332,task,2023.2.2,59.61262523897646,2025-01-08 13h48.51.792916 +0100,
LEALCO-EEG,143.0,2,B-A,3.0,1.0,training,3,A,7,5,test item,1-2,resized_A_A74.png,Rubin,165,resized_A_B109.png,Boot,12,resized_B_A140.png,Flamingo,16,resized_B_A129.png,Huhn,11,resized_B_A43.png,Blatt,4,resized_A_A74.png,Rubin,2,resized_B_A54.png,Flamme,5,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,4,4,4,74.5511819000003,,,,,,76.42074420000063,1,2,[-0.10083333  0.30083333],1.8518410999995467,79.25727069999994,,,,,,,143,A,3,2025-01-08_13h48.38.332,task,2023.2.2,59.61262523897646,2025-01-08 13h48.51.792916 +0100,
LEALCO-EEG,143.0,2,B-A,3.0,1.0,training,3,A,7,6,test item,2-2,resized_B_A54.png,Flamme,178,resized_A_B109.png,Boot,12,resized_B_A140.png,Flamingo,16,resized_B_A129.png,Huhn,11,resized_B_A43.png,Blatt,4,resized_A_A74.png,Rubin,2,resized_B_A54.png,Flamme,5,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,5,5,5,79.39915689999998,,,,,,81.25817319999987,1,5,[-0.2525  0.0925],2.319049200000336,84.51145129999986,,,,,,,143,A,3,2025-01-08_13h48.38.332,task,2023.2.2,59.61262523897646,2025-01-08 13h48.51.792916 +0100,
LEALCO-EEG,143.0,2,B-A,3.0,1.0,training,3,A,8,7,test item,1-2,resized_A_B15.png,Schwangere,170,resized_B_A03.png,Kleid,13,resized_B_A150.png,Känguru,11,resized_A_B56.png,Stuhl,12,resized_B_A33.png,Roboter,5,resized_A_B15.png,Schwangere,10,resized_A_A122.png,Sturz,7,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,6,6,6,84.64874600000076,,,,,,86.51249960000041,1,10,[-0.10666667 -0.08416667],1.8021037999997134,89.34880500000054,,,,,,,143,A,3,2025-01-08_13h48.38.332,task,2023.2.2,59.61262523897646,2025-01-08 13h48.51.792916 +0100,
LEALCO-EEG,143.0,2,B-A,3.0,1.0,training,3,A,8,8,test item,2-2,resized_B_A33.png,Roboter,156,resized_B_A03.png,Kleid,13,resized_B_A150.png,Känguru,11,resized_A_B56.png,Stuhl,12,resized_B_A33.png,Roboter,5,resized_A_B15.png,Schwangere,10,resized_A_A122.png,Sturz,7,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,7,7,7,89.48725880000075,,,,,,91.34995049999998,1,5,[-0.21916667  0.0775    ],3.0694329999996626,95.40405689999989,,,,,,,143,A,3,2025-01-08_13h48.38.332,task,2023.2.2,59.61262523897646,2025-01-08 13h48.51.792916 +0100,
LEALCO-EEG,143.0,2,B-A,3.0,1.0,training,3,A,5,9,test item,1-2,resized_B_A188.png,Tür,141,resized_A_B157.png,Hammer,4,resized_B_A132.png,Ente,10,resized_B_B180.png,Geist,13,resized_B_A188.png,Tür,6,resized_B_B152.png,Säge,16,resized_A_B33.png,Zünder,1,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,8,8,8,95.55178090000027,,,,,,97.40510900000027,1,6,[-0.07916667  0.06166667],2.0351948000006814,100.45834620000005,,,,,,,143,A,3,2025-01-08_13h48.38.332,task,2023.2.2,59.61262523897646,2025-01-08 13h48.51.792916 +0100,
LEALCO-EEG,143.0,2,B-A,3.0,1.0,training,3,A,5,10,test item,2-2,resized_A_B33.png,Zünder,180,resized_A_B157.png,Hammer,4,resized_B_A132.png,Ente,10,resized_B_B180.png,Geist,13,resized_B_A188.png,Tür,6,resized_B_B152.png,Säge,16,resized_A_B33.png,Zünder,1,10.59,11.76,5.31,3.07,2.71,2.32,2.93,3,2.54,4.8,2.09,LF,None,None,None,None,2,6,nn,0.711231873,0.825682979,0,9,9,9,100.59609960000034,,,,,,102.45939690000068,1,1,[-0.26916667  0.25833333],2.2854348999999274,105.92972920000011,,,,,,,143,A,3,2025-01-08_13h48.38.332,task,2023.2.2,59.61262523897646,2025-01-08 13h48.51.792916 +0100,
