study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,124.0,1,B-A,4.0,1.0,training,3,A,6,1,test item,2-2,resized_A_B32.png,Kamin,184,resized_B_A03.png,Kleid,11,resized_B_A132.png,Ente,5,resized_B_B177.png,Schloss,10,resized_B_B193.png,Auge,13,resized_A_A74.png,Rubin,6,resized_A_B32.png,Kamin,16,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,0,0,0,34.78737679999995,,0.0011102000007667812,10.062930100000813,10.062939800000095,32.56912580000062,36.55589190000046,1,16,[ 0.20583333 -0.22833333],2.870927599999959,39.95968200000061,,124,A,3,2025-01-03_14h13.36.620,task,2023.2.2,59.59727735806374,2025-01-03 14h13.48.294990 +0100,
LEALCO-EEG,124.0,1,B-A,4.0,1.0,training,3,A,6,2,test item,1-2,resized_A_A74.png,Rubin,165,resized_B_A03.png,Kleid,11,resized_B_A132.png,Ente,5,resized_B_B177.png,Schloss,10,resized_B_B193.png,Auge,13,resized_A_A74.png,Rubin,6,resized_A_B32.png,Kamin,16,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,1,1,1,40.12561170000026,,,,,,41.96043460000055,1,6,[-0.06333333  0.06      ],1.6354533000003357,44.11319210000056,,124,A,3,2025-01-03_14h13.36.620,task,2023.2.2,59.59727735806374,2025-01-03 14h13.48.294990 +0100,
LEALCO-EEG,124.0,1,B-A,4.0,1.0,training,3,A,11,3,test item,2-2,resized_A_A179.png,Drachen,150,resized_A_A93.png,Haus,7,resized_B_A135.png,Kamel,13,resized_A_A179.png,Drachen,11,resized_A_A100.png,Ruderer,8,resized_A_B139.png,Trichter,15,resized_A_A122.png,Sturz,1,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,2,2,2,44.26027390000036,,,,,,46.11395900000025,1,1,[-0.24583333  0.30583333],2.319075299999895,48.91727440000068,,124,A,3,2025-01-03_14h13.36.620,task,2023.2.2,59.59727735806374,2025-01-03 14h13.48.294990 +0100,
LEALCO-EEG,124.0,1,B-A,4.0,1.0,training,3,A,11,4,test item,1-2,resized_A_B139.png,Trichter,169,resized_A_A93.png,Haus,7,resized_B_A135.png,Kamel,13,resized_A_A179.png,Drachen,11,resized_A_A100.png,Ruderer,8,resized_A_B139.png,Trichter,15,resized_A_A122.png,Sturz,1,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,3,3,3,49.06599430000006,,,,,,50.934641300000294,1,15,[ 0.10833333 -0.215     ],5.338391899999806,57.10756170000059,,124,A,3,2025-01-03_14h13.36.620,task,2023.2.2,59.59727735806374,2025-01-03 14h13.48.294990 +0100,
LEALCO-EEG,124.0,1,B-A,4.0,1.0,training,3,A,13,5,test item,1-2,resized_B_A188.png,Tür,141,resized_B_A68.png,Lampe,14,resized_A_A02.png,Mühle,8,resized_A_A04.png,Baum,15,resized_B_A188.png,Tür,2,resized_A_B196.png,Fenster,9,resized_B_B143.png,Tanne,13,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,4,4,4,57.25788660000035,,,,,,59.1248669000006,1,2,[-0.09416667  0.23333333],1.918780699999843,61.67793450000045,,124,A,3,2025-01-03_14h13.36.620,task,2023.2.2,59.59727735806374,2025-01-03 14h13.48.294990 +0100,
LEALCO-EEG,124.0,1,B-A,4.0,1.0,training,3,A,13,6,test item,2-2,resized_A_B196.png,Fenster,152,resized_B_A68.png,Lampe,14,resized_A_A02.png,Mühle,8,resized_A_A04.png,Baum,15,resized_B_A188.png,Tür,2,resized_A_B196.png,Fenster,9,resized_B_B143.png,Tanne,13,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,5,5,5,61.82410010000058,,,,,,63.679066100000455,1,9,[-0.235      -0.11416667],1.8016750999995566,66.1818290000001,,124,A,3,2025-01-03_14h13.36.620,task,2023.2.2,59.59727735806374,2025-01-03 14h13.48.294990 +0100,
LEALCO-EEG,124.0,1,B-A,4.0,1.0,training,3,A,5,7,test item,2-2,resized_A_B08.png,Person,154,resized_B_B155.png,Messer,3,resized_B_A150.png,Känguru,13,resized_A_B08.png,Person,7,resized_B_A43.png,Blatt,12,resized_A_B20.png,Kerze,10,resized_A_A73.png,Klinge,6,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,6,6,6,66.33534190000046,,,,,,68.19921630000044,1,7,[0.0775     0.11916667],2.0187958000005892,70.76893700000073,,124,A,3,2025-01-03_14h13.36.620,task,2023.2.2,59.59727735806374,2025-01-03 14h13.48.294990 +0100,
LEALCO-EEG,124.0,1,B-A,4.0,1.0,training,3,A,5,8,test item,1-2,resized_A_B20.png,Kerze,168,resized_B_B155.png,Messer,3,resized_B_A150.png,Känguru,13,resized_A_B08.png,Person,7,resized_B_A43.png,Blatt,12,resized_A_B20.png,Kerze,10,resized_A_A73.png,Klinge,6,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,7,7,7,70.90818710000076,,,,,,72.76977530000022,1,10,[-0.02583333 -0.0875    ],1.4352215999997497,75.22267680000004,,124,A,3,2025-01-03_14h13.36.620,task,2023.2.2,59.59727735806374,2025-01-03 14h13.48.294990 +0100,
LEALCO-EEG,124.0,1,B-A,4.0,1.0,training,3,A,14,9,test item,1-2,resized_A_A113.png,Engel,139,resized_B_A156.png,Bär,4,resized_B_A140.png,Flamingo,16,resized_A_A113.png,Engel,1,resized_B_B49.png,Magnet,13,resized_B_B152.png,Säge,2,resized_A_A151.png,Fuchs,10,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,8,8,8,75.36760690000028,,,,,,77.22352740000042,1,1,[-0.22        0.22083333],1.6183324000003267,79.47627290000037,,124,A,3,2025-01-03_14h13.36.620,task,2023.2.2,59.59727735806374,2025-01-03 14h13.48.294990 +0100,
LEALCO-EEG,124.0,1,B-A,4.0,1.0,training,3,A,14,10,test item,2-2,resized_A_A151.png,Fuchs,181,resized_B_A156.png,Bär,4,resized_B_A140.png,Flamingo,16,resized_A_A113.png,Engel,1,resized_B_B49.png,Magnet,13,resized_B_B152.png,Säge,2,resized_A_A151.png,Fuchs,10,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,9,9,9,79.6189032000002,,,,,,81.47710580000057,1,10,[-0.05916667 -0.13916667],1.9855608000007123,84.04677790000005,,124,A,3,2025-01-03_14h13.36.620,task,2023.2.2,59.59727735806374,2025-01-03 14h13.48.294990 +0100,
