study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,closing_screen.started,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,119.0,1,A-B,3.0,2.0,training,2,A,2,1,test item,2-2,resized_A_A151.png,Fuchs,181,resized_B_B155.png,Messer,7,resized_B_A197.png,Hirsch,1,resized_B_A185.png,Gesicht,4,resized_B_A43.png,Blatt,5,resized_A_B194.png,Raute,16,resized_A_A151.png,Fuchs,3,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,0,0,0,45.72147920000043,,0.0011143000001538894,10.065630500000225,10.065639500000543,43.51320570000007,47.50067240000044,1,3,[0.09583333 0.255     ],1.920086000000083,49.98659029999999,,,,,,119,A,2,2024-11-07_10h22.11.475,task,2023.2.2,59.58861213950262,2024-11-07 10h22.17.835449 +0100,
LEALCO-EEG,119.0,1,A-B,3.0,2.0,training,2,A,2,2,test item,1-2,resized_B_A185.png,Gesicht,138,resized_B_B155.png,Messer,7,resized_B_A197.png,Hirsch,1,resized_B_A185.png,Gesicht,4,resized_B_A43.png,Blatt,5,resized_A_B194.png,Raute,16,resized_A_A151.png,Fuchs,3,14.46,34.52,5.44,3.5,2.39,3.57,3.32,2.39,2.89,195.05,3.695,HF,1,2.67,6,3.79,2,7,nn,196.2591215,239.1537609,0,1,1,1,50.121729000000414,,,,,,51.9877032000004,1,4,[0.24833333 0.23166667],2.0189166000000114,54.540856700000404,,,,,,119,A,2,2024-11-07_10h22.11.475,task,2023.2.2,59.58861213950262,2024-11-07 10h22.17.835449 +0100,
LEALCO-EEG,119.0,1,A-B,3.0,2.0,training,2,A,1,3,test item,2-2,resized_A_B08.png,Person,154,resized_A_B54.png,Telefon,1,resized_B_A140.png,Flamingo,6,resized_A_B56.png,Stuhl,9,resized_A_A52.png,Stein,2,resized_A_B08.png,Person,5,resized_A_B20.png,Kerze,3,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,2,2,2,54.685889000000316,,,,,,56.54170980000072,1,5,[-0.25333333  0.05416667],3.5202334000005067,60.67936120000013,,,,,,119,A,2,2024-11-07_10h22.11.475,task,2023.2.2,59.58861213950262,2024-11-07 10h22.17.835449 +0100,
LEALCO-EEG,119.0,1,A-B,3.0,2.0,training,2,A,1,4,test item,1-2,resized_A_B20.png,Kerze,168,resized_A_B54.png,Telefon,1,resized_B_A140.png,Flamingo,6,resized_A_B56.png,Stuhl,9,resized_A_A52.png,Stein,2,resized_A_B08.png,Person,5,resized_A_B20.png,Kerze,3,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,3,3,3,60.82042480000018,,,,,,62.680086700000174,1,3,[0.07333333 0.26      ],2.169096399999944,65.45004750000044,,,,,,119,A,2,2024-11-07_10h22.11.475,task,2023.2.2,59.58861213950262,2024-11-07 10h22.17.835449 +0100,
LEALCO-EEG,119.0,1,A-B,3.0,2.0,training,2,A,10,5,test item,1-2,resized_A_A74.png,Rubin,165,resized_B_A68.png,Lampe,6,resized_A_A148.png,Giraffe,12,resized_B_B177.png,Schloss,15,resized_B_A181.png,Wolf,3,resized_A_A74.png,Rubin,1,resized_B_B143.png,Tanne,14,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,4,4,4,65.60384440000053,,,,,,67.46750330000032,1,1,[-0.23416667  0.20833333],2.5858687999998438,70.58755920000021,,,,,,119,A,2,2024-11-07_10h22.11.475,task,2023.2.2,59.58861213950262,2024-11-07 10h22.17.835449 +0100,
LEALCO-EEG,119.0,1,A-B,3.0,2.0,training,2,A,10,6,test item,2-2,resized_B_A181.png,Wolf,155,resized_B_A68.png,Lampe,6,resized_A_A148.png,Giraffe,12,resized_B_B177.png,Schloss,15,resized_B_A181.png,Wolf,3,resized_A_A74.png,Rubin,1,resized_B_B143.png,Tanne,14,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,5,5,5,70.72628680000071,,,,,,72.5886973000006,1,3,[0.07       0.21416667],2.735824600000342,75.92541710000023,,,,,,119,A,2,2024-11-07_10h22.11.475,task,2023.2.2,59.58861213950262,2024-11-07 10h22.17.835449 +0100,
LEALCO-EEG,119.0,1,A-B,3.0,2.0,training,2,A,5,7,test item,2-2,resized_A_B196.png,Fenster,152,resized_A_B109.png,Boot,7,resized_B_A132.png,Ente,11,resized_B_B180.png,Geist,14,resized_A_B55.png,Schlange,10,resized_A_B196.png,Fenster,2,resized_A_B139.png,Trichter,8,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,6,6,6,76.06887270000061,,,,,,77.92630390000068,1,2,[-0.0875      0.27583333],3.103219800000261,81.96380769999996,,,,,,119,A,2,2024-11-07_10h22.11.475,task,2023.2.2,59.58861213950262,2024-11-07 10h22.17.835449 +0100,
LEALCO-EEG,119.0,1,A-B,3.0,2.0,training,2,A,5,8,test item,1-2,resized_A_B139.png,Trichter,169,resized_A_B109.png,Boot,7,resized_B_A132.png,Ente,11,resized_B_B180.png,Geist,14,resized_A_B55.png,Schlange,10,resized_A_B196.png,Fenster,2,resized_A_B139.png,Trichter,8,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,7,7,7,82.10552090000056,,,,,,83.96472810000068,1,8,[0.26833333 0.04833333],2.435722000000169,87.08471110000028,,,,,,119,A,2,2024-11-07_10h22.11.475,task,2023.2.2,59.58861213950262,2024-11-07 10h22.17.835449 +0100,
LEALCO-EEG,119.0,1,A-B,3.0,2.0,training,2,A,14,9,test item,2-2,resized_B_B164.png,kimono,182,resized_A_A134.png,Vogel,6,resized_A_A02.png,Mühle,11,resized_B_A36.png,Stern,3,resized_B_A77.png,Hang,9,resized_A_B39.png,Sessel,5,resized_B_B164.png,kimono,10,9.52,19.05,5.98,2.86,2.89,2.89,2.61,3.43,2.86,2.09,1.73,LF,None,None,None,None,3,6,nn,0.008175079,0.465979503,0,8,8,8,87.23601670000062,,,,,,89.10231830000066,1,10,[-0.03166667 -0.07      ],2.068895700000212,91.67197490000035,,,,,,119,A,2,2024-11-07_10h22.11.475,task,2023.2.2,59.58861213950262,2024-11-07 10h22.17.835449 +0100,
LEALCO-EEG,119.0,1,A-B,3.0,2.0,training,2,A,14,10,test item,1-2,resized_B_A36.png,Stern,140,resized_A_A134.png,Vogel,6,resized_A_A02.png,Mühle,11,resized_B_A36.png,Stern,3,resized_B_A77.png,Hang,9,resized_A_B39.png,Sessel,5,resized_B_B164.png,kimono,10,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,9,9,9,91.8244566000003,,,,,,93.68955860000005,1,3,[0.07583333 0.25166667],2.8522377999997843,97.04320400000051,,,,,,119,A,2,2024-11-07_10h22.11.475,task,2023.2.2,59.58861213950262,2024-11-07 10h22.17.835449 +0100,
