study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,2,11,test item,2-1,resized_A_B39.png,Sessel,172,resized_B_A156.png,Bär,16,resized_B_A140.png,Flamingo,7,resized_B_A06.png,Hut,9,resized_A_B08.png,Person,4,resized_B_A176.png,Trophäe,13,resized_A_B39.png,Sessel,11,11.9,12.94,5.47,3.1,2.79,2.89,3.17,2.17,2.75,4.61,2.07,LF,1.4,1.78,5.82,3.23,2,6,nn,15.00126996,17.24941668,0,10,10,10,95.16394569998374,,,,,,97.02636249997886,1,11,[ 0.10916667 -0.04583333],1.584498300042469,,,,,99.1789565999643,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,2,12,test item,1-1,resized_B_A06.png,Hut,135,resized_B_A156.png,Bär,16,resized_B_A140.png,Flamingo,7,resized_B_A06.png,Hut,9,resized_A_B08.png,Person,4,resized_B_A176.png,Trophäe,13,resized_A_B39.png,Sessel,11,25,30.95,4.37,3.43,3.07,2.11,3.25,2.14,3.15,45.91,3.067,HF,None,None,None,4,1,3,nn,33.34614722,41.24327353,0,11,11,11,99.32377979997545,,,,,,101.1798284999677,1,9,[-0.26916667 -0.12166667],1.43489450000925,,,,,103.16569449997041,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,4,13,test item,2-1,resized_A_B55.png,Schlange,143,resized_A_A93.png,Haus,2,resized_B_A132.png,Ente,8,resized_B_A185.png,Gesicht,16,resized_A_B55.png,Schlange,14,resized_B_A23.png,Flasche,7,resized_A_B22.png,Kreisel,1,15.29,15.29,4.53,3.17,2.96,1.93,2.62,1.83,2.46,29.84,2.88,HF,None,None,None,None,2,8,nn,8.829085316,13.96303493,0,12,12,12,103.30551430000924,,,,,,105.16680150001775,1,14,[-0.0975     -0.25833333],1.734841099998448,,,,,107.50255350000225,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,4,14,test item,1-1,resized_A_B22.png,Kreisel,158,resized_A_A93.png,Haus,2,resized_B_A132.png,Ente,8,resized_B_A185.png,Gesicht,16,resized_A_B55.png,Schlange,14,resized_B_A23.png,Flasche,7,resized_A_B22.png,Kreisel,1,17.65,17.65,5.31,2.62,2.54,2.82,3,2.17,2.59,0.55,1.18,LF,0.68,2.86,5.09,4.35,2,7,nn,1.348888034,1.585965325,0,13,13,13,107.6498790999758,,,,,,109.5201985000167,1,1,[-0.28083333  0.25916667],2.602541000000201,,,,,112.74035530001856,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,9,15,test item,1-1,resized_A_B150.png,Rakete,134,resized_B_A187.png,Brücke,12,resized_B_A135.png,Kamel,15,resized_A_B150.png,Rakete,7,resized_B_A188.png,Tür,4,resized_A_A52.png,Stein,3,resized_B_A181.png,Wolf,6,28.92,30.59,4.48,2.93,2.61,3.14,3.14,2.41,2.59,16.02,2.61,HF,-0.6,3.47,6.67,4.87,3,6,nn,3.507108889,12.47517055,0,14,14,14,112.88718770002015,,,,,,114.75797749997582,1,7,[0.06833333 0.05833333],1.8186224999953993,,,,,117.14412650000304,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,9,16,test item,2-1,resized_A_A52.png,Stein,149,resized_B_A187.png,Brücke,12,resized_B_A135.png,Kamel,15,resized_A_B150.png,Rakete,7,resized_B_A188.png,Tür,4,resized_A_A52.png,Stein,3,resized_B_A181.png,Wolf,6,4.71,5.88,5.95,2.55,2.21,3.04,2.28,2.41,1.89,43.86,3.05,HF,0.23,2,5.5,2.58,1,5,nn,37.40098641,66.14456416,0,15,15,15,117.28435949998675,,,,,,119.14494430000195,1,3,[0.115      0.28916667],1.8852952999877743,,,,,121.58111470000586,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,14,17,test item,1-1,resized_A_A04.png,Baum,130,resized_A_A134.png,Vogel,6,resized_B_A142.png,Reiter,3,resized_A_A04.png,Baum,16,resized_B_B24.png,Baby,4,resized_B_B143.png,Tanne,2,resized_B_A70.png,Brunnen,12,20.73,40,4.8,2.9,2.68,2.57,3.24,2.34,2.56,40.24,3.01,HF,1.5,1.5,6.67,2.85,1,4,nn,26.37280484,74.55672044,0,16,16,16,121.71858859999338,,,,,,123.58204969996586,1,16,[ 0.23666667 -0.22583333],2.1186970000271685,,,,,126.35190930002136,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,14,18,test item,2-1,resized_B_B143.png,Tanne,175,resized_A_A134.png,Vogel,6,resized_B_A142.png,Reiter,3,resized_A_A04.png,Baum,16,resized_B_B24.png,Baby,4,resized_B_B143.png,Tanne,2,resized_B_A70.png,Brunnen,12,22.62,26.19,4.2,3.75,3.07,2.54,3.21,2.25,2.96,0.43,1.08,LF,1.25,1.6,5.73,4.3,2,5,nn,1.177211375,3.507108889,0,17,17,17,126.49600149999605,,,,,,128.36948439996922,1,2,[-0.08583333  0.2325    ],2.0185614000074565,,,,,131.12285709998105,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,7,19,test item,2-1,resized_B_B193.png,Auge,145,resized_B_A147.png,Hund,7,resized_A_B78.png,Pfeil,13,resized_B_A36.png,Stern,11,resized_B_B193.png,Auge,3,resized_B_A33.png,Roboter,8,resized_A_A100.png,Ruderer,10,3.61,10.71,5.94,2.68,2.29,2.68,3.39,2.89,2.07,92.05,3.37,HF,1.12,2.06,6.65,2.69,2,4,nn,77.94937823,392.1258391,0,18,18,18,131.30284339998616,,,,,,133.1234034000081,1,3,[0.09083333 0.28083333],1.718491899955552,,,,,135.27595899999142,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,7,20,test item,1-1,resized_A_A100.png,Ruderer,162,resized_B_A147.png,Hund,7,resized_A_B78.png,Pfeil,13,resized_B_A36.png,Stern,11,resized_B_B193.png,Auge,3,resized_B_A33.png,Roboter,8,resized_A_A100.png,Ruderer,10,8.33,31.76,5.68,3.72,3.18,2.93,3.14,2.52,3.22,0.16,0.699,LF,None,None,None,None,3,7,nn,0.768457426,0.907433769,0,19,19,19,135.44748909998452,,,,,,137.29365469998447,1,10,[-0.05666667 -0.09      ],1.3682446999591775,,,,,139.2127234999789,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,1,21,test item,1-1,resized_B_B49.png,Magnet,163,resized_A_B109.png,Boot,11,resized_A_A139.png,Gans,3,resized_B_A129.png,Huhn,13,resized_B_B49.png,Magnet,16,resized_B_A11.png,Medaille,7,resized_A_B33.png,Zünder,5,15.48,15.48,4.88,2.93,3.11,1.89,2.93,2.79,3.11,1.5,1.591,LF,0.6,2.21,6.22,6.74,2,6,nn,1.119985822,3.000253992,0,20,20,20,139.36224729998503,,,,,,141.23029699997278,1,16,[ 0.19833333 -0.24      ],2.769224099989515,,,,,144.66741280001588,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,1,22,test item,2-1,resized_B_A129.png,Huhn,146,resized_A_B109.png,Boot,11,resized_A_A139.png,Gans,3,resized_B_A129.png,Huhn,13,resized_B_B49.png,Magnet,16,resized_B_A11.png,Medaille,7,resized_A_B33.png,Zünder,5,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,21,21,21,144.81978449999588,,,,,,146.6848834999837,1,13,[-0.28166667 -0.2575    ],1.9185264999978244,,,,,149.25452529999893,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,5,23,test item,1-1,resized_A_B56.png,Stuhl,133,resized_A_B192.png,Katze,4,resized_B_B19.png,Krawatte,10,resized_A_B56.png,Stuhl,14,resized_A_B199.png,Fisch,16,resized_A_A74.png,Rubin,13,resized_A_A151.png,Fuchs,7,35.29,36.47,4.11,3.41,3.43,1.75,3.31,1.79,2.86,30.67,2.892,HF,0.5,1.82,6.23,2.86,1,5,nn,33.05184438,50.36666169,0,22,22,22,149.39650540001458,,,,,,151.25543239997933,1,14,[-0.05333333 -0.21166667],1.8684386999811977,,,,,153.6918941999902,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,5,24,test item,2-1,resized_A_B199.png,Fisch,148,resized_A_B192.png,Katze,4,resized_B_B19.png,Krawatte,10,resized_A_B56.png,Stuhl,14,resized_A_B199.png,Fisch,16,resized_A_A74.png,Rubin,13,resized_A_A151.png,Fuchs,7,20.48,24.71,5.03,2.48,2.46,2.71,3.03,2.38,2.68,42.72,3.04,HF,0.36,2.36,5.86,2.76,1,5,nn,16.26023212,42.6575622,0,23,23,23,153.8259596999851,,,,,,155.69246869999915,1,16,[ 0.24333333 -0.24083333],2.602035599993542,,,,,158.81257259997074,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,8,25,test item,1-1,resized_B_A77.png,Hang,161,resized_B_A03.png,Kleid,6,resized_B_C01.png,Kaninchen,13,resized_B_B73.png,Treppe,10,resized_A_B196.png,Fenster,3,resized_B_A77.png,Hang,4,resized_A_A122.png,Sturz,7,19.28,21.43,5.19,3.26,3,2.14,2.93,2.89,2.61,2.8,1.86,LF,None,None,None,None,1,4,nn,7.365746175,11.15898283,0,24,24,24,158.95091740001226,,,,,,160.813428799971,1,4,[0.25833333 0.29416667],2.2851510999607854,,,,,163.7334146000212,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,8,26,test item,2-1,resized_A_A122.png,Sturz,176,resized_B_A03.png,Kleid,6,resized_B_C01.png,Kaninchen,13,resized_B_B73.png,Treppe,10,resized_A_B196.png,Fenster,3,resized_B_A77.png,Hang,4,resized_A_A122.png,Sturz,7,3.53,4.71,6.19,2.48,2.25,3.89,3.21,2.62,1.79,6.26,2.2,LF,-1.6,3.76,5.56,3.8,1,5,nn,13.16187718,16.13760594,0,25,25,25,163.86597959999926,,,,,,165.73427790001733,1,7,[0.04333333 0.06166667],2.2856039999751374,,,,,168.58742860000348,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,10,27,test item,2-1,resized_A_A73.png,Klinge,177,resized_B_A68.png,Lampe,10,resized_B_A150.png,Känguru,6,resized_B_B177.png,Schloss,3,resized_B_B167.png,Fliege,13,resized_A_B139.png,Trichter,14,resized_A_A73.png,Klinge,15,7.23,12.94,5.75,2.83,3.25,1.96,2.9,2.41,2.82,10.79,2.44,LF,-1.3,3.68,5.14,6.37,2,6,nn,2.346247672,4.308266631,0,26,26,26,168.72727229999145,,,,,,170.58843040000647,1,15,[ 0.07333333 -0.25916667],2.6358435999718495,,,,,173.84210359997815,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,10,28,test item,1-1,resized_B_B177.png,Schloss,132,resized_B_A68.png,Lampe,10,resized_B_A150.png,Känguru,6,resized_B_B177.png,Schloss,3,resized_B_B167.png,Fliege,13,resized_A_B139.png,Trichter,14,resized_A_A73.png,Klinge,15,25,32.14,4.02,3.43,2.93,3.07,3.36,2.43,3,46.3,3.071,HF,None,None,None,None,1,7,nn,0.989184559,53.18706395,0,27,27,27,173.98176749999402,,,,,,175.8429265000159,1,3,[0.06583333 0.2725    ],2.0518393000238575,,,,,178.4792618000065,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.4956243999768,188.48592389997793,,,,,,,,,
