study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,155.0,3,B_A,1.0,1.0,training,1,B,10,1,test item,1-2,resized_A_A166.png,Pyramide,166,resized_A_B157.png,Hammer,10,resized_A_A139.png,Gans,11,resized_B_A181.png,Wolf,15,resized_B_B49.png,Magnet,7,resized_A_A166.png,Pyramide,1,resized_B_B152.png,Säge,9,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,0,0,0,44.28479150000203,,0.001038500002323417,10.059478400002263,10.059487599999557,42.12029420000181,46.10801720000018,1,1,[-0.2875      0.22416667],5.598032900001272,53.04796740000165,,,155,B,1,2025-05-13_16h00.59.056,task,2023.2.2,59.92189779795471,2025-05-13 16h02.47.256123 +0200,
LEALCO-EEG,155.0,3,B_A,1.0,1.0,training,1,B,10,2,test item,2-2,resized_B_A181.png,Wolf,155,resized_A_B157.png,Hammer,10,resized_A_A139.png,Gans,11,resized_B_A181.png,Wolf,15,resized_B_B49.png,Magnet,7,resized_A_A166.png,Pyramide,1,resized_B_B152.png,Säge,9,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,1,1,1,53.17616110000017,,,,,,55.04892440000185,1,15,[ 0.08416667 -0.24333333],8.757576899999549,65.3246293000011,,,155,B,1,2025-05-13_16h00.59.056,task,2023.2.2,59.92189779795471,2025-05-13 16h02.47.256123 +0200,
LEALCO-EEG,155.0,3,B_A,1.0,1.0,training,1,B,12,3,test item,1-2,resized_B_B73.png,Treppe,137,resized_A_A134.png,Vogel,13,resized_B_A135.png,Kamel,4,resized_B_B177.png,Schloss,15,resized_B_B73.png,Treppe,10,resized_A_B08.png,Person,5,resized_A_B194.png,Raute,1,21.43,30.95,4.8,3.21,3.36,1.79,2.68,2.29,2.75,25,2.8,HF,0.05,2.36,5.95,3.25,2,6,nn,30.73829702,39.50198171,0,2,2,2,65.46152860000075,,,,,,67.32596560000093,1,10,[-0.065 -0.09 ],5.33811500000229,73.6482270000015,,,155,B,1,2025-05-13_16h00.59.056,task,2023.2.2,59.92189779795471,2025-05-13 16h02.47.256123 +0200,
LEALCO-EEG,155.0,3,B_A,1.0,1.0,training,1,B,12,4,test item,2-2,resized_A_B08.png,Person,154,resized_A_A134.png,Vogel,13,resized_B_A135.png,Kamel,4,resized_B_B177.png,Schloss,15,resized_B_B73.png,Treppe,10,resized_A_B08.png,Person,5,resized_A_B194.png,Raute,1,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,3,3,3,73.78284540000095,,,,,,75.64962610000293,1,5,[-0.22333333  0.085     ],5.304095600000437,82.53890730000057,,,155,B,1,2025-05-13_16h00.59.056,task,2023.2.2,59.92189779795471,2025-05-13 16h02.47.256123 +0200,
LEALCO-EEG,155.0,3,B_A,1.0,1.0,training,1,B,13,5,test item,1-2,resized_A_B20.png,Kerze,168,resized_A_B109.png,Boot,13,resized_A_A02.png,Mühle,3,resized_B_B167.png,Fliege,8,resized_B_A20.png,Grill,12,resized_A_B20.png,Kerze,6,resized_B_A123.png,Tänzer,2,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,4,4,4,82.67349590000231,,,,,,84.55703110000104,1,6,[-0.08166667  0.095     ],2.9022712999976648,88.39386809999996,,,155,B,1,2025-05-13_16h00.59.056,task,2023.2.2,59.92189779795471,2025-05-13 16h02.47.256123 +0200,
LEALCO-EEG,155.0,3,B_A,1.0,1.0,training,1,B,13,6,test item,2-2,resized_B_B167.png,Fliege,151,resized_A_B109.png,Boot,13,resized_A_A02.png,Mühle,3,resized_B_B167.png,Fliege,8,resized_B_A20.png,Grill,12,resized_A_B20.png,Kerze,6,resized_B_A123.png,Tänzer,2,11.9,15.48,5.7,2.61,2.39,3.25,3.61,2.57,2.29,23.19,2.77,HF,-0.95,2.16,6.14,None,2,6,nn,4.332791868,12.70407276,0,5,5,5,88.52189470000303,,,,,,90.3953177000003,1,8,[0.25916667 0.04      ],22.501941700000316,115.00000550000186,,,155,B,1,2025-05-13_16h00.59.056,task,2023.2.2,59.92189779795471,2025-05-13 16h02.47.256123 +0200,
LEALCO-EEG,155.0,3,B_A,1.0,1.0,training,1,B,2,7,test item,1-2,resized_B_B24.png,Baby,142,resized_B_A68.png,Lampe,8,resized_B_C01.png,Kaninchen,5,resized_B_B180.png,Geist,11,resized_B_B24.png,Baby,4,resized_A_A122.png,Sturz,1,resized_B_B206.png,Axt,6,8.33,9.52,5.33,3.11,3.39,2.57,3.25,2.68,3.07,324.66,3.92,HF,1.9,2.83,6.78,3.38,2,4,nn,7.995227258,9.834620032,0,6,6,6,115.12739970000257,,,,,,117.00107790000038,1,4,[0.26083333 0.23      ],8.774064799999906,127.15971759999957,,,155,B,1,2025-05-13_16h00.59.056,task,2023.2.2,59.92189779795471,2025-05-13 16h02.47.256123 +0200,
LEALCO-EEG,155.0,3,B_A,1.0,1.0,training,1,B,2,8,test item,2-2,resized_B_B206.png,Axt,179,resized_B_A68.png,Lampe,8,resized_B_C01.png,Kaninchen,5,resized_B_B180.png,Geist,11,resized_B_B24.png,Baby,4,resized_A_A122.png,Sturz,1,resized_B_B206.png,Axt,6,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,7,7,7,127.29490179999993,,,,,,129.1779435999997,1,6,[-0.08666667  0.075     ],19.917124499999773,150.93018860000302,,,155,B,1,2025-05-13_16h00.59.056,task,2023.2.2,59.92189779795471,2025-05-13 16h02.47.256123 +0200,
LEALCO-EEG,155.0,3,B_A,1.0,1.0,training,1,B,5,9,test item,1-2,resized_A_A113.png,Engel,139,resized_A_B192.png,Katze,8,resized_B_A142.png,Reiter,6,resized_A_A04.png,Baum,9,resized_A_A113.png,Engel,1,resized_A_A76.png,Mauer,16,resized_B_B164.png,kimono,15,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,8,8,8,151.06508380000014,,,,,,152.94796300000235,1,1,[-0.26166667  0.25583333],18.649316899998666,172.94871940000303,,,155,B,1,2025-05-13_16h00.59.056,task,2023.2.2,59.92189779795471,2025-05-13 16h02.47.256123 +0200,
LEALCO-EEG,155.0,3,B_A,1.0,1.0,training,1,B,5,10,test item,2-2,resized_B_B164.png,kimono,182,resized_A_B192.png,Katze,8,resized_B_A142.png,Reiter,6,resized_A_A04.png,Baum,9,resized_A_A113.png,Engel,1,resized_A_A76.png,Mauer,16,resized_B_B164.png,kimono,15,9.52,19.05,5.98,2.86,2.89,2.89,2.61,3.43,2.86,2.09,1.73,LF,None,None,None,None,3,6,nn,0.008175079,0.465979503,0,9,9,9,173.08617830000003,,,,,,174.96654090000084,1,15,[ 0.06416667 -0.2375    ],9.141334500000085,185.47594110000136,,,155,B,1,2025-05-13_16h00.59.056,task,2023.2.2,59.92189779795471,2025-05-13 16h02.47.256123 +0200,
