study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,145.0,2,B-A,1.0,1.0,training,3,A,5,1,test item,1-1,resized_A_B56.png,Stuhl,133,resized_B_A03.png,Kleid,14,resized_A_A148.png,Giraffe,5,resized_A_B56.png,Stuhl,7,resized_B_A129.png,Huhn,10,resized_A_B20.png,Kerze,15,resized_A_B33.png,Zünder,16,35.29,36.47,4.11,3.41,3.43,1.75,3.31,1.79,2.86,30.67,2.892,HF,0.5,1.82,6.23,2.86,1,5,nn,33.05184438,50.36666169,0,0,0,0,50.47843199997442,,0.0010951999574899673,10.06678599998122,10.066796400002204,48.268878899980336,52.256429599947296,1,7,[0.04666667 0.04166667],2.5028136000037193,55.8436878999928,,,145,A,3,2025-01-13_10h47.56.144,task,2023.2.2,60.27633079585895,2025-01-13 10h48.11.315045 +0100,
LEALCO-EEG,145.0,2,B-A,1.0,1.0,training,3,A,5,2,test item,2-1,resized_B_A129.png,Huhn,146,resized_B_A03.png,Kleid,14,resized_A_A148.png,Giraffe,5,resized_A_B56.png,Stuhl,7,resized_B_A129.png,Huhn,10,resized_A_B20.png,Kerze,15,resized_A_B33.png,Zünder,16,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,1,1,1,55.993621599976905,,,,,,57.86113939998904,1,10,[-0.0575     -0.04833333],1.8021937999874353,60.898078899946995,,,145,A,3,2025-01-13_10h47.56.144,task,2023.2.2,60.27633079585895,2025-01-13 10h48.11.315045 +0100,
LEALCO-EEG,145.0,2,B-A,1.0,1.0,training,3,A,12,3,test item,1-1,resized_B_A77.png,Hang,161,resized_B_A187.png,Brücke,15,resized_B_B70.png,Quadrat,1,resized_B_A181.png,Wolf,4,resized_B_A77.png,Hang,11,resized_A_B139.png,Trichter,2,resized_B_B152.png,Säge,3,19.28,21.43,5.19,3.26,3,2.14,2.93,2.89,2.61,2.8,1.86,LF,None,None,None,None,1,4,nn,7.365746175,11.15898283,0,2,2,2,61.037630899983924,,,,,,62.898764099983964,1,11,[ 0.05083333 -0.09333333],3.0865085999830626,67.58696689998033,,,145,A,3,2025-01-13_10h47.56.144,task,2023.2.2,60.27633079585895,2025-01-13 10h48.11.315045 +0100,
LEALCO-EEG,145.0,2,B-A,1.0,1.0,training,3,A,12,4,test item,2-1,resized_B_B152.png,Säge,171,resized_B_A187.png,Brücke,15,resized_B_B70.png,Quadrat,1,resized_B_A181.png,Wolf,4,resized_B_A77.png,Hang,11,resized_A_B139.png,Trichter,2,resized_B_B152.png,Säge,3,15.48,20.24,4.54,3.57,3.21,2.32,2.46,2.68,3,3.11,1.9,LF,-1.09,2.95,5.68,None,2,4,nn,1.978369117,2.812227175,0,3,3,3,67.72809889999917,,,,,,69.5876080999733,1,3,[0.06583333 0.23666667],2.1857672999612987,73.1416929999832,,,145,A,3,2025-01-13_10h47.56.144,task,2023.2.2,60.27633079585895,2025-01-13 10h48.11.315045 +0100,
LEALCO-EEG,145.0,2,B-A,1.0,1.0,training,3,A,4,5,test item,2-1,resized_B_B143.png,Tanne,175,resized_A_B54.png,Telefon,10,resized_B_B175.png,Propeller,8,resized_A_B08.png,Person,11,resized_B_A20.png,Grill,16,resized_A_A74.png,Rubin,13,resized_B_B143.png,Tanne,9,22.62,26.19,4.2,3.75,3.07,2.54,3.21,2.25,2.96,0.43,1.08,LF,1.25,1.6,5.73,4.3,2,5,nn,1.177211375,3.507108889,0,4,4,4,73.27652949996991,,,,,,75.14242819999345,1,9,[-0.22166667 -0.1       ],2.3692752000060864,78.67968800000381,,,145,A,3,2025-01-13_10h47.56.144,task,2023.2.2,60.27633079585895,2025-01-13 10h48.11.315045 +0100,
LEALCO-EEG,145.0,2,B-A,1.0,1.0,training,3,A,4,6,test item,1-1,resized_B_A20.png,Grill,160,resized_A_B54.png,Telefon,10,resized_B_B175.png,Propeller,8,resized_A_B08.png,Person,11,resized_B_A20.png,Grill,16,resized_A_A74.png,Rubin,13,resized_B_B143.png,Tanne,9,16.05,16.67,5.17,2.46,2.43,3.18,3.18,2.64,2.69,3.7,1.98,LF,None,None,None,6.13,1,5,nn,0.833858058,0.842033137,0,5,5,5,78.8202384999604,,,,,,80.68043799995212,1,16,[ 0.225      -0.24416667],2.552861000003759,84.26771439996082,,,145,A,3,2025-01-13_10h47.56.144,task,2023.2.2,60.27633079585895,2025-01-13 10h48.11.315045 +0100,
LEALCO-EEG,145.0,2,B-A,1.0,1.0,training,3,A,9,7,test item,2-1,resized_A_A73.png,Klinge,177,resized_B_B155.png,Messer,13,resized_B_A197.png,Hirsch,1,resized_B_A153.png,Schwein,16,resized_A_A113.png,Engel,10,resized_B_A23.png,Flasche,11,resized_A_A73.png,Klinge,8,7.23,12.94,5.75,2.83,3.25,1.96,2.9,2.41,2.82,10.79,2.44,LF,-1.3,3.68,5.14,6.37,2,6,nn,2.346247672,4.308266631,0,6,6,6,84.4102084999904,,,,,,86.26869669998996,1,8,[0.23833333 0.08416667],2.7192200000281446,90.13930079998681,,,145,A,3,2025-01-13_10h47.56.144,task,2023.2.2,60.27633079585895,2025-01-13 10h48.11.315045 +0100,
LEALCO-EEG,145.0,2,B-A,1.0,1.0,training,3,A,9,8,test item,1-1,resized_B_A153.png,Schwein,131,resized_B_B155.png,Messer,13,resized_B_A197.png,Hirsch,1,resized_B_A153.png,Schwein,16,resized_A_A113.png,Engel,10,resized_B_A23.png,Flasche,11,resized_A_A73.png,Klinge,8,28.57,45.24,3.8,3.18,2.86,2.54,2.75,1.89,3.29,62.09,3.2,HF,0.59,2.77,5.95,2.81,1,7,nn,7.995227258,18.36122743,0,7,7,7,90.28759659995558,,,,,,92.15682269999525,1,16,[ 0.21333333 -0.24833333],2.8029811999876983,96.22774569998728,,,145,A,3,2025-01-13_10h47.56.144,task,2023.2.2,60.27633079585895,2025-01-13 10h48.11.315045 +0100,
LEALCO-EEG,145.0,2,B-A,1.0,1.0,training,3,A,10,9,test item,1-1,resized_B_B180.png,Geist,129,resized_A_B192.png,Katze,3,resized_A_B78.png,Pfeil,14,resized_B_B180.png,Geist,2,resized_A_B168.png,Frau,13,resized_B_A37.png,Tasse,8,resized_A_A151.png,Fuchs,10,26.19,38.1,4.73,3.43,2.89,2.68,3,2.57,2.59,77.01,3.29,HF,1.1,2.83,4,6.22,1,5,nn,99.6787382,173.1808735,0,8,8,8,96.38693949999288,,,,,,98.24527209997177,1,2,[-0.08916667  0.22916667],3.103071900026407,102.5998390999739,,,145,A,3,2025-01-13_10h47.56.144,task,2023.2.2,60.27633079585895,2025-01-13 10h48.11.315045 +0100,
LEALCO-EEG,145.0,2,B-A,1.0,1.0,training,3,A,10,10,test item,2-1,resized_B_A37.png,Tasse,144,resized_A_B192.png,Katze,3,resized_A_B78.png,Pfeil,14,resized_B_B180.png,Geist,2,resized_A_B168.png,Frau,13,resized_B_A37.png,Tasse,8,resized_A_A151.png,Fuchs,10,10.84,13.1,5.55,2.61,2.36,2.32,2.93,2.68,2.29,18.43,2.67,HF,0.73,1.82,6,3.24,2,5,nn,11.19985822,15.65527628,0,9,9,9,102.74731379997684,,,,,,104.60050810000394,1,8,[0.22       0.09166667],2.3688844999996945,108.4383154999814,,,145,A,3,2025-01-13_10h47.56.144,task,2023.2.2,60.27633079585895,2025-01-13 10h48.11.315045 +0100,
