"subjID","partner_type","block","error","rate"
"112","same","2","phonologically_related",0
"112","same","2","unrelated",0.25
"112","different","1","compound",0
"112","different","1","semantically_related",0.0357142857142857
"112","different","1","phonologically_related",0
"112","different","1","unrelated",0.392857142857143
"112","different","2","compound",0
"112","different","2","semantically_related",0.0357142857142857
"112","different","2","phonologically_related",0
"112","different","2","unrelated",0.214285714285714
"113","same","1","compound",0
"113","same","1","semantically_related",0.0740740740740741
"113","same","1","phonologically_related",0
"113","same","1","unrelated",0.259259259259259
"113","same","2","compound",0
"113","same","2","semantically_related",0
"113","same","2","phonologically_related",0
"113","same","2","unrelated",0.214285714285714
"113","different","1","compound",0.0384615384615385
"113","different","1","semantically_related",0.0384615384615385
"113","different","1","phonologically_related",0
"113","different","1","unrelated",0.307692307692308
"113","different","2","compound",0.0357142857142857
"113","different","2","semantically_related",0.0357142857142857
"113","different","2","phonologically_related",0
"113","different","2","unrelated",0.214285714285714
"114","same","1","compound",0
"114","same","1","semantically_related",0.0714285714285714
"114","same","1","phonologically_related",0.0357142857142857
"114","same","1","unrelated",0.214285714285714
"114","same","2","compound",0
"114","same","2","semantically_related",0.107142857142857
"114","same","2","phonologically_related",0.0357142857142857
"114","same","2","unrelated",0
"114","different","1","compound",0.0357142857142857
"114","different","1","semantically_related",0.0357142857142857
"114","different","1","phonologically_related",0
"114","different","1","unrelated",0.107142857142857
"114","different","2","compound",0
"114","different","2","semantically_related",0
"114","different","2","phonologically_related",0
"114","different","2","unrelated",0.0714285714285714
"115","same","1","compound",0
"115","same","1","semantically_related",0.0454545454545455
"115","same","1","phonologically_related",0
"115","same","1","unrelated",0.545454545454545
"115","same","2","compound",0
"115","same","2","semantically_related",0.0416666666666667
"115","same","2","phonologically_related",0
"115","same","2","unrelated",0.583333333333333
"115","different","1","compound",0
"115","different","1","semantically_related",0
"115","different","1","phonologically_related",0.04
"115","different","1","unrelated",0.32
"115","different","2","compound",0
"115","different","2","semantically_related",0.0833333333333333
"115","different","2","phonologically_related",0
"115","different","2","unrelated",0.333333333333333
"116","same","1","compound",0
"116","same","1","semantically_related",0
"116","same","1","phonologically_related",0
"116","same","1","unrelated",0.142857142857143
"116","same","2","compound",0
"116","same","2","semantically_related",0
"116","same","2","phonologically_related",0
"116","same","2","unrelated",0.111111111111111
"116","different","1","compound",0
"116","different","1","semantically_related",0.0714285714285714
"116","different","1","phonologically_related",0
"116","different","1","unrelated",0.464285714285714
"116","different","2","compound",0.037037037037037
"116","different","2","semantically_related",0.037037037037037
"116","different","2","phonologically_related",0.037037037037037
"116","different","2","unrelated",0.222222222222222
"117","same","1","compound",0
"117","same","1","semantically_related",0.0740740740740741
"117","same","1","phonologically_related",0
"117","same","1","unrelated",0.222222222222222
"117","same","2","compound",0
"117","same","2","semantically_related",0.115384615384615
"117","same","2","phonologically_related",0
"117","same","2","unrelated",0.115384615384615
"117","different","1","compound",0
"117","different","1","semantically_related",0.142857142857143
"117","different","1","phonologically_related",0
"117","different","1","unrelated",0.25
"117","different","2","compound",0
"117","different","2","semantically_related",0.0769230769230769
"117","different","2","phonologically_related",0
"117","different","2","unrelated",0.269230769230769
"118","same","1","compound",0
"118","same","1","semantically_related",0.08
"118","same","1","phonologically_related",0
"118","same","1","unrelated",0.2
"118","same","2","compound",0
"118","same","2","semantically_related",0.115384615384615
"118","same","2","phonologically_related",0.0384615384615385
"118","same","2","unrelated",0.115384615384615
"118","different","1","compound",0.0434782608695652
"118","different","1","semantically_related",0
"118","different","1","phonologically_related",0
"118","different","1","unrelated",0.130434782608696
"118","different","2","compound",0
"118","different","2","semantically_related",0.0740740740740741
"118","different","2","phonologically_related",0
"118","different","2","unrelated",0.0740740740740741
"120","same","1","compound",0
"120","same","1","semantically_related",0.037037037037037
"120","same","1","phonologically_related",0
"120","same","1","unrelated",0.0740740740740741
"120","same","2","compound",0
"120","same","2","semantically_related",0
"120","same","2","phonologically_related",0
"120","same","2","unrelated",0
"120","different","1","compound",0
"120","different","1","semantically_related",0.037037037037037
"120","different","1","phonologically_related",0
"120","different","1","unrelated",0.444444444444444
"120","different","2","compound",0
"120","different","2","semantically_related",0
"120","different","2","phonologically_related",0
"120","different","2","unrelated",0.357142857142857
"121","same","1","compound",0
"121","same","1","semantically_related",0
"121","same","1","phonologically_related",0
"121","same","1","unrelated",0.192307692307692
"121","same","2","compound",0
"121","same","2","semantically_related",0.037037037037037
"121","same","2","phonologically_related",0
"121","same","2","unrelated",0.0740740740740741
