"subjID","partner_type","block","mean","sd","sem","n"
"117","different","2",1.67967832384162,5.28074824856748,1.28076957712584,17
"118","same","1",8.14327866821196,9.52579517301256,2.24525145434375,18
"118","same","2",5.83033707965114,10.9314219450871,2.50784018778091,19
"118","different","1",11.2032453023293,7.19481958242249,1.65060481456774,19
"118","different","2",12.5747240948804,10.6362056477535,2.21780218843187,23
"120","same","1",10.4821889619296,8.0364492089276,1.64043332547218,24
"120","same","2",10.735713001274,6.95389985031574,1.36377196278192,26
"120","different","1",6.80156592626731,6.51998972415576,1.74254055093411,14
"120","different","2",8.85405755532856,6.87421567189254,1.62026817231135,18
"122","same","1",5.5746535053774,9.1894027695756,2.45597119663025,14
"122","same","2",7.55573742035746,7.54005100771264,1.68600666070613,20
"122","different","1",13.5579501042053,10.056733370083,2.37039478752359,18
"122","different","2",14.1882924586997,9.5185014698738,1.98474475669214,23
"123","same","1",7.2347991904166,8.00930159988024,2.06799278073924,15
"123","same","2",6.10533497259776,8.33953160209979,1.91321976263247,19
"123","different","1",7.26100821366569,7.82754823763687,1.50641236069814,27
"123","different","2",6.63053118766546,6.173996240278,1.210820281001,26
"124","same","1",11.7085681997216,8.69067681269587,1.94329441236692,20
"124","same","2",14.9335578734051,7.9650992982251,1.62586908593766,24
"124","different","1",12.3336151721212,9.08320524726271,2.42758871492888,14
"124","different","2",12.543357877629,6.72741232358411,1.58566629128142,18
"125","same","1",9.10098758281053,9.15873654106508,1.86951926784937,24
"125","same","2",9.12769936924567,8.89253453658826,1.77850690731765,25
"125","different","1",9.13379124986652,6.44925988863886,1.61231497215971,16
"125","different","2",6.6811305098647,7.97100665816597,1.78237127367625,20
"126","same","1",5.52629787166698,5.31452409788636,1.28896142385152,17
"126","same","2",5.74584522712612,5.4449070803636,1.21751823628629,20
"126","different","1",6.64358455904755,5.76582566116632,1.17694423464191,24
"126","different","2",6.92995863325021,5.62690659328358,1.10352717385834,26
"127","same","1",7.2209002309928,5.6477797976219,1.41194494940547,16
"127","same","2",4.54257391331331,4.45306472862539,0.873317844098177,26
"127","different","1",8.20662408350326,6.40022536420113,1.30644053175928,24
"127","different","2",6.44735039363162,5.94764060230895,1.18952812046179,25
"128","same","1",13.439599003895,9.38108632512119,1.95609171830148,23
"128","same","2",12.9374906907664,9.65095211235836,1.89270742867942,26
"128","different","1",9.21188618220992,7.6410919977255,1.59327782066194,23
"128","different","2",10.9338273616706,7.53891820766231,1.57197311269492,23
"130","same","1",8.73029986231102,6.66584144715414,1.57115389653235,18
"130","same","2",10.4553585477723,5.49649453640433,1.09929890728087,25
"130","different","1",9.73806199731117,6.92360163990688,1.63190855660415,18
"130","different","2",10.7386224736743,8.34879389269712,1.74084386661902,23
"131","same","1",5.31889488494466,10.7698288752805,2.11213721511964,26
"131","same","2",11.5556836941375,11.3029353469219,2.21668799595508,26
