"contrast","estimate","SE","df","z.ratio","p.value"
"(different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log0.114807078763709",-1.24108244114928,1.84930130080039,Inf,-0.671108834786483,0.502151199184219
"(different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log0.114807078763709",-2.2918904052186,2.29476980809555,Inf,-0.998745232368495,0.317918122897436
"(different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log0.114807078763709",0.427828892230915,2.47643387612496,Inf,0.17276007098577,0.862840023780282
"(different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - (same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log1.84480707876371)",5.47017278576018,3.11377247463143,Inf,1.75676701824775,0.0789575289671452
"(different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log1.84480707876371)",-6.28221237928354,2.94329460113819,Inf,-2.1344150792293,0.0328088183114862
"(different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log1.84480707876371",-0.252330387853325,2.11923126179856,Inf,-0.119066943000442,0.905222320060193
"(different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log1.84480707876371",0.164422011167705,2.06656575132464,Inf,0.0795629227196437,0.936584885076974
"(different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log1.84480707876371",-4.89705113209067,2.82538362408865,Inf,-1.73323406079776,0.0830540753624955
"(different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log1.84480707876371",5.39689031663047,2.67349430077561,Inf,2.01866535307922,0.043522013402795
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629)",-0.717993317849192,0.972241259058324,Inf,-0.738492952402178,0.460214948256364
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - (same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629)",2.66147684376373,1.69102332045992,Inf,1.57388535779617,0.115513955591107
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629)",-2.98547352993131,2.0651770354265,Inf,-1.4456259578321,0.148282141904713
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - (same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log0.114807078763709)",2.40244003036757,1.54226990476497,Inf,1.55772995566148,0.119297276294617
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log0.114807078763709)",-1.22161219625408,1.33966236738852,Inf,-0.911880654403573,0.361831546419844
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log0.114807078763709",0.956976459042876,0.843692496845623,Inf,1.1342716245798,0.256680627885519
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log0.114807078763709",0.834561022253556,0.871936592707009,Inf,0.957134990358167,0.338499124647902
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log0.114807078763709",-0.216246941815765,1.11699765403752,Inf,-0.193596594436986,0.846491764989939
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log0.114807078763709",2.50347235563375,1.33964255151203,Inf,1.8687614489463,0.0616560105472296
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - (same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log1.84480707876371)",7.54581624916301,3.33946577488042,Inf,2.25958783764844,0.0238468431422785
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log1.84480707876371)",-4.2065689158807,2.01220078090159,Inf,-2.09053140014979,0.0365700907703772
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log1.84480707876371",1.82331307554951,1.60747481999734,Inf,1.1342716245798,0.256680627885519
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log1.84480707876371",2.24006547457054,1.35778485309271,Inf,1.64979412568066,0.098985050663076
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log1.84480707876371",-2.82140766868783,1.82907513123638,Inf,-1.54253240914203,0.122944268623302
"(same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log1.84480707876371",7.4725337800333,2.54862473310501,Inf,2.93198668402211,0.0033680118764712
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - (same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629)",3.37947016161292,1.79025328991494,Inf,1.88770504187901,0.0590655591348545
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629)",-2.26748021208211,1.59501831654342,Inf,-1.42160136254485,0.155142009015387
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - (same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log0.114807078763709)",3.12043334821676,1.48739421878172,Inf,2.09791950836854,0.0359122563820204
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log0.114807078763709)",-0.503618878404892,1.29182146340898,Inf,-0.389851765642517,0.696646162787522
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log0.114807078763709",1.67496977689207,0.869265495194379,Inf,1.92687940123233,0.0539946611559851
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log0.114807078763709",1.55255434010275,0.851560019590052,Inf,1.82318838882333,0.0682748630516693
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log0.114807078763709",0.501746376033427,1.20912638016005,Inf,0.414966031894046,0.678166769715759
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log0.114807078763709",3.22146567348294,1.35395731902993,Inf,2.3792963250799,0.0173457257818376
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - (same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log1.84480707876371)",8.2638095670122,3.05131943483876,Inf,2.70827415597964,0.006763412669221
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log1.84480707876371)",-3.48857559803151,1.94928847773481,Inf,-1.78966614632917,0.0735075978252506
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log1.84480707876371",2.5413063933987,1.34599911277664,Inf,1.88804462742645,0.0590199595387118
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log1.84480707876371",2.95805879241973,1.62246469457215,Inf,1.82318838882333,0.0682748630516693
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log1.84480707876371",-2.10341435083864,1.85501909508863,Inf,-1.13390441985619,0.256834642939448
