"subjID","partner_type","block","mean","sd","sem","n"
"141","different","1",2608.04761904762,1565.05630813049,341.523285660767,21
"141","different","2",1676.80952380952,715.789188172581,156.198006496754,21
"142","same","1",1387.25,467.929598011979,95.5157292229165,24
"142","same","2",1054.29166666667,243.244639632911,49.6521041473173,24
"142","different","1",1162.76,333.313576081143,66.6627152162286,25
"142","different","2",974.125,249.662609291541,50.9621667180096,24
"143","same","1",2061.27272727273,1333.13419400328,284.225165159659,22
"143","same","2",1754.38095238095,994.397429410921,216.995309102145,21
"143","different","1",1552.27272727273,769.068340626574,163.965921148006,22
"143","different","2",1527.60869565217,557.642989337544,116.276601174754,23
"145","same","1",1697.44444444444,776.493515418628,149.436246716981,27
"145","same","2",1159.96296296296,341.068849521559,65.6387306944894,27
"145","different","1",4678.48148148148,4264.98534915303,820.796813141105,27
"145","different","2",1371.62962962963,374.675977771578,72.106425541769,27
"146","same","1",1585.33333333333,549.66493087324,112.199884178469,24
"146","same","2",1270.39130434783,380.377771448146,79.314248133846,23
"146","different","1",2201.875,2245.86757347994,458.435798740706,24
"146","different","2",1249.95833333333,448.326790669355,91.5143229299573,24
"147","same","1",2532.38095238095,1532.40802256418,334.398845664663,21
"147","same","2",2016.19230769231,809.858852849348,158.826388228257,26
"147","different","1",2276.73913043478,1044.06009133014,217.70157818408,23
"147","different","2",1857.58333333333,709.179680222565,144.760696041286,24
"148","same","1",2074.82608695652,2272.81358776805,473.914393514413,23
"148","same","2",1336.47826086957,448.351918349578,93.4878375460278,23
"148","different","1",2143.90476190476,1121.2183063419,244.669893303901,21
"148","different","2",1592.13636363636,759.568066196932,161.940455834032,22
"149","same","1",1433.95454545455,515.511071173224,109.907329663379,22
"149","same","2",1149.33333333333,180.090959304426,36.7609131320145,24
"149","different","1",1602.55555555556,424.019175790327,99.9422781848237,18
"149","different","2",1256.15789473684,346.829971657246,79.5682524760532,19
"151","same","1",1861.07142857143,708.078816156867,189.242023777963,14
"151","same","2",1629.35294117647,486.942494189056,118.100902184894,17
"151","different","1",2061.35294117647,1015.28837905644,246.24360160658,17
"151","different","2",1531.33333333333,517.836299744749,113.001144817912,21
"152","same","1",1714.47368421053,590.040052164169,135.364471580267,19
"152","same","2",1220.59090909091,412.978687227194,88.0473519564372,22
"152","different","1",1678.75,569.537381518868,127.352430080342,20
"152","different","2",1238.1,686.251212250871,153.450436023458,20
"153","same","1",1810.86363636364,956.357489219459,203.896101793642,22
"153","same","2",1265.17391304348,235.876248789663,49.1835978063574,23
"153","different","1",1606.88461538462,487.295583967109,95.5665265975339,26
"153","different","2",1353.81481481481,486.862011491571,93.6966377976203,27
"154","same","1",1768.04166666667,1417.03405743388,289.250865738227,24
"154","same","2",1292.64,413.86429740516,82.772859481032,25
"154","different","1",1775.46666666667,520.701431678828,134.444531549231,15
"154","different","2",1716.88888888889,617.65732826819,145.583228422668,18
"155","same","1",1507.88,544.274465075603,108.854893015121,25
"155","same","2",1161.92,275.417700956202,55.0835401912404,25
"155","different","1",1704.34782608696,526.983836969292,109.883725983201,23
"155","different","2",1353.68,493.335899768099,98.6671799536198,25
"156","same","1",1761,510.267652240544,136.374766445545,14
"156","same","2",1666.14285714286,618.14945381578,165.207390714292,14
"156","different","1",1748.625,689.555303559233,172.388825889808,16
"156","different","2",1426.60869565217,475.707104226811,99.1917881006412,23
