"partner_type","block","emmean","SE","df","asymp.LCL","asymp.UCL"
"same","1",10.0383314244528,0.667327633784493,Inf,8.73039329634682,11.3462695525587
"different","1",10.5728076097254,0.623027570328406,Inf,9.35169601050619,11.7939192089445
"same","2",10.5924766731573,0.659753393354763,Inf,9.29938378350388,11.8855695628107
"different","2",10.3323555564293,0.618245881442422,Inf,9.1206158952119,11.5440952176466
