"contrast","estimate","SE","df","z.ratio","p.value"
"(same block1 c_FASQUEL_concreteness-0.000846049029798493 c_FASQUEL_image_agreement-0.00162881224547363 c_SUBTLEX_frequency_log0.00336207116107331) - (different block1 c_FASQUEL_concreteness-0.000846049029798493 c_FASQUEL_image_agreement-0.00162881224547363 c_SUBTLEX_frequency_log0.00336207116107331)",-0.534476185272596,0.461309629116338,Inf,-1.15860617584856,0.653025460290199
"(same block1 c_FASQUEL_concreteness-0.000846049029798493 c_FASQUEL_image_agreement-0.00162881224547363 c_SUBTLEX_frequency_log0.00336207116107331) - (same block2 c_FASQUEL_concreteness-0.000846049029798493 c_FASQUEL_image_agreement-0.00162881224547363 c_SUBTLEX_frequency_log0.00336207116107331)",-0.554145248704541,0.427068643985631,Inf,-1.29755545509725,0.564461064490995
"(same block1 c_FASQUEL_concreteness-0.000846049029798493 c_FASQUEL_image_agreement-0.00162881224547363 c_SUBTLEX_frequency_log0.00336207116107331) - (different block2 c_FASQUEL_concreteness-0.000846049029798493 c_FASQUEL_image_agreement-0.00162881224547363 c_SUBTLEX_frequency_log0.00336207116107331)",-0.294024131976505,0.454962584062018,Inf,-0.646260027256274,0.916890146344542
"(different block1 c_FASQUEL_concreteness-0.000846049029798493 c_FASQUEL_image_agreement-0.00162881224547363 c_SUBTLEX_frequency_log0.00336207116107331) - (same block2 c_FASQUEL_concreteness-0.000846049029798493 c_FASQUEL_image_agreement-0.00162881224547363 c_SUBTLEX_frequency_log0.00336207116107331)",-0.0196690634319449,0.450233810948932,Inf,-0.0436863313097023,0.999970075209596
"(different block1 c_FASQUEL_concreteness-0.000846049029798493 c_FASQUEL_image_agreement-0.00162881224547363 c_SUBTLEX_frequency_log0.00336207116107331) - (different block2 c_FASQUEL_concreteness-0.000846049029798493 c_FASQUEL_image_agreement-0.00162881224547363 c_SUBTLEX_frequency_log0.00336207116107331)",0.240452053296091,0.425512588944045,Inf,0.565087989271478,0.942413974468482
"(same block2 c_FASQUEL_concreteness-0.000846049029798493 c_FASQUEL_image_agreement-0.00162881224547363 c_SUBTLEX_frequency_log0.00336207116107331) - (different block2 c_FASQUEL_concreteness-0.000846049029798493 c_FASQUEL_image_agreement-0.00162881224547363 c_SUBTLEX_frequency_log0.00336207116107331)",0.260121116728036,0.443487489452207,Inf,0.586535410614031,0.936182977796797
