"contrast","estimate","SE","df","z.ratio","p.value"
"same block1 - different block1",-0.412195060945961,0.439804417555311,Inf,-0.937223557774114,0.784801098508701
"same block1 - same block2",-0.0587586632843128,0.438338566231271,Inf,-0.134048582102884,0.999140655037011
"same block1 - different block2",-0.383265498346354,0.449139782755199,Inf,-0.853332332298095,0.828783033374645
"different block1 - same block2",0.353436397661648,0.444721653355387,Inf,0.794736201835465,0.856871010653643
"different block1 - different block2",0.0289295625996075,0.436787356708422,Inf,0.0662326007273133,0.999895814732887
"same block2 - different block2",-0.324506835062041,0.422666080526745,Inf,-0.767761715483832,0.869002016759268
