"partner_type","entrainment_VOTinv","yvar","SE","df","LCL","UCL","tvar","xvar"
"same",-2.02025433359911,7.69326676069861,1.55553754726335,Inf,4.64446919146268,10.7420643299345,"same",-2.02025433359911
"different",-2.02025433359911,10.8678427067698,1.48262402448637,Inf,7.96195301616266,13.7737323973769,"different",-2.02025433359911
"same",0.341850180291992,10.2794479077432,0.613482378465347,Inf,9.07704454080117,11.4818512746853,"same",0.341850180291992
"different",0.341850180291992,10.3231298483547,0.617459455865789,Inf,9.11293155294402,11.5333281437653,"different",0.341850180291992
"same",2.25907337840492,12.3785449038657,1.34387817009719,Inf,9.74459209086565,15.0124977168658,"same",2.25907337840492
"different",2.25907337840492,9.88100879811225,1.3898398983733,Inf,7.15697265302379,12.6050449432007,"different",2.25907337840492
