"partner_type","block","mean_bSubj","sd_bSubj","sem_bSubj","n_bSubj"
"same","1",0.720405054347362,0.170815057609154,0.0236877864935054,52
"same","2",0.801215326696096,0.152316204819882,0.0211224571754677,52
"different","1",0.711188720235543,0.162312625446623,0.0225087112962684,52
"different","2",0.776416674493598,0.145459480462805,0.0201716005888844,52
