"partner_type","block","mean_bSubj","sd_bSubj","sem_bSubj","n_bSubj"
"same","1",3.06534761962848,2.61062602816395,0.380798943402317,47
"same","2",3.3807883289784,3.03501650415538,0.442702656574594,47
"different","1",3.72320030555993,2.88685774968873,0.421091481113978,47
"different","2",3.26913289311012,2.6502536695169,0.386579228971346,47
