"partner_type","c_entrainment_ACC","yvar","SE","df","LCL","UCL","tvar","xvar"
"same",-0.371773778804098,2.27047146307891,1.12222710399007,Inf,0.0709467567836799,4.46999616937413,"same",-0.371773778804098
"different",-0.371773778804098,4.67690830893814,1.0570980408278,Inf,2.60503422078781,6.74878239708847,"different",-0.371773778804098
"same",0.00371323418291462,3.34755543136583,0.41645694928916,Inf,2.53131480964765,4.16379605308401,"same",0.00371323418291462
"different",0.00371323418291462,3.61626103872942,0.420548016178224,Inf,2.79200207325033,4.44052000420851,"different",0.00371323418291462
"same",0.346297772286321,4.33025869675658,0.882896500055381,Inf,2.59981335457157,6.0607040389416,"same",0.346297772286321
"different",0.346297772286321,2.64855418712745,0.989351144890007,Inf,0.709461575079568,4.58764679917533,"different",0.346297772286321
