"partner_type","entrainment_VOT","yvar","SE","df","LCL","UCL","tvar","xvar"
"same",-1596.35185185185,4.05558348004167,1.79259038161099,Inf,0.542170893051219,7.56899606703212,"same",-1596.35185185185
"different",-1596.35185185185,2.23343132368383,1.86754814916679,Inf,-1.42689578807751,5.89375843544518,"different",-1596.35185185185
"same",-99.0857142857144,3.30701337399895,0.428852945546901,Inf,2.46647704606311,4.14754970193479,"same",-99.0857142857144
"different",-99.0857142857144,3.66185111937375,0.428816057266521,Inf,2.8213870911389,4.5023151476086,"different",-99.0857142857144
"same",385.121233859397,3.06493026170149,0.739921945913694,Inf,1.61470989633986,4.51515062706312,"same",385.121233859397
"different",385.121233859397,4.12379357074407,0.706552179522581,Inf,2.73897674568153,5.50861039580661,"different",385.121233859397
