"c_FASQUEL_concreteness","c_FASQUEL_image_agreement","block","partner_type","yvar","SE","df","LCL","UCL","tvar","xvar"
-0.910780159521436,-0.648222831505484,"1","same",2.38269964319555,1.12962761146943,Inf,0.168670208773471,4.59672907761763,"-0.910780159521436 -0.648222831505484 1","same"
1.22921984047856,-0.648222831505484,"1","same",3.90803483507189,2.32078581026674,Inf,-0.640621768882524,8.45669143902631,"1.22921984047856 -0.648222831505484 1","same"
-0.910780159521436,1.08177716849452,"1","same",4.57523229179729,2.62575655116996,Inf,-0.571155980665934,9.72162056426052,"-0.910780159521436 1.08177716849452 1","same"
1.22921984047856,1.08177716849452,"1","same",2.80929437697943,1.6184060646817,Inf,-0.362723222157895,5.98131197611676,"1.22921984047856 1.08177716849452 1","same"
-0.910780159521436,-0.648222831505484,"2","same",3.71244950504189,1.06461525329774,Inf,1.62584195118634,5.79905705889744,"-0.910780159521436 -0.648222831505484 2","same"
1.22921984047856,-0.648222831505484,"2","same",0.758183974514304,2.19872147334483,Inf,-3.55123092527641,5.06759887430502,"1.22921984047856 -0.648222831505484 2","same"
-0.910780159521436,1.08177716849452,"2","same",5.73782781705702,2.49725880607603,Inf,0.843290497072512,10.6323651370415,"-0.910780159521436 1.08177716849452 2","same"
1.22921984047856,1.08177716849452,"2","same",3.87321832136588,1.53167232843971,Inf,0.871195721507447,6.87524092122431,"1.22921984047856 1.08177716849452 2","same"
-0.910780159521436,-0.648222831505484,"1","different",4.54944108456962,1.15991012752357,Inf,2.27605900932016,6.82282315981908,"-0.910780159521436 -0.648222831505484 1","different"
1.22921984047856,-0.648222831505484,"1","different",2.30839682662845,2.32704316805046,Inf,-2.25252397322044,6.86931762647734,"1.22921984047856 -0.648222831505484 1","different"
-0.910780159521436,1.08177716849452,"1","different",4.35211804668587,2.57765992887089,Inf,-0.700002578293158,9.4042386716649,"-0.910780159521436 1.08177716849452 1","different"
1.22921984047856,1.08177716849452,"1","different",3.47711906810199,1.64949466940808,Inf,0.244168923371344,6.71006921283263,"1.22921984047856 1.08177716849452 1","different"
-0.910780159521436,-0.648222831505484,"2","different",1.77638650128503,1.10770662808388,Inf,-0.39467859519567,3.94745159776573,"-0.910780159521436 -0.648222831505484 2","different"
1.22921984047856,-0.648222831505484,"2","different",9.45694403386115,2.24615623620895,Inf,5.05455870724157,13.8593293604807,"1.22921984047856 -0.648222831505484 2","different"
-0.910780159521436,1.08177716849452,"2","different",3.03125774699093,2.52139104121099,Inf,-1.91057788472455,7.97309337870642,"-0.910780159521436 1.08177716849452 2","different"
1.22921984047856,1.08177716849452,"2","different",-0.61605229466554,1.63007487608735,Inf,-3.81094034390034,2.57883575456926,"1.22921984047856 1.08177716849452 2","different"
