"partner_type","block","mean_bSubj","sd_bSubj","sem_bSubj","n_bSubj"
"same","1",1668.15865133339,331.848169591625,46.4680382800302,51
"same","2",1403.23839676746,312.90243626366,43.8151049743847,51
"different","1",1850.56735327369,627.048832948467,87.8043992490744,51
"different","2",1439.30420442398,248.478680568215,34.793974770523,51
