"partner_type","block","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","lower.CL_untrans","upper.CL_untrans"
"same","1",0.000708079755852897,2.15991225597062e-05,Inf,0.000665746253538206,0.000750413258167587,1412.27028697562,1332.59905674091,1502.07379265802
"different","1",0.000664990875840363,2.19456654622787e-05,Inf,0.000621978161917532,0.000708003589763194,1503.78003117152,1412.42221714507,1607.7734898554
"same","2",0.00081174101718358,2.1365009489912e-05,Inf,0.000769866368053996,0.000853615666313164,1231.92000752851,1171.48740289536,1298.92672481293
"different","2",0.000799960223125184,2.1740935327797e-05,Inf,0.000757348772892488,0.000842571673357881,1250.06215445729,1186.84265282112,1320.3956166467
