"partner_type","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","lower.CL_untrans","upper.CL_untrans"
"same",0.000759910386518238,2.06812341505939e-05,Inf,0.000719375912427235,0.000800444860609242,1315.94463997499,1249.30529160856,1390.09380592953
"different",0.000732475549482774,2.10604282605911e-05,Inf,0.000691197868593026,0.000773753230372522,1365.23328417738,1292.40171251828,1446.76372054729
