"partner_type","entrainment_VOT","yvar","SE","df","LCL","UCL","tvar","xvar"
"same",-1596.35185185185,12.206620948894,2.79625732982322,Inf,6.72605729093433,17.6871846068536,"same",-1596.35185185185
"different",-1596.35185185185,9.40908677782419,2.61556528281516,Inf,4.28267302429315,14.5355005313552,"different",-1596.35185185185
"same",-99.0857142857144,10.2356654673732,0.640048880994557,Inf,8.98119271227869,11.4901382224677,"same",-99.0857142857144
"different",-99.0857142857144,10.3793878896736,0.590049143780305,Inf,9.22291281875549,11.5358629605917,"different",-99.0857142857144
"same",385.121233859397,9.59827020764441,1.12203149701981,Inf,7.39912888396603,11.7974115313228,"same",385.121233859397
"different",385.121233859397,10.6931774881708,1.00629508092657,Inf,8.72087537173493,12.6654796046067,"different",385.121233859397
