"SUBTLEX_frequency_log_cat","emmean","SE","df","lower.CL","upper.CL","emmean_untrans","lower.CL_untrans","upper.CL_untrans"
"HF",0.000816448768238087,4.08030689784549e-05,25.7311083259457,0.000732534180629254,0.00090036335584692,1224.81659462604,1110.66270468033,1365.12401256279
"LF",0.000703520231343079,3.96086323234003e-05,27.5365615575673,0.000622324063963319,0.00078471639872284,1421.42323056,1274.34574022863,1606.87985232553
