"subjID","mean_ACC_same","mean_ACC_different","mean_VOT_same","mean_VOT_different","mean_VOTinv_same","mean_VOTinv_different","mean_P200_same","mean_P200_different","mean_P300_same","mean_P300_different","entrainment_ACC","entrainment_VOTinv","entrainment_VOT","PC1","PC2"
"101",0.653846153846154,0.403846153846154,1490.58823529412,1774.2380952381,0.000728316344564558,0.000592869694195379,NA,NA,NA,NA,0.25,1.35446650369179,-283.649859943978,-1.69154423133538,-0.167000632582631
"102",0.857142857142857,0.928571428571429,1651.6875,1495.38461538462,0.000673298716829909,0.000715927669555489,4.47083359222572,4.22446807163958,10.189306274568,10.4758259459806,-0.0714285714285715,-0.426289527255805,156.302884615385,0.86316154166541,-0.123255575415113
"103",0.339622641509434,0.509090909090909,1371.27777777778,1739.92857142857,0.000789486633789176,0.000693750074860838,NA,NA,NA,NA,-0.169468267581475,0.95736558928338,-368.650793650794,0.283927735058154,1.24853792408358
"104",0.830188679245283,0.716981132075472,1445.5,1688.92105263158,0.000760233548103245,0.000689838122751898,4.42058967102087,2.83975293617687,20.1248286974533,18.5580855834249,0.113207547169811,0.703954253513466,-243.421052631579,-0.679995964983627,-0.0727092374581432
"105",0.7,0.549019607843137,1285.48571428571,1384.57142857143,0.00085355184915924,0.000790338636358982,2.17941227659339,7.4251982311498,13.8643576184301,17.6116124982454,0.150980392156863,0.632132128002572,-99.0857142857144,-0.782038603825698,-0.276024893238719
"106",0.39622641509434,0.678571428571429,1686.33333333333,1449.26315789474,0.000625273577249385,0.000745538163648954,5.93920833185823,7.46411642745563,10.8068664602599,11.5369713850602,-0.282345013477089,-1.20264586399569,237.070175438596,2.26304496658874,0.181924123021471
"108",0.8,0.618181818181818,1249.65909090909,1694.52941176471,0.000844494275194087,0.000677599794015662,6.89738110627808,4.66003572547876,18.0197115381678,15.6202090778364,0.181818181818182,1.66894481178425,-444.870320855615,-1.63766653167595,0.330308207490616
"109",0.826923076923077,0.773584905660377,1338.55813953488,1517.90243902439,0.00080882777019098,0.00070456099739382,3.86608595605917,2.33920428836674,12.2001634890564,13.6899806784895,0.0533381712626995,1.04266772797161,-179.344299489507,-0.676803881594192,0.408086859904623
"110",0.745098039215686,0.903846153846154,1359.10526315789,1224.48936170213,0.000804263455295227,0.000881476126866815,8.71798906414228,8.07178916617428,16.5404293654081,14.229905441151,-0.158748114630468,-0.77212671571588,134.615901455767,1.45993457350178,-0.0141313731802847
"111",0.612244897959184,0.82,1189.7,1178.73170731707,0.000878174578129658,0.000930462470208214,2.85559703899821,4.81826770933265,12.8175815510536,12.949252079152,-0.207755102040816,-0.522878920785559,10.9682926829269,1.482296189731,0.359682890520843
"112",0.714285714285714,0.660714285714286,1511.7,1728.59459459459,0.00073861172133043,0.000670979095065549,9.51059291465671,7.83568226104821,17.6251062332254,17.8615822004812,0.0535714285714286,0.676326262648809,-216.894594594595,-0.419466240448095,0.148863550521829
"113",0.727272727272727,0.648148148148148,1685.075,2333.45714285714,0.000633054705409343,0.000511930449078951,3.61795732603062,2.8932470764449,9.84376233169563,8.8075697188526,0.0791245791245792,1.21124256330392,-648.382142857143,-0.899883176881511,0.422707048342913
"114",0.767857142857143,0.875,1532.16279069767,1303.81632653061,0.000708630241299891,0.000864948596851702,1.23026106780963,3.23217492777625,6.11838925337879,8.3127372571673,-0.107142857142857,-1.56318355551811,228.346464167062,1.80906044475652,-0.780437719598635
"115",0.391304347826087,0.612244897959184,1947.44444444444,1597.56666666667,0.000617627038002344,0.000727699321105712,NA,NA,NA,NA,-0.220940550133097,-1.10072283103369,349.877777777778,1.94298755093744,0.00558360477693098
