"contrast","estimate","SE","df","z.ratio","p.value","p.valueBonf2"
"same block1 - different block1",4.30888800125335e-05,1.2196811603846e-05,Inf,3.53279868641625,0.000411185451505249,0.000822370903010499
"same block1 - same block2",-0.000103661261330683,1.16240125490176e-05,Inf,-8.91785524951489,4.7540523641014e-19,9.50810472820279e-19
"same block1 - different block2",-9.18804672722875e-05,1.32950531885961e-05,Inf,-6.91087624614384,4.81669120186393e-12,9.63338240372785e-12
"different block1 - same block2",-0.000146750141343217,1.32447421099342e-05,Inf,-11.0798791041123,1.57084524817865e-28,3.14169049635731e-28
"different block1 - different block2",-0.000134969347284821,1.1592861982332e-05,Inf,-11.6424526998182,2.50700746007969e-31,5.01401492015938e-31
"same block2 - different block2",1.17807940583958e-05,1.16163191062642e-05,Inf,1.01415895608815,0.310506909852583,0.621013819705166
