"contrast","estimate","SE","df","z.ratio","p.value","Bonf2","Bonf3"
"(different block1 c_FASQUEL_concreteness-0.0207801595214354) - different block1 c_FASQUEL_concreteness1.22921984047856",1.02825182607376,1.20807628231747,Inf,0.851148094805113,0.394687091732106,0.789374183464212,1.18406127519632
"(different block1 c_FASQUEL_concreteness-0.0207801595214354) - same block2 c_FASQUEL_concreteness1.22921984047856",1.73214939116736,1.17362597739313,Inf,1.47589557877275,0.139971926585565,0.27994385317113,0.419915779756695
"(different block1 c_FASQUEL_concreteness-0.0207801595214354) - different block2 c_FASQUEL_concreteness1.22921984047856",-1.10547436562951,1.1828748488424,Inf,-0.934565788351465,0.350012116974289,0.700024233948578,1.05003635092287
"(same block2 c_FASQUEL_concreteness-0.0207801595214354) - (different block2 c_FASQUEL_concreteness-0.0207801595214354)",0.144305269845512,0.47628807867443,Inf,0.302978966526166,0.761905890965025,1.52381178193005,2.28571767289507
"(same block2 c_FASQUEL_concreteness-0.0207801595214354) - same block1 c_FASQUEL_concreteness1.22921984047856",0.148038451181138,1.21688154628854,Inf,0.121653953610071,0.903173081975411,1.80634616395082,2.70951924592623
"(same block2 c_FASQUEL_concreteness-0.0207801595214354) - different block1 c_FASQUEL_concreteness1.22921984047856",0.808803440454561,1.21874132732337,Inf,0.663638314646209,0.506921828560196,1.01384365712039,1.52076548568059
"(same block2 c_FASQUEL_concreteness-0.0207801595214354) - same block2 c_FASQUEL_concreteness1.22921984047856",1.51270100554816,1.15920247227549,Inf,1.30494977514908,0.191909950530999,0.383819901061997,0.575729851592996
"(same block2 c_FASQUEL_concreteness-0.0207801595214354) - different block2 c_FASQUEL_concreteness1.22921984047856",-1.32492275124872,1.18118126270097,Inf,-1.12169299758367,0.26199299488859,0.523985989777181,0.785978984665771
"(different block2 c_FASQUEL_concreteness-0.0207801595214354) - same block1 c_FASQUEL_concreteness1.22921984047856",0.00373318133562664,1.22345677639307,Inf,0.00305133896649182,0.997565387526839,1.99513077505368,2.99269616258052
"(different block2 c_FASQUEL_concreteness-0.0207801595214354) - different block1 c_FASQUEL_concreteness1.22921984047856",0.66449817060905,1.21075896503175,Inf,0.548827792979938,0.583123635012609,1.16624727002522,1.74937090503783
"(different block2 c_FASQUEL_concreteness-0.0207801595214354) - same block2 c_FASQUEL_concreteness1.22921984047856",1.36839573570265,1.16518995455585,Inf,1.174397127569,0.240235995273855,0.480471990547711,0.720707985821566
"(different block2 c_FASQUEL_concreteness-0.0207801595214354) - different block2 c_FASQUEL_concreteness1.22921984047856",-1.46922802109423,1.17149656754082,Inf,-1.25414624489972,0.209788854186793,0.419577708373585,0.629366562560378
"same block1 c_FASQUEL_concreteness1.22921984047856 - different block1 c_FASQUEL_concreteness1.22921984047856",0.660764989273423,1.41818383159365,Inf,0.465923369420242,0.64127035288661,1.28254070577322,1.92381105865983
"same block1 c_FASQUEL_concreteness1.22921984047856 - same block2 c_FASQUEL_concreteness1.22921984047856",1.36466255436702,1.37514511431778,Inf,0.992377124536443,0.321013593614802,0.642027187229604,0.963040780844406
"same block1 c_FASQUEL_concreteness1.22921984047856 - different block2 c_FASQUEL_concreteness1.22921984047856",-1.47296120242985,1.39567890710281,Inf,-1.05537254660348,0.291254973619814,0.582509947239628,0.873764920859442
"different block1 c_FASQUEL_concreteness1.22921984047856 - same block2 c_FASQUEL_concreteness1.22921984047856",0.703897565093597,1.37859678499135,Inf,0.510589878604724,0.609638264605669,1.21927652921134,1.82891479381701
"different block1 c_FASQUEL_concreteness1.22921984047856 - different block2 c_FASQUEL_concreteness1.22921984047856",-2.13372619170328,1.38140945646867,Inf,-1.5446008290386,0.122442845551303,0.244885691102606,0.367328536653909
"same block2 c_FASQUEL_concreteness1.22921984047856 - different block2 c_FASQUEL_concreteness1.22921984047856",-2.83762375679687,1.34654248229927,Inf,-2.10734068482677,0.0350880591282771,0.0701761182565542,0.105264177384831
