"contrast","estimate","SE","df","z.ratio","p.value","Bonf2"
"same block1 - different block1",-0.746668808019652,0.508112804305593,Inf,-1.46949417864027,0.141698799617936,0.283397599235872
"same block1 - same block2",-0.888245904772882,0.497535129210667,Inf,-1.78529284189857,0.074213829327523,0.148427658655046
"same block1 - different block2",-0.444758028121828,0.505593836627152,Inf,-0.879674544865571,0.3790356429408,0.7580712858816
"different block1 - same block2",-0.14157709675323,0.499090646307966,Inf,-0.283670106423652,0.776663205650553,1.55332641130111
"different block1 - different block2",0.301910779897824,0.493167303028907,Inf,0.612187340976512,0.540413816063452,1.0808276321269
"same block2 - different block2",0.443487876651055,0.488399168361009,Inf,0.908043881686634,0.363855037854073,0.727710075708145
