"contrast","estimate","SE","df","z.ratio","p.value"
"(same entrainment_VOT-1596.35185185185) - (different entrainment_VOT-1596.35185185185)",2.47023590583228,1.79035240719562,Inf,1.37974842042502,0.739317859275086
"(same entrainment_VOT-1596.35185185185) - (same entrainment_VOT-99.0857142857144)",0.699532975793849,1.80012840622197,Inf,0.388601709398052,0.998858488516405
"(same entrainment_VOT-1596.35185185185) - (different entrainment_VOT-99.0857142857144)",0.464998064973352,1.79901611251506,Inf,0.258473541030867,0.999844331916837
"(same entrainment_VOT-1596.35185185185) - same entrainment_VOT385.121233859397",0.925757772333099,2.38227920759048,Inf,0.388601709398052,0.998858488516405
"(same entrainment_VOT-1596.35185185185) - different entrainment_VOT385.121233859397",-0.183483905510338,2.17474865729047,Inf,-0.084370166131723,0.999999403749965
"(different entrainment_VOT-1596.35185185185) - (same entrainment_VOT-99.0857142857144)",-1.77070293003843,1.93221558473784,Inf,-0.916410644870499,0.942465579113414
"(different entrainment_VOT-1596.35185185185) - (different entrainment_VOT-99.0857142857144)",-2.00523784085892,1.86149698310083,Inf,-1.07721788381234,0.890604073653999
"(different entrainment_VOT-1596.35185185185) - same entrainment_VOT385.121233859397",-1.54447813349918,2.30023600898889,Inf,-0.671443333407375,0.98506606809931
"(different entrainment_VOT-1596.35185185185) - different entrainment_VOT385.121233859397",-2.65371981134262,2.46349401659667,Inf,-1.07721788381234,0.890604073653999
"(same entrainment_VOT-99.0857142857144) - (different entrainment_VOT-99.0857142857144)",-0.234534910820497,0.363788409557772,Inf,-0.64470143813983,0.987578980894774
"(same entrainment_VOT-99.0857142857144) - same entrainment_VOT385.121233859397",0.22622479653925,0.582150801368512,Inf,0.388601709398052,0.998858488516405
"(same entrainment_VOT-99.0857142857144) - different entrainment_VOT385.121233859397",-0.883016881304188,0.671400731607235,Inf,-1.31518605764753,0.776760795567267
"(different entrainment_VOT-99.0857142857144) - same entrainment_VOT385.121233859397",0.460759707359747,0.717868249924871,Inf,0.641844387752166,0.987827657268578
"(different entrainment_VOT-99.0857142857144) - different entrainment_VOT385.121233859397",-0.648481970483691,0.601997033495838,Inf,-1.07721788381234,0.890604073653999
"same entrainment_VOT385.121233859397 - different entrainment_VOT385.121233859397",-1.10924167784344,0.673722150473876,Inf,-1.64643789292549,0.567529377677732
