"c_FASQUEL_concreteness","c_FASQUEL_image_agreement","block","partner_type","c_SUBTLEX_frequency_log","yvar","SE","df","LCL","UCL","tvar","xvar"
-0.910780159521436,-0.648222831505484,"1","same",-1.79619292123629,9.8690896632658,3.44678755560315,Inf,3.11351019192277,16.6246691346088,"-0.910780159521436 -0.648222831505484 1 same",-1.79619292123629
1.22921984047856,-0.648222831505484,"1","same",-1.79619292123629,2.13505970171523,5.55948069496549,Inf,-8.76132223316284,13.0314416365933,"1.22921984047856 -0.648222831505484 1 same",-1.79619292123629
-0.910780159521436,1.08177716849452,"1","same",-1.79619292123629,4.34526875576991,8.75936508619353,Inf,-12.822771340607,21.5133088521468,"-0.910780159521436 1.08177716849452 1 same",-1.79619292123629
1.22921984047856,1.08177716849452,"1","same",-1.79619292123629,18.074998597192,6.31534172534016,Inf,5.69715626546222,30.4528409289218,"1.22921984047856 1.08177716849452 1 same",-1.79619292123629
-0.910780159521436,-0.648222831505484,"2","same",-1.79619292123629,12.0545480604904,3.2342511225575,Inf,5.7155323433195,18.3935637776614,"-0.910780159521436 -0.648222831505484 2 same",-1.79619292123629
1.22921984047856,-0.648222831505484,"2","same",-1.79619292123629,5.96009625403186,5.320189086369,Inf,-4.46728274619444,16.3874752542582,"1.22921984047856 -0.648222831505484 2 same",-1.79619292123629
-0.910780159521436,1.08177716849452,"2","same",-1.79619292123629,15.150497515395,8.23948994542517,Inf,-0.998606028618223,31.2996010594082,"-0.910780159521436 1.08177716849452 2 same",-1.79619292123629
1.22921984047856,1.08177716849452,"2","same",-1.79619292123629,11.7285480504558,6.04214906672473,Inf,-0.11384650954701,23.5709426104585,"1.22921984047856 1.08177716849452 2 same",-1.79619292123629
-0.910780159521436,-0.648222831505484,"1","different",-1.79619292123629,8.14021845276137,3.39820366958352,Inf,1.47986164824582,14.8005752572769,"-0.910780159521436 -0.648222831505484 1 different",-1.79619292123629
1.22921984047856,-0.648222831505484,"1","different",-1.79619292123629,12.5660699376558,5.47641726318972,Inf,1.8324893374905,23.299650537821,"1.22921984047856 -0.648222831505484 1 different",-1.79619292123629
-0.910780159521436,1.08177716849452,"1","different",-1.79619292123629,11.1041290568866,8.51063593066982,Inf,-5.57641085275873,27.784668966532,"-0.910780159521436 1.08177716849452 1 different",-1.79619292123629
1.22921984047856,1.08177716849452,"1","different",-1.79619292123629,10.0571814250106,6.20932519199045,Inf,-2.11287231958794,22.2272351696091,"1.22921984047856 1.08177716849452 1 different",-1.79619292123629
-0.910780159521436,-0.648222831505484,"2","different",-1.79619292123629,13.2822684960643,3.23727075570431,Inf,6.93733440667908,19.6272025854495,"-0.910780159521436 -0.648222831505484 2 different",-1.79619292123629
1.22921984047856,-0.648222831505484,"2","different",-1.79619292123629,6.92929747879329,5.35650223667251,Inf,-3.56925398819307,17.4278489457797,"1.22921984047856 -0.648222831505484 2 different",-1.79619292123629
-0.910780159521436,1.08177716849452,"2","different",-1.79619292123629,0.800111017812031,8.39435103125937,Inf,-15.652514677043,17.252736712667,"-0.910780159521436 1.08177716849452 2 different",-1.79619292123629
1.22921984047856,1.08177716849452,"2","different",-1.79619292123629,20.8950333132742,6.32481828498908,Inf,8.49861726593523,33.2914493606132,"1.22921984047856 1.08177716849452 2 different",-1.79619292123629
-0.910780159521436,-0.648222831505484,"1","same",1.84480707876371,6.61224732040245,3.82800593844395,Inf,-0.890506451553153,14.115001092358,"-0.910780159521436 -0.648222831505484 1 same",1.84480707876371
1.22921984047856,-0.648222831505484,"1","same",1.84480707876371,21.6290482857602,6.7739047582572,Inf,8.35243892487159,34.9056576466488,"1.22921984047856 -0.648222831505484 1 same",1.84480707876371
