"partner_type","block","emmean","SE","df","asymp.LCL","asymp.UCL"
"same","1",3.32769089054451,0.464927536384214,Inf,2.41644966381052,4.23893211727851
"different","1",3.73988595149048,0.461814959362555,Inf,2.83474526361804,4.64502663936291
"same","2",3.38644955382883,0.479888244531435,Inf,2.44588587794307,4.32701322971459
"different","2",3.71095638889087,0.480795869505565,Inf,2.76861380074434,4.6532989770374
