"partner_type","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
"same",1.67548827477731,0.199893581294025,Inf,1.28370405470029,2.06727249485433,0.842306179641161,0.783079628803236,0.887681307857981
"different",1.66824843884377,0.202441574914081,Inf,1.2714702430386,2.06502663464893,0.841342152843296,0.780994325388831,0.887457193363442
